transport_class,tag,raw_value,normalised_value,unit,status,way_count
highway=bridleway,access,private,,,retained_text,1
highway=bridleway,bicycle,no,,,retained_text,1
highway=bridleway,bridge,yes,,,retained_text,1
highway=bridleway,foot,yes,,,retained_text,1
highway=bridleway,layer,1,,,retained_text,1
highway=bridleway,motor_vehicle,no,,,retained_text,1
highway=bridleway,surface,unpaved,,,retained_text,1
highway=bridleway,width,5,5.0,m,normalised,1
highway=bus_stop,bus,yes,,,retained_text,2
highway=busway,access,no,,,retained_text,11
highway=busway,access,yes,,,retained_text,2
highway=busway,bicycle,no,,,retained_text,3
highway=busway,bicycle,yes,,,retained_text,2
highway=busway,bridge,yes,,,retained_text,6
highway=busway,bus,designated,,,retained_text,11
highway=busway,bus,yes,,,retained_text,17
highway=busway,check_date,2024-01-11,,,retained_text,2
highway=busway,foot,no,,,retained_text,3
highway=busway,foot,yes,,,retained_text,2
highway=busway,lanes,1,1,lanes,normalised,7
highway=busway,lanes,2,2,lanes,normalised,45
highway=busway,layer,1,,,retained_text,6
highway=busway,maxspeed,30,30.0,km/h,normalised,2
highway=busway,maxspeed,40,40.0,km/h,normalised,11
highway=busway,motor_vehicle,yes,,,retained_text,3
highway=busway,oneway,no,,,retained_text,37
highway=busway,oneway,yes,,,retained_text,37
highway=busway,psv,yes,,,retained_text,28
highway=busway,sidewalk,both,,,retained_text,2
highway=busway,source,digitalglobe,,,retained_text,1
highway=busway,surface,asphalt,,,retained_text,14
highway=busway,surface,concrete,,,retained_text,2
highway=construction,access,no,,,retained_text,5
highway=construction,access,permissive,,,retained_text,1
highway=construction,access,permit,,,retained_text,1
highway=construction,access,private,,,retained_text,26
highway=construction,bicycle,no,,,retained_text,10
highway=construction,bicycle,yes,,,retained_text,1
highway=construction,bridge,movable,,,retained_text,1
highway=construction,bridge,yes,,,retained_text,228
highway=construction,bridge:structure,beam,,,retained_text,38
highway=construction,check_date,2021-12-21,,,retained_text,1
highway=construction,check_date,2024-09-07,,,retained_text,10
highway=construction,check_date,2024-09-11,,,retained_text,27
highway=construction,check_date,2024-09-25,,,retained_text,4
highway=construction,check_date,2024-09-26,,,retained_text,4
highway=construction,check_date,2024-11-06,,,retained_text,3
highway=construction,check_date,2024-12-26,,,retained_text,1
highway=construction,check_date,2025-08-06,,,retained_text,3
highway=construction,check_date,2025-08-15,,,retained_text,1
highway=construction,check_date,2025-11-20,,,retained_text,1
highway=construction,check_date,2026-02-23,,,retained_text,1
highway=construction,check_date,2026-03-15,,,retained_text,3
highway=construction,check_date,2026-03-17,,,retained_text,1
highway=construction,check_date,2026-03-19,,,retained_text,1
highway=construction,check_date,2026-03-21,,,retained_text,1
highway=construction,check_date,2026-06-11,,,retained_text,1
highway=construction,check_date,2026-09-13,,,retained_text,8
highway=construction,foot,no,,,retained_text,10
highway=construction,foot,yes,,,retained_text,1
highway=construction,junction,roundabout,,,retained_text,1
highway=construction,lane_markings,no,,,retained_text,1
highway=construction,lanes,2,2,lanes,normalised,84
highway=construction,lanes,3,3,lanes,normalised,2
highway=construction,lanes,4,4,lanes,normalised,2
highway=construction,layer,-1,,,retained_text,5
highway=construction,layer,1,,,retained_text,206
highway=construction,layer,2,,,retained_text,14
highway=construction,lit,yes,,,retained_text,2
highway=construction,maxheight,default,,,retained_text,3
highway=construction,maxspeed,30,30.0,km/h,normalised,1
highway=construction,maxspeed,50,50.0,km/h,normalised,2
highway=construction,maxspeed,80,80.0,km/h,normalised,1
highway=construction,maxspeed:type,IN:urban,,,retained_text,1
highway=construction,motor_vehicle,destination,,,retained_text,3
highway=construction,motor_vehicle,no,,,retained_text,3
highway=construction,motor_vehicle,yes,,,retained_text,7
highway=construction,motorcycle,no,,,retained_text,1
highway=construction,oneway,no,,,retained_text,7
highway=construction,oneway,yes,,,retained_text,491
highway=construction,sidewalk,both,,,retained_text,1
highway=construction,smoothness,bad,,,retained_text,1
highway=construction,source,GPS,,,retained_text,5
highway=construction,source,Yahoo,,,retained_text,14
highway=construction,source,Yahoo hires,,,retained_text,1
highway=construction,source,digitalglobe,,,retained_text,14
highway=construction,source,gps,,,retained_text,1
highway=construction,source,https://environmentclearance.nic.in/state/FB_ECGeneral_Report.aspx?pid=208160&id=208160&status=Found;https://environmentclearance.nic.in/state/FB_ECGeneral_Report.aspx?pid=201926&id=201926&status=found,,,retained_text,22
highway=construction,source,maxar,,,retained_text,3
highway=construction,source:bridge,Esri World imagery,,,retained_text,1
highway=construction,source:construction,Imagery 10/2021,,,retained_text,1
highway=construction,surface,asphalt,,,retained_text,7
highway=construction,surface,cobblestone,,,retained_text,1
highway=construction,surface,concrete,,,retained_text,5
highway=construction,surface,dirt,,,retained_text,2
highway=construction,surface,paved,,,retained_text,1
highway=construction,toll,yes,,,retained_text,1
highway=construction,tunnel,yes,,,retained_text,19
highway=construction,width,2,2.0,m,normalised,1
highway=cycleway,access,no,,,retained_text,2
highway=cycleway,access,permissive,,,retained_text,1
highway=cycleway,access,private,,,retained_text,3
highway=cycleway,bicycle,designated,,,retained_text,409
highway=cycleway,bicycle,no,,,retained_text,1
highway=cycleway,bicycle,yes,,,retained_text,1
highway=cycleway,bridge,yes,,,retained_text,5
highway=cycleway,crossing,uncontrolled,,,retained_text,1
highway=cycleway,crossing:island,no,,,retained_text,1
highway=cycleway,crossing:markings,ladder,,,retained_text,1
highway=cycleway,cycleway,crossing,,,retained_text,1
highway=cycleway,foot,designated,,,retained_text,410
highway=cycleway,foot,yes,,,retained_text,9
highway=cycleway,incline,15%,,,retained_text,2
highway=cycleway,incline,up,,,retained_text,4
highway=cycleway,incline,yes,,,retained_text,2
highway=cycleway,layer,-1,,,retained_text,13
highway=cycleway,layer,1,,,retained_text,4
highway=cycleway,motor_vehicle,no,,,retained_text,3
highway=cycleway,oneway,no,,,retained_text,16
highway=cycleway,oneway,yes,,,retained_text,1
highway=cycleway,smoothness,bad,,,retained_text,2
highway=cycleway,smoothness,excellent,,,retained_text,19
highway=cycleway,smoothness,good,,,retained_text,2
highway=cycleway,smoothness,intermediate,,,retained_text,3
highway=cycleway,surface,asphalt,,,retained_text,3
highway=cycleway,surface,dirt,,,retained_text,7
highway=cycleway,surface,gravel,,,retained_text,3
highway=cycleway,surface,ground,,,retained_text,1
highway=cycleway,surface,metal,,,retained_text,1
highway=cycleway,surface,paved,,,retained_text,20
highway=cycleway,surface,paving_stones,,,retained_text,3
highway=cycleway,surface,sand,,,retained_text,1
highway=cycleway,surface,unpaved,,,retained_text,2
highway=cycleway,tunnel,yes,,,retained_text,9
highway=cycleway,width,0.4,0.4,m,normalised,1
highway=cycleway,width,10,10.0,m,normalised,4
highway=cycleway,width,100,100.0,m,normalised,1
highway=cycleway,width,20,20.0,m,normalised,6
highway=cycleway,width,5,5.0,m,normalised,1
highway=cycleway,width,50,50.0,m,normalised,12
highway=cycleway,width,paved,,m,unresolved,1
highway=elevator,access,yes,,,retained_text,1
highway=footway,access,customers,,,retained_text,7
highway=footway,access,destination,,,retained_text,22
highway=footway,access,no,,,retained_text,28
highway=footway,access,permissive,,,retained_text,21
highway=footway,access,private,,,retained_text,323
highway=footway,access,yes,,,retained_text,42
highway=footway,bicycle,dismount,,,retained_text,5
highway=footway,bicycle,no,,,retained_text,193
highway=footway,bicycle,permissive,,,retained_text,4
highway=footway,bicycle,yes,,,retained_text,38
highway=footway,bridge,boardwalk,,,retained_text,1
highway=footway,bridge,yes,,,retained_text,838
highway=footway,bridge:structure,arch,,,retained_text,1
highway=footway,bridge:structure,beam,,,retained_text,15
highway=footway,check_date,2024-03-09,,,retained_text,1
highway=footway,check_date,2025-07-03,,,retained_text,1
highway=footway,check_date:surface,2025-06-18,,,retained_text,1
highway=footway,check_date:surface,2025-12-14,,,retained_text,1
highway=footway,check_date:surface,2025-12-16,,,retained_text,1
highway=footway,check_date:surface,2025-12-31,,,retained_text,7
highway=footway,check_date:surface,2026-01-10,,,retained_text,1
highway=footway,check_date:surface,2026-02-22,,,retained_text,1
highway=footway,check_date:surface,2026-04-07,,,retained_text,1
highway=footway,check_date:surface,2026-05-18,,,retained_text,1
highway=footway,check_date:surface,2026-06-20,,,retained_text,2
