parent_type,parent_id,parent_relation_type,member_sequence,member_role,referenced_type,referenced_id,reason
relation,278091,route,1,,way,1199725349,absent_entity
relation,278091,route,2,,way,27618321,absent_entity
relation,278091,route,3,,way,241003531,absent_entity
relation,278091,route,4,,way,240321177,absent_entity
relation,278091,route,5,,way,1052956026,absent_entity
relation,278091,route,6,,way,793704828,absent_entity
relation,278091,route,7,,way,822593942,absent_entity
relation,278091,route,8,,way,822593939,absent_entity
relation,278091,route,9,,way,214413807,absent_entity
relation,278091,route,10,,way,1349716692,absent_entity
relation,278091,route,11,,way,1358787352,absent_entity
relation,278091,route,12,,way,1349155569,absent_entity
relation,278091,route,13,,way,27768979,absent_entity
relation,278091,route,14,,way,1555042368,absent_entity
relation,278091,route,15,,way,1373609599,absent_entity
relation,278091,route,16,,way,1149857663,absent_entity
relation,278091,route,17,,way,1421511723,absent_entity
relation,278091,route,18,,way,1421511724,absent_entity
relation,278091,route,19,,way,237621836,absent_entity
relation,278091,route,20,,way,1149819099,absent_entity
relation,278091,route,21,,way,155750050,absent_entity
relation,278091,route,22,,way,1149819100,absent_entity
relation,278091,route,23,,way,1416678909,absent_entity
relation,278091,route,24,,way,1416040847,absent_entity
relation,278091,route,25,,way,155750051,absent_entity
relation,278091,route,26,,way,1289116084,absent_entity
relation,278091,route,27,,way,1467059805,absent_entity
relation,278091,route,28,,way,186080195,absent_entity
relation,278091,route,29,,way,30851278,absent_entity
relation,278091,route,30,,way,1149879722,absent_entity
relation,278091,route,31,,way,1149879724,absent_entity
relation,278091,route,32,,way,1149879723,absent_entity
relation,278091,route,33,,way,30741445,absent_entity
relation,278091,route,34,,way,1239084573,absent_entity
relation,278091,route,35,,way,1313670103,absent_entity
relation,278091,route,36,,way,214413827,absent_entity
relation,278091,route,37,,way,69610245,absent_entity
relation,278091,route,38,,way,59294074,absent_entity
relation,278091,route,39,,way,1557993123,absent_entity
relation,278091,route,40,,way,1268332870,absent_entity
relation,278091,route,41,,way,69610259,absent_entity
relation,278091,route,42,,way,395885006,absent_entity
relation,278091,route,43,,way,1039584203,absent_entity
relation,278091,route,44,,way,1236769456,absent_entity
relation,278091,route,45,,way,1388499569,absent_entity
relation,278091,route,46,,way,1388499570,absent_entity
relation,278091,route,47,,way,1235964075,absent_entity
relation,278091,route,48,,way,1236769443,absent_entity
relation,278091,route,49,,way,1314292004,absent_entity
relation,278091,route,50,,way,1314292005,absent_entity
relation,278091,route,51,,way,1235964074,absent_entity
relation,278091,route,52,,way,1235964069,absent_entity
relation,278091,route,53,,way,1235964347,absent_entity
relation,278091,route,54,,way,1235964068,absent_entity
relation,278091,route,55,,way,1314292006,absent_entity
relation,278091,route,56,,way,1314292007,absent_entity
relation,278091,route,57,,way,1235959003,absent_entity
relation,278091,route,58,,way,1314288393,absent_entity
relation,278091,route,59,,way,1235958996,absent_entity
relation,278091,route,60,,way,1314288394,absent_entity
relation,278091,route,61,,way,1314288395,absent_entity
relation,278091,route,62,,way,1235471443,absent_entity
relation,278091,route,63,,way,1235471442,absent_entity
relation,278091,route,64,,way,540939348,absent_entity
relation,278091,route,65,,way,102548403,absent_entity
relation,278091,route,66,,way,1201238808,absent_entity
relation,278091,route,67,,way,1546231614,absent_entity
relation,278091,route,68,,way,1101609650,absent_entity
relation,278091,route,69,,way,1236156267,absent_entity
relation,278091,route,70,,way,102548402,absent_entity
relation,278091,route,71,,way,102548397,absent_entity
relation,278091,route,72,,way,1201238797,absent_entity
relation,278091,route,73,,way,30128936,absent_entity
relation,278091,route,74,,way,102548404,absent_entity
relation,278091,route,75,,way,102548401,absent_entity
relation,278091,route,76,,way,1394470462,absent_entity
relation,278091,route,77,,way,1201238788,absent_entity
relation,278091,route,78,,way,1200049495,absent_entity
relation,278091,route,79,,way,136727938,absent_entity
relation,278091,route,80,,way,1200049484,absent_entity
relation,278091,route,81,,way,1200049483,absent_entity
relation,278091,route,82,,way,1200049492,absent_entity
relation,278091,route,83,,way,1394470455,absent_entity
relation,278091,route,84,,way,1394470454,absent_entity
relation,278091,route,85,,way,28519224,absent_entity
relation,278091,route,86,,way,1056617612,absent_entity
relation,278091,route,87,,way,1394470444,absent_entity
relation,278091,route,88,,way,1394470443,absent_entity
relation,278091,route,89,,way,1188088369,absent_entity
relation,278091,route,90,,way,1394470440,absent_entity
relation,278091,route,91,,way,1201238791,absent_entity
relation,278091,route,92,,way,1551928069,absent_entity
relation,278091,route,93,,way,1172014575,absent_entity
relation,278091,route,94,,way,1287332509,absent_entity
relation,278091,route,95,,way,1287332508,absent_entity
relation,278091,route,96,,way,1216427373,absent_entity
relation,278091,route,97,,way,1216427371,absent_entity
relation,278091,route,98,,way,1207988687,absent_entity
relation,278091,route,99,,way,1417307272,absent_entity
relation,278091,route,100,,way,1417307266,absent_entity
relation,278091,route,101,,way,1417307271,absent_entity
relation,278091,route,102,,way,1417307268,absent_entity
relation,278091,route,103,,way,136727939,absent_entity
relation,278091,route,104,,way,1270603718,absent_entity
relation,278091,route,105,,way,1270603739,absent_entity
relation,278091,route,106,,way,1270603711,absent_entity
relation,278091,route,107,,way,1270603708,absent_entity
relation,278091,route,108,,way,1270603709,absent_entity
relation,278091,route,109,,way,1270603707,absent_entity
relation,278091,route,110,,way,1270603706,absent_entity
relation,278091,route,111,,way,1417307277,absent_entity
relation,278091,route,112,,way,1232144874,absent_entity
relation,278091,route,113,,way,640486167,absent_entity
relation,278091,route,114,,way,1280118620,absent_entity
relation,278091,route,115,,way,640486169,absent_entity
relation,278091,route,116,,way,832530547,absent_entity
relation,278091,route,117,,way,1227969489,absent_entity
relation,278091,route,118,,way,1417018142,absent_entity
relation,278091,route,119,,way,1417018148,absent_entity
relation,278091,route,120,,way,1417018146,absent_entity
relation,278091,route,121,,way,1417018145,absent_entity
relation,278091,route,122,,way,832530546,absent_entity
relation,278091,route,123,,way,840050904,absent_entity
relation,278091,route,124,,way,840050905,absent_entity
relation,278091,route,125,,way,1417018170,absent_entity
relation,278091,route,126,,way,95385730,absent_entity
relation,278091,route,127,,way,1417018159,absent_entity
relation,278091,route,128,,way,1417018160,absent_entity
relation,278091,route,129,,way,95385715,absent_entity
relation,278091,route,130,,way,1417018165,absent_entity
relation,278091,route,131,,way,1417018155,absent_entity
relation,278091,route,132,,way,1417018156,absent_entity
relation,278091,route,133,,way,1417018151,absent_entity
relation,278091,route,134,,way,1417018166,absent_entity
relation,278091,route,135,,way,1417018172,absent_entity
relation,278091,route,136,,way,1417018175,absent_entity
relation,278091,route,137,,way,1417018168,absent_entity
relation,278091,route,138,,way,1199725350,absent_entity
relation,278091,route,139,,way,62069831,absent_entity
relation,278091,route,140,,way,241003530,absent_entity
relation,278091,route,141,,way,217848743,absent_entity
relation,278091,route,142,,way,214413808,absent_entity
relation,278091,route,143,,way,1039224806,absent_entity
relation,278091,route,144,,way,445440473,absent_entity
relation,278091,route,145,,way,822593941,absent_entity
relation,278091,route,146,,way,23499970,absent_entity
relation,278091,route,147,,way,1115397695,absent_entity
relation,278091,route,148,,way,1349155568,absent_entity
relation,278091,route,149,,way,395885007,absent_entity
relation,278091,route,150,,way,1188164567,absent_entity
relation,278091,route,151,,way,59294071,absent_entity
relation,278091,route,152,,way,1267718957,absent_entity
relation,278091,route,153,,way,1388499571,absent_entity
relation,278091,route,154,,way,1388499576,absent_entity
relation,278091,route,155,,way,1235964076,absent_entity
relation,278091,route,156,,way,1235959004,absent_entity
relation,278091,route,157,,way,1314288390,absent_entity
relation,278091,route,158,,way,1314288389,absent_entity
relation,278091,route,159,,way,1235958997,absent_entity
relation,278091,route,160,,way,1314288388,absent_entity
relation,278091,route,161,,way,1314288391,absent_entity
relation,278091,route,162,,way,1235471445,absent_entity
relation,278091,route,163,,way,237621838,absent_entity
relation,278091,route,164,,way,1150114905,absent_entity
relation,278091,route,165,,way,1150114904,absent_entity
relation,278091,route,166,,way,1039298150,absent_entity
relation,278091,route,167,,way,1421511722,absent_entity
relation,278091,route,168,,way,1149819097,absent_entity
relation,278091,route,169,,way,1149819098,absent_entity
relation,278091,route,170,,way,184720014,absent_entity
relation,278091,route,171,,way,1289116083,absent_entity
relation,278091,route,172,,way,1313080417,absent_entity
relation,278091,route,173,,way,1313080418,absent_entity
relation,278091,route,174,,way,1289116082,absent_entity
relation,278091,route,175,,way,1416040846,absent_entity
relation,278091,route,176,,way,184720015,absent_entity
relation,278091,route,177,,way,100857282,absent_entity
relation,278091,route,178,,way,100857266,absent_entity
relation,278091,route,179,,way,1043332245,absent_entity
relation,278091,route,180,,way,1149879721,absent_entity
relation,278091,route,181,,way,100857270,absent_entity
relation,278091,route,182,,way,1258018712,absent_entity
relation,278091,route,183,,way,1373597958,absent_entity
relation,278091,route,184,,way,1313670102,absent_entity
relation,278091,route,185,,way,1188164568,absent_entity
relation,278091,route,186,,way,214413842,absent_entity
relation,278091,route,187,,way,1032490133,absent_entity
relation,278091,route,188,,way,69610260,absent_entity
relation,278091,route,189,,way,1557993120,absent_entity
relation,278091,route,190,,way,1557993121,absent_entity
relation,278091,route,191,,way,23804685,absent_entity
relation,278091,route,192,,way,1262763681,absent_entity
relation,278091,route,193,,way,1313670101,absent_entity
relation,278091,route,194,,way,1313670100,absent_entity
relation,278091,route,195,,way,1105242868,absent_entity
relation,278091,route,196,,way,1144942370,absent_entity
relation,278091,route,197,,way,1144942373,absent_entity
relation,278091,route,198,,way,102548398,absent_entity
relation,278091,route,199,,way,1201238795,absent_entity
relation,278091,route,200,,way,102548405,absent_entity
relation,278091,route,201,,way,102548399,absent_entity
relation,278091,route,202,,way,194982391,absent_entity
relation,278091,route,203,,way,1201238787,absent_entity
relation,278091,route,204,,way,1394470459,absent_entity
relation,278091,route,205,,way,1200049496,absent_entity
relation,278091,route,206,,way,834893153,absent_entity
relation,278091,route,207,,way,1394470434,absent_entity
relation,278091,route,208,,way,1394470435,absent_entity
relation,278091,route,209,,way,1200049488,absent_entity
relation,278091,route,210,,way,1200049485,absent_entity
relation,278091,route,211,,way,1200049493,absent_entity
relation,278091,route,212,,way,767804410,absent_entity
relation,278091,route,213,,way,1394470453,absent_entity
relation,278091,route,214,,way,1056617613,absent_entity
relation,278091,route,215,,way,1394470445,absent_entity
relation,278091,route,216,,way,1394470446,absent_entity
relation,278091,route,217,,way,1188088367,absent_entity
relation,278091,route,218,,way,1190157219,absent_entity
relation,278091,route,219,,way,1394470442,absent_entity
relation,278091,route,220,,way,1201238794,absent_entity
relation,278091,route,221,,way,1201238792,absent_entity
relation,278091,route,222,,way,1201238790,absent_entity
relation,278091,route,223,,way,1551928071,absent_entity
relation,278091,route,224,,way,194441883,absent_entity
relation,278091,route,225,,way,1287332506,absent_entity
relation,278091,route,226,,way,1287332507,absent_entity
relation,278091,route,227,,way,1172014574,absent_entity
relation,278091,route,228,,way,829058866,absent_entity
relation,278091,route,229,,way,241276841,absent_entity
relation,278091,route,230,,way,1368012943,absent_entity
relation,278091,route,231,,way,1368012947,absent_entity
relation,278091,route,232,,way,1368012950,absent_entity
relation,278091,route,233,,way,1212040737,absent_entity
relation,278091,route,234,,way,1212040738,absent_entity
relation,278091,route,235,,way,241276837,absent_entity
relation,278091,route,236,,way,249319006,absent_entity
relation,278091,route,237,,way,1363006149,absent_entity
relation,278091,route,238,,way,1363006143,absent_entity
relation,278091,route,239,,way,1363006147,absent_entity
relation,278091,route,240,,way,1363006142,absent_entity
relation,278091,route,241,,way,1363006140,absent_entity
relation,278091,route,242,,way,1363006139,absent_entity
relation,278091,route,243,,way,1363006130,absent_entity
relation,278091,route,244,,way,1363006129,absent_entity
relation,278091,route,245,,way,1363006121,absent_entity
relation,278091,route,246,,way,1363006117,absent_entity
relation,278091,route,247,,way,1363006118,absent_entity
relation,278091,route,248,,way,1363006116,absent_entity
relation,278091,route,249,,way,1363006109,absent_entity
relation,278091,route,250,,way,1363006110,absent_entity
relation,278091,route,251,,way,249319002,absent_entity
relation,278091,route,252,,way,1363006108,absent_entity
relation,278091,route,253,,way,1049891892,absent_entity
relation,278091,route,254,,way,1049891897,absent_entity
relation,278091,route,255,,way,219730379,absent_entity
relation,278091,route,256,,way,1021927143,absent_entity
relation,278091,route,257,,way,1362257259,absent_entity
relation,278091,route,258,,way,1362257260,absent_entity
relation,278091,route,259,,way,1362257258,absent_entity
relation,278091,route,260,,way,249318779,absent_entity
relation,278091,route,261,,way,249318781,absent_entity
relation,278091,route,262,,way,1362257264,absent_entity
relation,278091,route,263,,way,1362257265,absent_entity
relation,278091,route,271,,way,241003533,absent_entity
relation,278091,route,272,,way,1039224805,absent_entity
relation,278091,route,273,,way,1104549323,absent_entity
relation,278091,route,274,,way,241121336,absent_entity
relation,278091,route,275,,way,1235471444,absent_entity
relation,278091,route,276,,way,1394221189,absent_entity
relation,278091,route,277,,way,1394221190,absent_entity
relation,278091,route,278,,way,1394221191,absent_entity
relation,278091,route,279,,way,1101609651,absent_entity
relation,278091,route,280,,way,1531861935,absent_entity
relation,278091,route,281,,way,194980848,absent_entity
relation,278091,route,282,,way,1236156266,absent_entity
relation,278091,route,283,,way,102548395,absent_entity
relation,278091,route,284,,way,219730378,absent_entity
relation,278091,route,285,,way,1021927145,absent_entity
relation,278091,route,286,,way,1127496459,absent_entity
relation,278091,route,287,,way,990597286,absent_entity
relation,278091,route,288,,way,407996268,absent_entity
relation,278091,route,289,,way,123082249,absent_entity
relation,278091,route,290,,way,316202082,absent_entity
relation,278091,route,291,,way,61975297,absent_entity
relation,278091,route,292,,way,316202084,absent_entity
relation,278091,route,293,,way,1319419614,absent_entity
relation,278091,route,294,,way,1319419571,absent_entity
relation,278091,route,295,,way,1319419568,absent_entity
relation,278091,route,296,,way,1319419567,absent_entity
relation,278091,route,297,,way,1319419565,absent_entity
relation,278091,route,298,,way,988522693,absent_entity
relation,278091,route,299,,way,1212043323,absent_entity
relation,278091,route,300,,way,1212043316,absent_entity
relation,278091,route,301,,way,1212043315,absent_entity
relation,278091,route,302,,way,1212043314,absent_entity
relation,278091,route,303,,way,1212043310,absent_entity
relation,278091,route,304,,way,1285948809,absent_entity
relation,278091,route,305,,way,1285948811,absent_entity
relation,278091,route,306,,way,1362257294,absent_entity
relation,278091,route,307,,way,1362257291,absent_entity
relation,278091,route,308,,way,1362257295,absent_entity
relation,278091,route,309,,way,1362257289,absent_entity
relation,278091,route,310,,way,1301681175,absent_entity
relation,278091,route,311,,way,1301681176,absent_entity
relation,278091,route,312,,way,1362257297,absent_entity
relation,278091,route,313,,way,1362257298,absent_entity
relation,278091,route,314,,way,200256630,absent_entity
relation,278091,route,315,,way,1232489210,absent_entity
relation,278091,route,316,,way,1275358471,absent_entity
relation,278091,route,317,,way,1275358477,absent_entity
relation,278091,route,318,,way,1275358470,absent_entity
relation,278091,route,319,,way,238454049,absent_entity
relation,278091,route,320,,way,1029924027,absent_entity
relation,278091,route,321,,way,1029924028,absent_entity
relation,278091,route,322,,way,172886646,absent_entity
relation,278091,route,323,,way,172886645,absent_entity
relation,278091,route,324,,way,1285856323,absent_entity
relation,278091,route,325,,way,172886642,absent_entity
relation,278091,route,326,,way,392362769,absent_entity
relation,278091,route,327,,way,1276062053,absent_entity
relation,278091,route,328,,way,185479476,absent_entity
relation,278091,route,329,,way,1116040560,absent_entity
relation,278091,route,330,,way,1116040558,absent_entity
relation,278091,route,331,,way,492433062,absent_entity
relation,278091,route,332,,way,492433063,absent_entity
relation,278091,route,333,,way,185479478,absent_entity
relation,278091,route,334,,way,172886633,absent_entity
relation,278091,route,335,,way,1278048164,absent_entity
relation,278091,route,336,,way,1110202942,absent_entity
relation,278091,route,337,,way,1410600264,absent_entity
relation,278091,route,338,,way,176788934,absent_entity
relation,278091,route,339,,way,1410600263,absent_entity
relation,278091,route,340,,way,1276050492,absent_entity
relation,278091,route,341,,way,176788915,absent_entity
relation,278091,route,342,,way,119760250,absent_entity
relation,278091,route,343,,way,1314587540,absent_entity
relation,278091,route,344,,way,172886635,absent_entity
relation,278091,route,345,,way,1314588769,absent_entity
relation,278091,route,346,,way,172886641,absent_entity
relation,278091,route,347,,way,1276012707,absent_entity
relation,278091,route,348,,way,172886637,absent_entity
relation,278091,route,349,,way,1276012705,absent_entity
relation,278091,route,350,,way,1314588768,absent_entity
relation,278091,route,351,,way,185479484,absent_entity
relation,278091,route,352,,way,185479491,absent_entity
relation,278091,route,353,,way,1275999799,absent_entity
relation,278091,route,354,,way,172886647,absent_entity
relation,278091,route,355,,way,172886636,absent_entity
relation,278091,route,356,,way,1275999797,absent_entity
relation,278091,route,357,,way,1158573857,absent_entity
relation,278091,route,358,,way,1188905140,absent_entity
relation,278091,route,359,,way,172886640,absent_entity
relation,278091,route,360,,way,764222259,absent_entity
relation,278091,route,361,,way,764222258,absent_entity
relation,278091,route,362,,way,157063002,absent_entity
relation,278091,route,363,,way,1314589639,absent_entity
relation,278091,route,364,,way,172886628,absent_entity
relation,278091,route,365,,way,172886625,absent_entity
relation,278091,route,366,,way,30890870,absent_entity
relation,278091,route,367,,way,244296446,absent_entity
relation,278091,route,368,,way,376662041,absent_entity
relation,278091,route,369,,way,1089723788,absent_entity
relation,278091,route,370,,way,380725713,absent_entity
relation,278091,route,371,,way,380725710,absent_entity
relation,278091,route,372,,way,1302237484,absent_entity
relation,278091,route,373,,way,589701031,absent_entity
relation,278091,route,374,,way,380725712,absent_entity
relation,278091,route,375,,way,37699615,absent_entity
relation,278091,route,376,,way,376784380,absent_entity
relation,278091,route,377,,way,677326081,absent_entity
relation,278091,route,378,,way,1314299112,absent_entity
relation,278091,route,379,,way,677326082,absent_entity
relation,278091,route,380,,way,1188322178,absent_entity
relation,278091,route,381,,way,1188322179,absent_entity
relation,278091,route,382,,way,677326080,absent_entity
relation,278091,route,383,,way,1086240289,absent_entity
relation,278091,route,384,,way,1086240290,absent_entity
relation,278091,route,385,,way,380787520,absent_entity
relation,278091,route,386,,way,380787521,absent_entity
relation,278091,route,387,,way,380787519,absent_entity
relation,278091,route,388,,way,1323814012,absent_entity
relation,278091,route,389,,way,1085142956,absent_entity
relation,278091,route,390,,way,376978813,absent_entity
relation,278091,route,391,,way,380929046,absent_entity
relation,278091,route,392,,way,380929049,absent_entity
relation,278091,route,393,,way,380929044,absent_entity
relation,278091,route,394,,way,380929051,absent_entity
relation,278091,route,395,,way,1239003788,absent_entity
relation,278091,route,396,,way,1239003798,absent_entity
relation,278091,route,397,,way,380929045,absent_entity
relation,278091,route,398,,way,380929043,absent_entity
relation,278091,route,399,,way,1215354175,absent_entity
relation,278091,route,400,,way,380929048,absent_entity
relation,278091,route,401,,way,1289254985,absent_entity
relation,278091,route,402,,way,380929047,absent_entity
relation,278091,route,403,,way,1203492808,absent_entity
relation,278091,route,404,,way,380929050,absent_entity
relation,278091,route,405,,way,380929042,absent_entity
relation,278091,route,406,,way,380929041,absent_entity
relation,278091,route,407,,way,1303900275,absent_entity
relation,278091,route,408,,way,1314359318,absent_entity
relation,278091,route,409,,way,377085053,absent_entity
relation,278091,route,410,,way,691997517,absent_entity
relation,278091,route,411,,way,1278098618,absent_entity
relation,278091,route,412,,way,377085042,absent_entity
relation,278091,route,413,,way,377085060,absent_entity
