location_id,purpose,district_code,attraction_layer,nres_volume_m3,total_volume_m3,attraction_weight,radius_m,source
osm_node_10004241056,work,520,nres,6316,2132780,2.88808e-05,300,derived
osm_node_10004241056,leisure,520,total,6316,2132780,2.13278e+06,300,derived
osm_node_10004262869,leisure,517,total,0,1691058,1.69106e+06,300,derived
osm_node_10004859926,work,518,nres,585667,1644069,0.000218391,300,derived
osm_node_10004969928,work,518,nres,238064,1335005,9.40243e-05,300,derived
osm_node_10004969928,shopping,518,total,238064,1335005,1.335e+06,300,derived
osm_node_10004969929,work,518,nres,275286,1367117,0.000107334,300,derived
osm_node_10004969929,shopping,518,total,275286,1367117,1.36712e+06,300,derived
osm_node_10004969931,work,518,nres,153888,1033797,6.21244e-05,300,derived
osm_node_10004969934,work,518,nres,72798,1285219,3.56604e-05,300,derived
osm_node_10004969935,work,518,nres,65426,1344818,3.3544e-05,300,derived
osm_node_10004969936,work,518,nres,0,2574927,2.02844e-05,300,derived
osm_node_10004969937,work,518,nres,0,2611349,2.05713e-05,300,derived
osm_node_10004969942,work,518,nres,8677,2517498,2.28756e-05,300,derived
osm_node_10004969943,work,518,nres,8677,2517498,2.28756e-05,300,derived
osm_node_10004969944,work,518,nres,0,2070159,1.6308e-05,300,derived
osm_node_10004969945,work,518,nres,26300,1618887,2.19785e-05,300,derived
osm_node_10004969946,work,518,nres,0,2070159,1.6308e-05,300,derived
osm_node_10004969947,work,518,nres,0,2070159,1.6308e-05,300,derived
osm_node_10004969948,work,518,nres,26439,863959,1.60802e-05,300,derived
osm_node_10005700938,work,520,nres,0,1876390,2.37259e-05,300,derived
osm_node_10010582317,work,520,nres,0,1063016,1.34413e-05,300,derived
osm_node_10010582417,work,520,nres,0,1117692,1.41326e-05,300,derived
osm_node_10010582417,leisure,520,total,0,1117692,1.11769e+06,300,derived
osm_node_10010729790,work,520,nres,85988,1475583,4.47023e-05,300,derived
osm_node_10011614805,work,520,nres,0,1643748,2.07843e-05,300,derived
osm_node_10011614805,leisure,520,total,0,1643748,1.64375e+06,300,derived
osm_node_10013209944,work,518,nres,678668,1798313,0.000252228,300,derived
osm_node_10013273575,work,520,nres,13782,1677617,2.53869e-05,300,derived
osm_node_10013273575,shopping,520,total,13782,1677617,1.67762e+06,300,derived
osm_node_10013273576,work,520,nres,13782,1677617,2.53869e-05,300,derived
osm_node_10013529048,work,520,nres,13782,1677617,2.53869e-05,300,derived
osm_node_10013538084,work,520,nres,13782,1677617,2.53869e-05,300,derived
osm_node_10013538084,shopping,520,total,13782,1677617,1.67762e+06,300,derived
osm_node_10013647188,work,520,nres,13782,1762851,2.64646e-05,300,derived
osm_node_10013647188,leisure,520,total,13782,1762851,1.76285e+06,300,derived
osm_node_10018548775,work,518,nres,2386,1447091,1.22366e-05,300,derived
osm_node_10020400470,work,517,nres,0,1001064,7.92029e-06,300,derived
osm_node_10020400470,leisure,517,total,0,1001064,1.00106e+06,300,derived
osm_node_10021297574,work,520,nres,0,505256,6.38868e-06,300,derived
osm_node_10021297574,leisure,520,total,0,505256,505256,300,derived
osm_node_10021618850,work,520,nres,0,819780,1.03657e-05,300,derived
osm_node_10021618850,shopping,520,total,0,819780,819780,300,derived
osm_node_10025892078,work,518,nres,603934,2169616,0.000228938,300,derived
osm_node_10025892078,shopping,518,total,603934,2169616,2.16962e+06,300,derived
osm_node_10028884153,work,520,nres,0,2179017,2.75525e-05,300,derived
osm_node_10028884153,shopping,520,total,0,2179017,2.17902e+06,300,derived
osm_node_10028884154,work,520,nres,0,2179017,2.75525e-05,300,derived
osm_node_10028884154,shopping,520,total,0,2179017,2.17902e+06,300,derived
osm_node_10028884155,work,520,nres,0,2179017,2.75525e-05,300,derived
osm_node_10028884155,shopping,520,total,0,2179017,2.17902e+06,300,derived
osm_node_10028884156,work,520,nres,0,2179017,2.75525e-05,300,derived
osm_node_10028884156,shopping,520,total,0,2179017,2.17902e+06,300,derived
osm_node_10030207417,work,520,nres,0,2459176,3.10949e-05,300,derived
osm_node_10030207417,shopping,520,total,0,2459176,2.45918e+06,300,derived
osm_node_10030779719,work,520,nres,0,1222324,1.54556e-05,300,derived
osm_node_10030779719,shopping,520,total,0,1222324,1.22232e+06,300,derived
osm_node_10031425617,work,520,nres,0,2459176,3.10949e-05,300,derived
osm_node_10031425617,shopping,520,total,0,2459176,2.45918e+06,300,derived
osm_node_10031427517,work,520,nres,0,2459176,3.10949e-05,300,derived
osm_node_10031427517,shopping,520,total,0,2459176,2.45918e+06,300,derived
osm_node_10033436965,leisure,520,total,0,14650,14650,300,derived
osm_node_10035392040,work,520,nres,0,2183922,2.76145e-05,300,derived
osm_node_10035392040,shopping,520,total,0,2183922,2.18392e+06,300,derived
osm_node_10035430819,work,520,nres,0,2183922,2.76145e-05,300,derived
osm_node_10035430819,shopping,520,total,0,2183922,2.18392e+06,300,derived
osm_node_10035430820,work,520,nres,0,2183922,2.76145e-05,300,derived
osm_node_10035430820,shopping,520,total,0,2183922,2.18392e+06,300,derived
osm_node_10035436365,work,520,nres,0,1951835,2.46799e-05,300,derived
osm_node_10035436365,shopping,520,total,0,1951835,1.95184e+06,300,derived
osm_node_10036691169,work,519,nres,0,577623,2.85723e-06,300,derived
osm_node_10036691169,shopping,519,total,0,577623,577623,300,derived
osm_node_10036691171,social,519,total,0,89276,89276,300,derived
osm_node_10042422219,work,518,nres,0,1869814,1.47297e-05,300,derived
osm_node_10042422221,social,517,total,0,1417931,1.41793e+06,300,derived
osm_node_10044086761,work,520,nres,40305,2132927,3.91774e-05,300,derived
osm_node_10044086761,leisure,520,total,40305,2132927,2.13293e+06,300,derived
osm_node_10044086762,work,520,nres,40305,2132927,3.91774e-05,300,derived
osm_node_10044086762,leisure,520,total,40305,2132927,2.13293e+06,300,derived
osm_node_10047670763,work,518,nres,65426,1344818,3.3544e-05,300,derived
osm_node_10047670764,work,518,nres,227396,933309,8.71178e-05,300,derived
osm_node_10048557343,work,518,nres,14191,710012,1.05711e-05,300,derived
osm_node_10048557343,shopping,518,total,14191,710012,710012,300,derived
osm_node_10048580302,work,520,nres,69788,1489277,3.99688e-05,300,derived
osm_node_10048580302,shopping,520,total,69788,1489277,1.48928e+06,300,derived
osm_node_10048587859,leisure,518,total,0,170473,170473,300,derived
osm_node_10048588852,social,519,total,16453,1149590,1.14959e+06,300,derived
osm_node_10048595319,work,519,nres,41474,971221,2.05738e-05,300,derived
osm_node_10048595319,education,519,total,41474,971221,971221,300,derived
osm_node_10048595530,work,518,nres,31400,1203235,2.04931e-05,300,derived
osm_node_10048595530,shopping,518,total,31400,1203235,1.20324e+06,300,derived
osm_node_10049044827,work,517,nres,132254,615366,5.1215e-05,300,derived
osm_node_10049044827,shopping,517,total,132254,615366,615366,300,derived
osm_node_10049107085,work,518,nres,26439,863959,1.60802e-05,300,derived
osm_node_10049107086,work,518,nres,26439,863959,1.60802e-05,300,derived
osm_node_10049107087,work,518,nres,2386,1447091,1.22366e-05,300,derived
osm_node_10049391878,work,517,nres,43090,961119,2.27045e-05,300,derived
osm_node_10050111556,social,517,total,0,162765,162765,300,derived
osm_node_10050183817,work,518,nres,65844,1559104,3.53787e-05,300,derived
osm_node_10050827222,work,517,nres,0,32856,2.59953e-07,300,derived
osm_node_10050827222,leisure,517,total,0,32856,32856,300,derived
osm_node_10050836330,leisure,517,total,0,32565,32565,300,derived
osm_node_10051753161,work,517,nres,16268,882427,1.26825e-05,300,derived
osm_node_10051753161,shopping,517,total,16268,882427,882427,300,derived
osm_node_10051753200,work,517,nres,0,198285,1.56881e-06,300,derived
osm_node_10051753200,shopping,517,total,0,198285,198285,300,derived
osm_node_10051753213,work,517,nres,16268,882427,1.26825e-05,300,derived
osm_node_10051753213,leisure,517,total,16268,882427,882427,300,derived
osm_node_10059081542,work,520,nres,4480,632631,9.35619e-06,300,derived
osm_node_10059081542,leisure,520,total,4480,632631,632631,300,derived
osm_node_10060203055,work,520,nres,0,2188505,2.76724e-05,300,derived
osm_node_10060308569,work,520,nres,0,2459176,3.10949e-05,300,derived
osm_node_10060308569,shopping,520,total,0,2459176,2.45918e+06,300,derived
osm_node_10060308570,work,520,nres,0,2459176,3.10949e-05,300,derived
osm_node_10060308570,leisure,520,total,0,2459176,2.45918e+06,300,derived
osm_node_10060338009,social,520,total,0,538507,538507,300,derived
osm_node_10063036405,work,520,nres,0,2514216,3.17909e-05,300,derived
osm_node_10063036405,shopping,520,total,0,2514216,2.51422e+06,300,derived
osm_node_10063036406,work,520,nres,0,2514216,3.17909e-05,300,derived
osm_node_10063036406,shopping,520,total,0,2514216,2.51422e+06,300,derived
osm_node_10063036407,work,520,nres,0,2514216,3.17909e-05,300,derived
osm_node_10063036407,leisure,520,total,0,2514216,2.51422e+06,300,derived
osm_node_10065053572,work,520,nres,0,1349335,1.70616e-05,300,derived
osm_node_10065053572,shopping,520,total,0,1349335,1.34934e+06,300,derived
osm_node_10074514808,work,520,nres,0,2218516,2.80519e-05,300,derived
osm_node_10074514808,shopping,520,total,0,2218516,2.21852e+06,300,derived
osm_node_10074531931,work,520,nres,0,2218516,2.80519e-05,300,derived
osm_node_10074531931,shopping,520,total,0,2218516,2.21852e+06,300,derived
osm_node_10074934329,work,518,nres,0,48032,3.78379e-07,300,derived
osm_node_10074934329,leisure,518,total,0,48032,48032,300,derived
osm_node_10074934331,work,518,nres,0,48032,3.78379e-07,300,derived
osm_node_10074934332,work,520,nres,0,51772,6.54628e-07,300,derived
osm_node_10075819650,work,520,nres,12154,1871848,2.73497e-05,300,derived
osm_node_10075819650,leisure,520,total,12154,1871848,1.87185e+06,300,derived
osm_node_10076411791,work,520,nres,366923,1576606,0.00013107,300,derived
osm_node_10076411791,shopping,520,total,366923,1576606,1.57661e+06,300,derived
osm_node_10079717837,work,520,nres,0,2179017,2.75525e-05,300,derived
osm_node_10079717838,work,520,nres,0,2179017,2.75525e-05,300,derived
osm_node_10079717838,shopping,520,total,0,2179017,2.17902e+06,300,derived
osm_node_10079727455,work,520,nres,0,1976079,2.49864e-05,300,derived
osm_node_10079727455,shopping,520,total,0,1976079,1.97608e+06,300,derived
osm_node_10079750897,work,520,nres,0,2179017,2.75525e-05,300,derived
osm_node_10079750897,leisure,520,total,0,2179017,2.17902e+06,300,derived
osm_node_10079750898,work,520,nres,0,2459176,3.10949e-05,300,derived
osm_node_10079750898,shopping,520,total,0,2459176,2.45918e+06,300,derived
osm_node_10080029425,work,520,nres,0,1976079,2.49864e-05,300,derived
osm_node_10080029425,shopping,520,total,0,1976079,1.97608e+06,300,derived
osm_node_10080029427,work,520,nres,0,1976079,2.49864e-05,300,derived
osm_node_10080029427,leisure,520,total,0,1976079,1.97608e+06,300,derived
osm_node_10080029428,work,520,nres,0,1976079,2.49864e-05,300,derived
osm_node_10080029428,shopping,520,total,0,1976079,1.97608e+06,300,derived
osm_node_10080029429,work,520,nres,0,1976079,2.49864e-05,300,derived
osm_node_10080029429,shopping,520,total,0,1976079,1.97608e+06,300,derived
osm_node_10080207229,leisure,520,total,0,723,723,300,derived
osm_node_10080207238,leisure,520,total,0,1918,1918,300,derived
osm_node_10080207239,leisure,520,total,0,456,456,300,derived
osm_node_10080207286,leisure,520,total,0,1084,1084,300,derived
osm_node_10080207302,leisure,520,total,0,165,165,300,derived
osm_node_10080283372,leisure,520,total,0,0,0,300,derived
osm_node_10080299839,leisure,520,total,0,10076,10076,300,derived
osm_node_10080299843,leisure,520,total,0,11439,11439,300,derived
osm_node_10080299892,leisure,520,total,1441,35563,35563,300,derived
osm_node_10080299894,leisure,520,total,2407,42762,42762,300,derived
osm_node_10080299934,leisure,520,total,1441,35563,35563,300,derived
osm_node_10080299944,leisure,520,total,678,18653,18653,300,derived
osm_node_10080299947,leisure,520,total,1331,30568,30568,300,derived
osm_node_10091349942,work,520,nres,0,164886,2.08489e-06,300,derived
osm_node_10091349945,work,520,nres,0,378716,4.78866e-06,300,derived
osm_node_10091349947,work,520,nres,0,478868,6.05502e-06,300,derived
osm_node_10091349947,shopping,520,total,0,478868,478868,300,derived
osm_node_10091349948,work,520,nres,0,569748,7.20415e-06,300,derived
osm_node_10091349948,shopping,520,total,0,569748,569748,300,derived
osm_node_10091426170,work,520,nres,0,683136,8.63788e-06,300,derived
osm_node_10091431218,work,520,nres,1096364,1571739,0.000351945,300,derived
osm_node_10091431219,work,520,nres,0,1534812,1.94069e-05,300,derived
osm_node_10092613932,leisure,520,total,4027,73594,73594,300,derived
osm_node_10093180631,work,520,nres,0,2909924,3.67944e-05,300,derived
osm_node_10093180631,shopping,520,total,0,2909924,2.90992e+06,300,derived
osm_node_10093180647,work,520,nres,0,2751814,3.47952e-05,300,derived
osm_node_10093180647,leisure,520,total,0,2751814,2.75181e+06,300,derived
osm_node_10101434119,social,519,total,702,204127,204127,300,derived
osm_node_10102467744,work,520,nres,0,1290525,1.6318e-05,300,derived
osm_node_10102467744,leisure,520,total,0,1290525,1.29052e+06,300,derived
osm_node_10102498133,work,520,nres,6733,244566,5.13172e-06,300,derived
osm_node_10102498133,leisure,520,total,6733,244566,244566,300,derived
osm_node_10108069854,work,519,nres,55639,918311,2.5698e-05,300,derived
osm_node_10108069854,shopping,519,total,55639,918311,918311,300,derived
osm_node_10109217027,work,520,nres,0,1374812,1.73837e-05,300,derived
osm_node_10109217028,work,520,nres,0,1374812,1.73837e-05,300,derived
osm_node_10109217029,work,520,nres,0,1374812,1.73837e-05,300,derived
osm_node_10109217029,shopping,520,total,0,1374812,1.37481e+06,300,derived
osm_node_10109217030,work,520,nres,0,1374812,1.73837e-05,300,derived
osm_node_10109217030,shopping,520,total,0,1374812,1.37481e+06,300,derived
osm_node_10109217031,social,520,total,0,1374812,1.37481e+06,300,derived
osm_node_10109219801,work,520,nres,0,1678448,2.1223e-05,300,derived
osm_node_10109219801,shopping,520,total,0,1678448,1.67845e+06,300,derived
osm_node_10109219802,work,520,nres,0,1678448,2.1223e-05,300,derived
osm_node_10109219802,shopping,520,total,0,1678448,1.67845e+06,300,derived
osm_node_1011184850,work,520,nres,44864,2049051,3.94977e-05,300,derived
osm_node_1011184850,shopping,520,total,44864,2049051,2.04905e+06,300,derived
osm_node_1011184893,work,520,nres,0,1504126,1.90188e-05,300,derived
osm_node_1011184893,education,520,total,0,1504126,1.50413e+06,300,derived
osm_node_1011184907,work,520,nres,25360,2510707,3.94276e-05,300,derived
osm_node_1011184907,leisure,520,total,25360,2510707,2.51071e+06,300,derived
osm_node_1011184945,work,520,nres,25360,2510707,3.94276e-05,300,derived
osm_node_1011184945,leisure,520,total,25360,2510707,2.51071e+06,300,derived
osm_node_10116588177,work,520,nres,0,227925,2.88199e-06,300,derived
