geography_id,geometry_status,geometry_source_id,geometry_source_sha256,source_feature_ids,identity_basis,previous_geometry_source_id,comparable_count_cells,missing_count_cells
27:517:04157:551531:0000:000000,source_polygon,iitb_census_palghar,afb0ac6d3b9570f0cfec51b5ea0d329946ad7cacdf483058114745ecc2f20bb2,551531,Exact administrative codes and normalised name,,49,0
27:517:04157:551532:0000:000000,source_polygon,iitb_census_palghar,afb0ac6d3b9570f0cfec51b5ea0d329946ad7cacdf483058114745ecc2f20bb2,551532,Exact administrative codes and normalised name,,49,0
27:517:04157:551533:0000:000000,source_polygon,iitb_census_palghar,afb0ac6d3b9570f0cfec51b5ea0d329946ad7cacdf483058114745ecc2f20bb2,551533,Exact administrative codes and normalised name,,49,0
27:517:04157:551534:0000:000000,source_polygon,iitb_census_palghar,afb0ac6d3b9570f0cfec51b5ea0d329946ad7cacdf483058114745ecc2f20bb2,551534,Exact administrative codes and normalised name,,49,0
27:517:04157:551535:0000:000000,source_polygon,iitb_census_palghar,afb0ac6d3b9570f0cfec51b5ea0d329946ad7cacdf483058114745ecc2f20bb2,551535,Exact administrative codes and normalised name,,49,0
27:517:04157:551536:0000:000000,source_polygon,iitb_census_palghar,afb0ac6d3b9570f0cfec51b5ea0d329946ad7cacdf483058114745ecc2f20bb2,551536,Exact administrative codes and normalised name,,49,0
27:517:04157:551537:0000:000000,source_polygon,iitb_census_palghar,afb0ac6d3b9570f0cfec51b5ea0d329946ad7cacdf483058114745ecc2f20bb2,551537,Exact administrative codes and normalised name,,49,0
27:517:04157:551538:0000:000000,source_polygon,iitb_census_palghar,afb0ac6d3b9570f0cfec51b5ea0d329946ad7cacdf483058114745ecc2f20bb2,551538,Exact administrative codes and normalised name,,49,0
27:517:04157:551539:0000:000000,source_polygon,iitb_census_palghar,afb0ac6d3b9570f0cfec51b5ea0d329946ad7cacdf483058114745ecc2f20bb2,551539,Exact administrative codes and normalised name,,49,0
27:517:04157:551540:0000:000000,source_polygon,iitb_census_palghar,afb0ac6d3b9570f0cfec51b5ea0d329946ad7cacdf483058114745ecc2f20bb2,551540,Exact administrative codes and normalised name,,49,0
