source,source_id,source_sha256,source_pdf_page,source_table,model_assignment_status,section_id,directional_capacity_pcu_h,operating_speed_km_h,lane_capacity_pcu_h_lane,group_average_capacity_pcu_h_lane,capacity_basis,speed_basis
literature,urban_arterial_operating_speed_capacity_2017_pdf,62cf654c280e09ef133cc86b6ce4f4047fc557b719f98e3dbeb5f3fadaef2aaf,7,4,not_adopted_requires_local_evidence,D-6-1,6075,82.85,2025,2044,Greenshields_fit_to_speed_density_data_not_observed_maximum,85th_percentile_free_flow_standard_car
literature,urban_arterial_operating_speed_capacity_2017_pdf,62cf654c280e09ef133cc86b6ce4f4047fc557b719f98e3dbeb5f3fadaef2aaf,7,4,not_adopted_requires_local_evidence,D-6-2,6000,80.80,2000,,Greenshields_fit_to_speed_density_data_not_observed_maximum,85th_percentile_free_flow_standard_car
literature,urban_arterial_operating_speed_capacity_2017_pdf,62cf654c280e09ef133cc86b6ce4f4047fc557b719f98e3dbeb5f3fadaef2aaf,7,4,not_adopted_requires_local_evidence,D-6-3,6315,86.60,2105,,Greenshields_fit_to_speed_density_data_not_observed_maximum,85th_percentile_free_flow_standard_car
literature,urban_arterial_operating_speed_capacity_2017_pdf,62cf654c280e09ef133cc86b6ce4f4047fc557b719f98e3dbeb5f3fadaef2aaf,7,4,not_adopted_requires_local_evidence,J-6-1,4944,68.74,1648,1645,Greenshields_fit_to_speed_density_data_not_observed_maximum,85th_percentile_free_flow_standard_car
literature,urban_arterial_operating_speed_capacity_2017_pdf,62cf654c280e09ef133cc86b6ce4f4047fc557b719f98e3dbeb5f3fadaef2aaf,7,4,not_adopted_requires_local_evidence,J-6-2,4902,68.00,1634,,Greenshields_fit_to_speed_density_data_not_observed_maximum,85th_percentile_free_flow_standard_car
literature,urban_arterial_operating_speed_capacity_2017_pdf,62cf654c280e09ef133cc86b6ce4f4047fc557b719f98e3dbeb5f3fadaef2aaf,7,4,not_adopted_requires_local_evidence,J-6-3,4956,69.65,1652,,Greenshields_fit_to_speed_density_data_not_observed_maximum,85th_percentile_free_flow_standard_car
literature,urban_arterial_operating_speed_capacity_2017_pdf,62cf654c280e09ef133cc86b6ce4f4047fc557b719f98e3dbeb5f3fadaef2aaf,7,4,not_adopted_requires_local_evidence,B-6-1,5250,75.35,1750,1750,Greenshields_fit_to_speed_density_data_not_observed_maximum,85th_percentile_free_flow_standard_car
literature,urban_arterial_operating_speed_capacity_2017_pdf,62cf654c280e09ef133cc86b6ce4f4047fc557b719f98e3dbeb5f3fadaef2aaf,7,4,not_adopted_requires_local_evidence,C-6-1,4500,63.50,1500,1500,Greenshields_fit_to_speed_density_data_not_observed_maximum,85th_percentile_free_flow_standard_car
literature,urban_arterial_operating_speed_capacity_2017_pdf,62cf654c280e09ef133cc86b6ce4f4047fc557b719f98e3dbeb5f3fadaef2aaf,7,4,not_adopted_requires_local_evidence,D-4-1,4086,84.79,2043,1745,Greenshields_fit_to_speed_density_data_not_observed_maximum,85th_percentile_free_flow_standard_car
literature,urban_arterial_operating_speed_capacity_2017_pdf,62cf654c280e09ef133cc86b6ce4f4047fc557b719f98e3dbeb5f3fadaef2aaf,7,4,not_adopted_requires_local_evidence,D-4-2,3142,61.71,1556,,Greenshields_fit_to_speed_density_data_not_observed_maximum,85th_percentile_free_flow_standard_car
literature,urban_arterial_operating_speed_capacity_2017_pdf,62cf654c280e09ef133cc86b6ce4f4047fc557b719f98e3dbeb5f3fadaef2aaf,7,4,not_adopted_requires_local_evidence,D-4-3,3272,69.08,1636,,Greenshields_fit_to_speed_density_data_not_observed_maximum,85th_percentile_free_flow_standard_car
literature,urban_arterial_operating_speed_capacity_2017_pdf,62cf654c280e09ef133cc86b6ce4f4047fc557b719f98e3dbeb5f3fadaef2aaf,7,4,not_adopted_requires_local_evidence,J-4-1,2964,54.91,1482,1482,Greenshields_fit_to_speed_density_data_not_observed_maximum,85th_percentile_free_flow_standard_car
