from_station_key,to_station_key,timetable_service_count,from_native_boarding_nodes,to_native_boarding_nodes,shared_undirected_components,status,validation_scope
CR_HB_LABEL:andheri,CR_HB_LABEL:jogeshwari,56,"[""1646774124"",""1646774126"",""1646774128"",""1646774129"",""1646774130"",""1646774131"",""1646774132"",""7510862070"",""7510862071""]","[""7817967700"",""7817967701"",""7817967702"",""7817967703"",""10879528557"",""10879528558""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:andheri,CR_HB_LABEL:vileparle,56,"[""1646774124"",""1646774126"",""1646774128"",""1646774129"",""1646774130"",""1646774131"",""1646774132"",""7510862070"",""7510862071""]","[""621276256"",""3347771408"",""7510862076"",""7510862077"",""7510862078"",""7510862079""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:bandra,CR_HB_LABEL:khar road,55,"[""1233481359"",""1233481362"",""1233481375"",""1233481385"",""1233481390"",""7510862068"",""7510862069""]","[""4345706690"",""4345706693"",""7510862786"",""7510862787"",""7510862788"",""7510862789""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:bandra,CR_HB_LABEL:mahim jn,99,"[""1233481359"",""1233481362"",""1233481375"",""1233481385"",""1233481390"",""7510862068"",""7510862069""]","[""619252273"",""619252274"",""1365560229"",""1365560230"",""1365560231"",""1365560232""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:bandra,CR_HB_LABEL:santacruz,1,"[""1233481359"",""1233481362"",""1233481375"",""1233481385"",""1233481390"",""7510862068"",""7510862069""]","[""7510862080"",""7510862081"",""7510862082"",""7510862083"",""7510862084"",""7510862785""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:chembur,CR_HB_LABEL:govandi,214,"[""651265045"",""1367093081""]","[""1366986900"",""3878560519""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:chembur,CR_HB_LABEL:tilaknagar,215,"[""651265045"",""1367093081""]","[""6171366460"",""7818024713""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:chunabhatti,CR_HB_LABEL:gtb nagar,215,"[""7818099445"",""7818099446""]","[""7818093994"",""7818093995""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:chunabhatti,CR_HB_LABEL:kurla,215,"[""7818099445"",""7818099446""]","[""339078717"",""620015554"",""1367093210"",""1367093212"",""1367093215"",""1367093217"",""1367093225"",""1367093228""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:cotton green,CR_HB_LABEL:reay road,261,"[""4264980597"",""5389227965""]","[""7510862062"",""7510862063""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:cotton green,CR_HB_LABEL:sewri,261,"[""4264980597"",""5389227965""]","[""619290284"",""5389227951""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:dockyard road,CR_HB_LABEL:reay road,261,"[""619290482"",""5389227991""]","[""7510862062"",""7510862063""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:dockyard road,CR_HB_LABEL:sandhurst road,261,"[""619290482"",""5389227991""]","[""619293667"",""2178163625"",""2178163626"",""3501419203""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:goregaon,CR_EXTERNAL_CODE:BVI,1,"[""213030694"",""7817951291"",""7817951292"",""7817951293"",""7817951294"",""9156468960""]","[""3186571161"",""3345986848"",""3345986857"",""3345986875"",""3347009347"",""3347009361"",""7512478934""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:goregaon,CR_HB_LABEL:ramnagar,56,"[""213030694"",""7817951291"",""7817951292"",""7817951293"",""7817951294"",""9156468960""]","[""7817991345"",""7817991346"",""7817991347"",""7817991348""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:govandi,CR_HB_LABEL:chembur,214,"[""1366986900"",""3878560519""]","[""651265045"",""1367093081""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:govandi,CR_HB_LABEL:mankhurd,214,"[""1366986900"",""3878560519""]","[""246631903"",""1366794765""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:gtb nagar,CR_HB_LABEL:chunabhatti,215,"[""7818093994"",""7818093995""]","[""7818099445"",""7818099446""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:gtb nagar,CR_HB_LABEL:vadala road,215,"[""7818093994"",""7818093995""]","[""7510862064"",""7510862065"",""7510862066"",""7510862067""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:jogeshwari,CR_HB_LABEL:andheri,56,"[""7817967700"",""7817967701"",""7817967702"",""7817967703"",""10879528557"",""10879528558""]","[""1646774124"",""1646774126"",""1646774128"",""1646774129"",""1646774130"",""1646774131"",""1646774132"",""7510862070"",""7510862071""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
CR_HB_LABEL:jogeshwari,CR_HB_LABEL:ramnagar,56,"[""7817967700"",""7817967701"",""7817967702"",""7817967703"",""10879528557"",""10879528558""]","[""7817991345"",""7817991346"",""7817991347"",""7817991348""]","[""10008240050""]",potentially_connected_undirected,necessary_topology_check_only_no_direction_length_signalling_or_route_validation
