access_profile_sha256,referenced_ways_count,transport_class,inheritance_chain,baseline_source_key,baseline_raw_value,baseline_interpretation,contributing_tags,qualified_tags,scope_warnings,resolution_status,simulation_permission_established
00b1bab3857fec8dffb19cfa981a39b9d1620e43cbcf8bd142862ac6a465aee4,1,auto_rickshaw,"[""access"",""vehicle"",""motor_vehicle"",""auto_rickshaw""]",motor_vehicle,no,tagged_prohibition,"[{""key"":""access"",""value"":""permissive""},{""key"":""motor_vehicle"",""value"":""no""}]",{},[],tagged_prohibition,False
00b1bab3857fec8dffb19cfa981a39b9d1620e43cbcf8bd142862ac6a465aee4,1,bicycle,"[""access"",""vehicle"",""bicycle""]",access,permissive,tagged_revocable_permission,"[{""key"":""access"",""value"":""permissive""}]",{},[],tagged_revocable_permission,False
00b1bab3857fec8dffb19cfa981a39b9d1620e43cbcf8bd142862ac6a465aee4,1,bus,"[""access"",""vehicle"",""motor_vehicle"",""psv"",""bus""]",motor_vehicle,no,tagged_prohibition,"[{""key"":""access"",""value"":""permissive""},{""key"":""motor_vehicle"",""value"":""no""}]",{},[],tagged_prohibition,False
00b1bab3857fec8dffb19cfa981a39b9d1620e43cbcf8bd142862ac6a465aee4,1,foot,"[""access"",""foot""]",access,permissive,tagged_revocable_permission,"[{""key"":""access"",""value"":""permissive""}]",{},[],tagged_revocable_permission,False
00b1bab3857fec8dffb19cfa981a39b9d1620e43cbcf8bd142862ac6a465aee4,1,goods,"[""access"",""vehicle"",""motor_vehicle"",""goods""]",motor_vehicle,no,tagged_prohibition,"[{""key"":""access"",""value"":""permissive""},{""key"":""motor_vehicle"",""value"":""no""}]",{},[],tagged_prohibition,False
00b1bab3857fec8dffb19cfa981a39b9d1620e43cbcf8bd142862ac6a465aee4,1,hgv,"[""access"",""vehicle"",""motor_vehicle"",""hgv""]",motor_vehicle,no,tagged_prohibition,"[{""key"":""access"",""value"":""permissive""},{""key"":""motor_vehicle"",""value"":""no""}]",{},[],tagged_prohibition,False
00b1bab3857fec8dffb19cfa981a39b9d1620e43cbcf8bd142862ac6a465aee4,1,minibus,"[""access"",""vehicle"",""motor_vehicle"",""psv"",""minibus""]",motor_vehicle,no,tagged_prohibition,"[{""key"":""access"",""value"":""permissive""},{""key"":""motor_vehicle"",""value"":""no""}]",{},[],tagged_prohibition,False
00b1bab3857fec8dffb19cfa981a39b9d1620e43cbcf8bd142862ac6a465aee4,1,moped,"[""access"",""vehicle"",""motor_vehicle"",""moped""]",motor_vehicle,no,tagged_prohibition,"[{""key"":""access"",""value"":""permissive""},{""key"":""motor_vehicle"",""value"":""no""}]",{},[],tagged_prohibition,False
00b1bab3857fec8dffb19cfa981a39b9d1620e43cbcf8bd142862ac6a465aee4,1,motorcar,"[""access"",""vehicle"",""motor_vehicle"",""motorcar""]",motor_vehicle,no,tagged_prohibition,"[{""key"":""access"",""value"":""permissive""},{""key"":""motor_vehicle"",""value"":""no""}]",{},[],tagged_prohibition,False
00b1bab3857fec8dffb19cfa981a39b9d1620e43cbcf8bd142862ac6a465aee4,1,motorcycle,"[""access"",""vehicle"",""motor_vehicle"",""motorcycle""]",motor_vehicle,no,tagged_prohibition,"[{""key"":""access"",""value"":""permissive""},{""key"":""motor_vehicle"",""value"":""no""}]",{},[],tagged_prohibition,False
00b1bab3857fec8dffb19cfa981a39b9d1620e43cbcf8bd142862ac6a465aee4,1,share_taxi,"[""access"",""vehicle"",""motor_vehicle"",""psv"",""share_taxi""]",motor_vehicle,no,tagged_prohibition,"[{""key"":""access"",""value"":""permissive""},{""key"":""motor_vehicle"",""value"":""no""}]",{},[],tagged_prohibition,False
00b1bab3857fec8dffb19cfa981a39b9d1620e43cbcf8bd142862ac6a465aee4,1,taxi,"[""access"",""vehicle"",""motor_vehicle"",""psv"",""taxi""]",motor_vehicle,no,tagged_prohibition,"[{""key"":""access"",""value"":""permissive""},{""key"":""motor_vehicle"",""value"":""no""}]",{},[],tagged_prohibition,False
01c2f56ba5ebb3e1f656720e1694cb97baf4e1e933b7e02dcca0add4285b4def,5,auto_rickshaw,"[""access"",""vehicle"",""motor_vehicle"",""auto_rickshaw""]",vehicle,permit,requires_user_purpose_or_permission,"[{""key"":""vehicle"",""value"":""permit""}]",{},[],requires_user_purpose_or_permission,False
01c2f56ba5ebb3e1f656720e1694cb97baf4e1e933b7e02dcca0add4285b4def,5,bicycle,"[""access"",""vehicle"",""bicycle""]",bicycle,permissive,tagged_revocable_permission,"[{""key"":""vehicle"",""value"":""permit""},{""key"":""bicycle"",""value"":""permissive""}]",{},[],tagged_revocable_permission,False
01c2f56ba5ebb3e1f656720e1694cb97baf4e1e933b7e02dcca0add4285b4def,5,bus,"[""access"",""vehicle"",""motor_vehicle"",""psv"",""bus""]",vehicle,permit,requires_user_purpose_or_permission,"[{""key"":""vehicle"",""value"":""permit""}]",{},[],requires_user_purpose_or_permission,False
01c2f56ba5ebb3e1f656720e1694cb97baf4e1e933b7e02dcca0add4285b4def,5,foot,"[""access"",""foot""]",foot,permissive,tagged_revocable_permission,"[{""key"":""foot"",""value"":""permissive""}]",{},[],tagged_revocable_permission,False
01c2f56ba5ebb3e1f656720e1694cb97baf4e1e933b7e02dcca0add4285b4def,5,goods,"[""access"",""vehicle"",""motor_vehicle"",""goods""]",vehicle,permit,requires_user_purpose_or_permission,"[{""key"":""vehicle"",""value"":""permit""}]",{},[],requires_user_purpose_or_permission,False
01c2f56ba5ebb3e1f656720e1694cb97baf4e1e933b7e02dcca0add4285b4def,5,hgv,"[""access"",""vehicle"",""motor_vehicle"",""hgv""]",vehicle,permit,requires_user_purpose_or_permission,"[{""key"":""vehicle"",""value"":""permit""}]",{},[],requires_user_purpose_or_permission,False
