osm_node_id,longitude_deg,latitude_deg,projected_x_m,projected_y_m,projected_crs,source_tags_json,road_parent_ways_json,rail_parent_ways_json,model_connection_status
30520639,72.7956189,19.6076217,268799.74848958553,2169554.6957416837,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""unclassified"",""geometry_role"":""native_way_geometry"",""osm_way_id"":598727793}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":591598133}]",native_shared_node_not_transfer_or_conflict_permission
213021548,72.9947821,19.2918791,289287.88574599905,2134342.276325225,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":705422158}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1339824684}]",native_shared_node_not_transfer_or_conflict_permission
213024522,72.8602629,19.3672062,275250.47982469585,2142850.9838009467,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""tertiary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":213305195}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":782715894}]",native_shared_node_not_transfer_or_conflict_permission
241160687,72.9976715,19.0624643,289299.93346418766,2108941.793743851,EPSG:32643,"{""crossing:barrier"":""no"",""railway"":""level_crossing""}","[{""feature_value"":""service"",""geometry_role"":""native_way_geometry"",""osm_way_id"":825118118}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":643703941}]",native_shared_node_not_transfer_or_conflict_permission
245651374,73.3674121,18.7702045,327917.2124720857,2076190.4332340325,EPSG:32643,"{""source"":""AND""}","[{""feature_value"":""motorway"",""geometry_role"":""native_way_geometry"",""osm_way_id"":22842036},{""feature_value"":""motorway"",""geometry_role"":""native_way_geometry"",""osm_way_id"":149003178}]","[{""feature_value"":"""",""geometry_role"":""native_way_geometry"",""osm_way_id"":149003178}]",native_shared_node_not_transfer_or_conflict_permission
245651401,73.3671609,18.7705177,327891.04700645676,2076225.3414069235,EPSG:32643,"{""source"":""AND""}","[{""feature_value"":""motorway"",""geometry_role"":""native_way_geometry"",""osm_way_id"":149003178}]","[{""feature_value"":"""",""geometry_role"":""native_way_geometry"",""osm_way_id"":149003178}]",native_shared_node_not_transfer_or_conflict_permission
245651449,73.3668921,18.7707909,327862.9855033419,2076255.8394100254,EPSG:32643,"{""source"":""AND""}","[{""feature_value"":""motorway"",""geometry_role"":""native_way_geometry"",""osm_way_id"":149003178}]","[{""feature_value"":"""",""geometry_role"":""native_way_geometry"",""osm_way_id"":149003178}]",native_shared_node_not_transfer_or_conflict_permission
245651462,73.3665796,18.7710187,327830.27081460855,2076281.3548228748,EPSG:32643,"{""source"":""AND""}","[{""feature_value"":""motorway"",""geometry_role"":""native_way_geometry"",""osm_way_id"":149003178}]","[{""feature_value"":"""",""geometry_role"":""native_way_geometry"",""osm_way_id"":149003178}]",native_shared_node_not_transfer_or_conflict_permission
245651469,73.3650693,18.7713061,327671.3362027152,2076314.6263280034,EPSG:32643,"{""source"":""AND""}","[{""feature_value"":""motorway"",""geometry_role"":""native_way_geometry"",""osm_way_id"":149003178}]","[{""feature_value"":"""",""geometry_role"":""native_way_geometry"",""osm_way_id"":149003178}]",native_shared_node_not_transfer_or_conflict_permission
245651471,73.3646583,18.7714244,327628.1259525032,2076328.1179314514,EPSG:32643,"{""source"":""AND""}","[{""feature_value"":""motorway"",""geometry_role"":""native_way_geometry"",""osm_way_id"":149003178},{""feature_value"":""motorway"",""geometry_role"":""native_way_geometry"",""osm_way_id"":221478904}]","[{""feature_value"":"""",""geometry_role"":""native_way_geometry"",""osm_way_id"":149003178}]",native_shared_node_not_transfer_or_conflict_permission
245655031,72.8330606,18.9498326,271818.3816783144,2096678.2614437053,EPSG:32643,"{""source"":""Yahoo""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":46178388},{""feature_value"":""tertiary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":89191688}]","[{""feature_value"":""proposed"",""geometry_role"":""native_way_geometry"",""osm_way_id"":540125947}]",native_shared_node_not_transfer_or_conflict_permission
245656894,72.8190859,18.965823,270368.1665033682,2098466.7216609954,EPSG:32643,"{""highway"":""traffic_signals"",""source"":""AND"",""traffic_signals"":""signal""}","[{""feature_value"":""secondary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":40701022},{""feature_value"":""secondary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1174930385},{""feature_value"":""secondary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1236032560}]","[{""feature_value"":""subway"",""geometry_role"":""native_way_geometry"",""osm_way_id"":610015452}]",native_shared_node_not_transfer_or_conflict_permission
245658275,72.8265962,18.9813715,271180.4801077618,2100178.33277018,EPSG:32643,"{""highway"":""traffic_signals"",""junction"":""roundabout"",""source"":""AND"",""traffic_signals"":""signal""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":22852351},{""feature_value"":""secondary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1236032552}]","[{""feature_value"":""subway"",""geometry_role"":""native_way_geometry"",""osm_way_id"":539615484}]",native_shared_node_not_transfer_or_conflict_permission
245671397,72.8734989,19.1102879,276293.2293404598,2114390.1870475155,EPSG:32643,"{""source"":""AND""}","[{""feature_value"":""primary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1141926437}]","[{""feature_value"":""station"",""geometry_role"":""native_way_geometry"",""osm_way_id"":311841874},{""feature_value"":""platform"",""geometry_role"":""area_boundary"",""osm_way_id"":311841897}]",native_shared_node_not_transfer_or_conflict_permission
276561766,73.2232328,19.3586446,313376.2352915396,2141470.8598092007,EPSG:32643,"{""railway"":""level_crossing"",""source"":""digitalglobe""}","[{""feature_value"":""tertiary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":781815122}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1314987875}]",native_shared_node_not_transfer_or_conflict_permission
276562409,73.1403434,19.2353844,304521.1477331054,2127917.934521686,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""service"",""geometry_role"":""native_way_geometry"",""osm_way_id"":788332944}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":608432566}]",native_shared_node_not_transfer_or_conflict_permission
276570079,73.3168118,19.0448244,322871.9243445704,2106636.3322118153,EPSG:32643,"{""railway"":""level_crossing"",""source"":""bing""}","[{""feature_value"":""tertiary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":608627868}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":484175099}]",native_shared_node_not_transfer_or_conflict_permission
338318837,73.0099776,19.0664645,290600.3134706352,2109369.8761967937,EPSG:32643,{},"[{""feature_value"":""tertiary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":490047280},{""feature_value"":""tertiary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":607051804}]","[{""feature_value"":""station"",""geometry_role"":""native_way_geometry"",""osm_way_id"":151769149}]",native_shared_node_not_transfer_or_conflict_permission
506820272,73.3005473,18.1664831,320239.685092789,2009436.1018944115,EPSG:32643,"{""crossing:barrier"":""full"",""crossing:bell"":""yes"",""crossing:light"":""no"",""railway"":""level_crossing""}","[{""feature_value"":""unclassified"",""geometry_role"":""native_way_geometry"",""osm_way_id"":563325285}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1495066979}]",native_shared_node_not_transfer_or_conflict_permission
506820296,73.2280593,18.3829451,312802.7099765984,2033467.024747276,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""tertiary"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1494030726}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":77630152}]",native_shared_node_not_transfer_or_conflict_permission
506820351,73.1191823,18.5780183,301521.8861155226,2055175.307767589,EPSG:32643,"{""railway"":""level_crossing"",""supervised"":""no""}","[{""feature_value"":""unclassified"",""geometry_role"":""native_way_geometry"",""osm_way_id"":563002847}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1188606053}]",native_shared_node_not_transfer_or_conflict_permission
506820379,73.0521057,18.6917245,294578.09137568274,2067837.3833491825,EPSG:32643,{},"[{""feature_value"":""service"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1162053961}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":312446323}]",native_shared_node_not_transfer_or_conflict_permission
506820385,73.0549867,18.712266,294906.7709537921,2070107.9199209248,EPSG:32643,"{""railway"":""level_crossing"",""supervised"":""no""}","[{""feature_value"":""unclassified"",""geometry_role"":""native_way_geometry"",""osm_way_id"":843811392}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":312446323}]",native_shared_node_not_transfer_or_conflict_permission
571730356,73.154159,18.8704303,305548.7782970661,2087504.2497305265,EPSG:32643,"{""railway"":""level_crossing""}","[{""feature_value"":""residential"",""geometry_role"":""native_way_geometry"",""osm_way_id"":630895170}]","[{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":319935265},{""feature_value"":""rail"",""geometry_role"":""native_way_geometry"",""osm_way_id"":1007640414}]",native_shared_node_not_transfer_or_conflict_permission
