source,source_id,source_sha256,source_row_serial,depot_code,depot_name,zone_raw,status,address_raw,routes_raw,bus_stations_raw,major_operation_raw
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,"Electric House, Colaba, Mumbai","2L, 6Lroute1, 6Lroute2, 22L, 44route1, 44route2, 101, 103, 111, 122, 1SPL, 4SPL, C6Exp, A8, FORT FERRY 1, FORT FERRY 2, FORT FERRY AC 1, FORT FERRY AC 2","Colaba Depot, Chht. Shivaji Terminus, Ballard Pier","Colaba, Chht. Shivaji Terminus, Fort"
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,"Cuffe Parade Road, Backbay, Mumbai","3, 7L, 9, 25L, 100, 106, 108, 112, 121, 132, 133, 134, 137, 138, 139, 2SPL, 8SPL, 9SPL","Backbay Depot, Navy Nagar, Colaba Bus Stn., Ahilyabai Holkar Chk.","Backbay, Nariman Point, Churchgate"
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,3,CN,Mumbai Central,City Zone,current_operation_and_geocoding_unverified,"Morland Road, Byculla, Mumbai","18, 30L, 41, 42, 48, 104, 105, 120, 123, 126, 130, 135, 154, 155, 156, 168route2, 351, 661","Mumbai Central Depot, Ferry Wharf, Jijamata Udyan, Vasantrao Naik Chk., Byculla Stn. [W],","Mumbai Central, Tardeo, Byculla, Mazgaon, Walkeshwar"
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,4,WR,Worli,City Zone,current_operation_and_geocoding_unverified,"Off A. B. Road, Worli, Mumbai","27, 50, 53, 55,56, 82, 89, 110, 124, 125, 161, 162, 163, 167, 171, 324, 463","Worli Depot, Worli Village, Com. P. K. Kurne Chk.","Worli, Dadar (W), Prabhadevi, Parel"
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,5,W,Wadala,City Zone,current_operation_and_geocoding_unverified,"Tilak Road, Opp. Dr. Babasaheb Ambedkar College, Wadala, Mumbai","16L, 40L, 57, 69, 77, 151, 160, 168, 174, 213, 241, 411, 440L, 453L, 504L, AS006","Wadala Depot, P. Thakre Udyan","Wadala, Dadar (E), Sewree"
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,6,M,Marol,Central Suburb Zone,current_operation_and_geocoding_unverified,"Central Road, MIDC, Marol, Andheri (E), Mumbai","22L, 35, 39, 184, 186, 307, 319, 328, 334, 335, 337, 338, 340, 434, 435, 443, 522L, 545L, 706L, C46Exp","Marol Depot, Agarkar Chowk, Marol Maroshi Bus Stn.","Andheri (E), Marol, Chandivali, Sahar, Maroshi"
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,7,DH,Dharavi,Central Suburb Zone,current_operation_and_geocoding_unverified,"Bandra-Sion Link Road, Dharavi, Mumbai","75, 192, 217, 218, 219, 303, 310, 311, 313, 316, 317, 318, 395, 413, 449L, 618","Dharavi Depot, Bandra Rly Ter [E], Bandra Colony Bus Stn., Santacruz Rly Stn(E)","Bandra (E), BKC, Sion, Dharavi"
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,8,KK,KalaKilla,Central Suburb Zone,current_operation_and_geocoding_unverified,"Bandra-Sion Link Road, Dharavi, Mumbai","11L, 46, 52, 63,66, 70, 87L,164, 165, 166, 173, 352, 615,C42Exp, C71Exp, C72Exp","KalaKilla Depot, Dharavi Depot, Bandra Rly Ter [E], Bandra Colony Bus Stn.","Bandra (E), BKC, Sion, Dharavi, Trombay, Bhayander Station(E)"
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,9,MT,Magathane,Central Suburb Zone,current_operation_and_geocoding_unverified,"Near Tata Steel, Western Express Highway, Borivali (E), Mumbai-400066.","188L,209, 293, 297, 298, 301, 462, 477, 479, 498L, 524L, 623, 629, 696, 698, 700L, 702L, 703L, 709L, 710L, AS2, AS524, AS700","Magathane Depot, Borivali Stn. [E], Samata Nagar","Borivali (E), Dahisar (E), Mira Road (E), Bhayandar (E)."
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,10,DIN,Dindoshi,Central Suburb Zone,current_operation_and_geocoding_unverified,"Film City Road, Dindoshi, Mumbai","282, 287, 288, 289, 300, 326, 327, 342, 343, 344, 346, 347, 349, 398L, 451, 452, 523L, 525L, 601, 624, 646, 701L, 705L, 718L","Dindoshi Bus Stn, Goregaon Stn [E], Kandivali Bus Stn., Shivshahi Prakalp, N.N.P, Gokuldham","Kandivali (E), Malad (E), Goreagon (E)"
