source,source_id,source_sha256,source_row_serial,depot_code,depot_name,zone_raw,status,route_ordinal,route_label_raw,mode,identity_crosswalk_status
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,1,2L,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,2,6Lroute1,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,3,6Lroute2,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,4,22L,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,5,44route1,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,6,44route2,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,7,101,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,8,103,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,9,111,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,10,122,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,11,1SPL,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,12,4SPL,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,13,C6Exp,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,14,A8,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,15,FORT FERRY 1,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,16,FORT FERRY 2,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,17,FORT FERRY AC 1,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,1,C,Colaba,City Zone,current_operation_and_geocoding_unverified,18,FORT FERRY AC 2,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,1,3,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,2,7L,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,3,9,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,4,25L,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,5,100,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,6,106,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,7,108,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,8,112,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,9,121,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,10,132,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,11,133,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,12,134,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,13,137,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,14,138,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,15,139,bus,unresolved
official_undated_operator_listing,best_depots_20260919,1a83a5e342232dd5d6e2863d0c8f793d89d808f2850a51ac0684fd0543fb9811,2,BB,Backbay,City Zone,current_operation_and_geocoding_unverified,16,2SPL,bus,unresolved
