stage_distance_as_printed_km,fare_class,base_fare_inr,source_page_1_based,source,source_id,source_sha256,transcription_sha256,effective_date_as_printed,status,model_ready
5,non_ac_adult,10,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
5,non_ac_concessional,5,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
5,ac_adult,12,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
5,ac_concessional,5,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
10,non_ac_adult,15,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
10,non_ac_concessional,8,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
10,ac_adult,20,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
10,ac_concessional,10,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
15,non_ac_adult,20,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
15,non_ac_concessional,10,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
15,ac_adult,30,1,official_fare_table_visual_transcription,best_bus_pass_2025,b59d8697af65dc34ac5b3e5558c6c5cf6e8f43bc1e68d069ef5a9d4d3a8a534c,b9d63f17d0897a8a90a6e3f927a5b1a9c4b5fd350da1b9f8bea4ac5538e70228,2025-05-08,published_table_transcribed_not_current_fare_engine,False
