source,source_id,source_sha256,source_pdf_page,source_serial,junction_name_as_printed,junction_type_as_printed,latitude_dms_as_printed,longitude_dms_as_printed,latitude_degrees,longitude_degrees,coordinate_datum,coordinate_derivation,evidence_scope,operating_plan_status,model_binding_status
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,1,President Hotel,3-arm,"18°54'51.32""N,","72°49'17.94""E",18.91425555555555555555555556,72.82165000000000000000000000,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,2,Saigaonkar Marg on Captain Prakash Marg,3-arm,"18°54'59.93""N","72°49'25.12""E",18.91664722222222222222222222,72.82364444444444444444444445,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,3,Badhwar Park,3-arm,"18°55'7.62""N,","72°49'31.76""E",18.91878333333333333333333334,72.82548888888888888888888889,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,4,Lalit Building,3-arm,"18°55'16.18""N","72°49'34.82""E",18.92116111111111111111111111,72.82633888888888888888888889,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,5,Sarang Building,3-arm,"18°55'22.22""N","72°49'35.96""E",18.92283888888888888888888889,72.82665555555555555555555556,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,6,Arthor Bandar Road on S B S Marg,3-arm,"18°55'8.20""N","72°49'44.61""E",18.91894444444444444444444445,72.82905833333333333333333334,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,7,BEST House,4-arm,"18°55'18.70""N","72°49'52.19""E",18.92186111111111111111111111,72.83116388888888888888888889,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,8,Nathalal Parekh,4-arm,"18°55'22.50""N","72°49'45.86""E",18.92291666666666666666666667,72.82940555555555555555555556,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,9,Bombay Samachar Marg,3-arm,"18°55'41.58""N","72°50'2.82""E",18.92821666666666666666666667,72.83411666666666666666666666,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,10,Horniman Circle,3-arm +ped,"18°55'55.17""N","72°50'8.54""E",18.93199166666666666666666667,72.83570555555555555555555555,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,11,RBI Junction,Ped,"18°56'0.09""N","72°50'12.67""E",18.93335833333333333333333333,72.83685277777777777777777777,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,12,Fort Market,4-arm,"18°56'4.20""N","72°50'13.40""E",18.93450000000000000000000000,72.83705555555555555555555555,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,13,ACP Office,3-arm,"18°56'18.65""N","72°50'9.41""E",18.93851388888888888888888889,72.83594722222222222222222222,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,14,GPO Junction,3-arm,"18°56'18.43""N","72°50'12.72""E",18.93845277777777777777777777,72.83686666666666666666666666,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,15,Mint Road on P D'mello Road,4-arm,"18°56'17.81""N","72°50'16.64""E",18.93828055555555555555555555,72.83795555555555555555555555,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,16,Karnac Bandar,4-arm,"18°56'55.95""N","72°50'26.03""E",18.94887500000000000000000000,72.84056388888888888888888889,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,17,Wadi Bandar,3-arm,"18°57'26.49""N","72°50'33.24""E",18.95735833333333333333333333,72.84256666666666666666666666,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,18,Mallet Bandar,3-arm,"18°57'36.51""N","72°50'35.77""E",18.96014166666666666666666667,72.84326944444444444444444444,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
published_tender_inventory,bmc_signal_upgrade_spec_2021,643aa77e2d77ab6fb05c1d3edca5acf2425cdf476c99810a864e17880804c9a0,63,19,Kaklij Chowk,4-arm,"18°57'48.79""N","72°50'38.56""E",18.96355277777777777777777778,72.84404444444444444444444444,not_stated_in_table,degrees + minutes/60 + seconds/3600; datum unchanged,70_junction_upgrade_tender_not_citywide_signal_census,cycles_splits_offsets_and_phases_not_supplied_by_inventory,unmatched_reference_point_not_assigned_to_OSM
