state_code,district_code,residence,district_name,mode_raw,distance_band_km_raw,persons_count,male_persons_count,female_persons_count,observation_year,universe,source,source_id,source_sha256,calibration_eligible
27,517,Total,Thane,All Modes,Total,3600371,2872963,727408,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,All Modes,No travel,650478,438733,211745,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,All Modes,0-1,604215,493060,111155,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,All Modes,2-5,682951,567931,115020,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,All Modes,6-10,429827,351557,78270,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,All Modes,11-20,270652,220523,50129,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,All Modes,21-30,251581,206169,45412,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,All Modes,31-50,373766,310690,63076,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,All Modes,51+,222121,189515,32606,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,All Modes,Distance not stated,114780,94785,19995,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
27,517,Total,Thane,On foot,Total,884985,714306,170679,2011,Other workers; residence-to-work travel only,observed,census_b28_maharashtra,0b0b001faccad197013de65996e77c71b9d92b390d0b21613a5003155028da09,false
