state_code,district_code,subdistrict_code,town_code,area_name,residence,household_size_band,households_count,all_size_households_count,all_size_normal_household_persons_count,published_mean_household_size_persons,universe,source,source_id,source_sha256,source_row,observation_year,status
27,517,00000,000000,District - Thane,Total,1,101726,2516599,10962488,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,691,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Total,2,259619,2516599,10962488,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,691,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Total,3,462658,2516599,10962488,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,691,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Total,4,695664,2516599,10962488,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,691,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Total,5,458647,2516599,10962488,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,691,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Total,6,252189,2516599,10962488,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,691,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Total,7-10,257502,2516599,10962488,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,691,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Total,11-14,23186,2516599,10962488,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,691,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Total,15+,5408,2516599,10962488,4.4,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,691,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Rural,1,23110,538828,2498124,4.6,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,692,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Rural,2,56493,538828,2498124,4.6,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,692,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Rural,3,76051,538828,2498124,4.6,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,692,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Rural,4,121566,538828,2498124,4.6,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,692,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Rural,5,106374,538828,2498124,4.6,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,692,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Rural,6,69626,538828,2498124,4.6,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,692,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Rural,7-10,78189,538828,2498124,4.6,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,692,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Rural,11-14,6336,538828,2498124,4.6,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,692,2011,historical_control_not_current_demand
27,517,00000,000000,District - Thane,Rural,15+,1083,538828,2498124,4.6,Normal households; repeated totals and nested geography must not be summed,observed,census_hh1_maharashtra,32cde14d5871568173eef1ab33327d807fd18ad86574a152f1db6702334f3d8b,692,2011,historical_control_not_current_demand
