geography_id,state_code,district_code,subdistrict_code,town_village_code,ward_code,level,name,rural_urban,observation_year,households_count,persons_count,male_persons_count,female_persons_count,persons_age_0_6_count,male_age_0_6_count,female_age_0_6_count,literate_persons_count,workers_count,main_workers_count,main_other_workers_count,marginal_workers_count,marginal_other_workers_count,non_workers_count,male_workers_count,female_workers_count,male_main_workers_count,female_main_workers_count,male_marginal_workers_count,female_marginal_workers_count,marginal_workers_3_to_6_months_count,male_marginal_workers_3_to_6_months_count,female_marginal_workers_3_to_6_months_count,marginal_workers_under_3_months_count,male_marginal_workers_under_3_months_count,female_marginal_workers_under_3_months_count,male_non_workers_count,female_non_workers_count,main_cultivators_count,male_main_cultivators_count,female_main_cultivators_count,main_agricultural_labourers_count,male_main_agricultural_labourers_count,female_main_agricultural_labourers_count,main_household_industry_workers_count,male_main_household_industry_workers_count,female_main_household_industry_workers_count,male_main_other_workers_count,female_main_other_workers_count,marginal_cultivators_count,male_marginal_cultivators_count,female_marginal_cultivators_count,marginal_agricultural_labourers_count,male_marginal_agricultural_labourers_count,female_marginal_agricultural_labourers_count,marginal_household_industry_workers_count,male_marginal_household_industry_workers_count,female_marginal_household_industry_workers_count,male_marginal_other_workers_count,female_marginal_other_workers_count,marginal_3_to_6_months_cultivators_count,male_marginal_3_to_6_months_cultivators_count,female_marginal_3_to_6_months_cultivators_count,marginal_3_to_6_months_agricultural_labourers_count,male_marginal_3_to_6_months_agricultural_labourers_count,female_marginal_3_to_6_months_agricultural_labourers_count,marginal_3_to_6_months_household_industry_workers_count,male_marginal_3_to_6_months_household_industry_workers_count,female_marginal_3_to_6_months_household_industry_workers_count,marginal_3_to_6_months_other_workers_count,male_marginal_3_to_6_months_other_workers_count,female_marginal_3_to_6_months_other_workers_count,marginal_under_3_months_cultivators_count,male_marginal_under_3_months_cultivators_count,female_marginal_under_3_months_cultivators_count,marginal_under_3_months_agricultural_labourers_count,male_marginal_under_3_months_agricultural_labourers_count,female_marginal_under_3_months_agricultural_labourers_count,marginal_under_3_months_household_industry_workers_count,male_marginal_under_3_months_household_industry_workers_count,female_marginal_under_3_months_household_industry_workers_count,marginal_under_3_months_other_workers_count,male_marginal_under_3_months_other_workers_count,female_marginal_under_3_months_other_workers_count,male_literate_persons_count,female_literate_persons_count,illiterate_persons_count,male_illiterate_persons_count,female_illiterate_persons_count,source,source_id,source_sha256,spatial_status
27:519:99999:802794:0101:000000,27,519,99999,802794,0101,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0101,Urban,2011,21985,92528,51198,41330,11327,6034,5293,70028,41142,38942,38175,2200,2078,51386,31698,9444,30460,8482,1238,962,1975,1109,866,225,129,96,19500,31886,95,74,21,108,88,20,564,388,176,29910,8265,48,18,30,11,7,4,63,28,35,1185,893,48,18,30,10,7,3,56,26,30,1861,1058,803,0,0,0,1,0,1,7,2,5,217,127,90,40812,29216,22500,10386,12114,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0102:000000,27,519,99999,802794,0102,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0102,Urban,2011,7787,32450,16739,15711,2472,1252,1220,27275,14497,13687,13494,810,767,17953,10175,4322,9726,3961,449,361,758,422,336,52,27,25,6564,11389,35,29,6,29,19,10,129,77,52,9601,3893,10,4,6,1,1,0,32,8,24,436,331,10,4,6,1,1,0,25,8,17,722,409,313,0,0,0,0,0,0,7,0,7,45,27,18,14538,12737,5175,2201,2974,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0103:000000,27,519,99999,802794,0103,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0103,Urban,2011,5618,23963,13289,10674,2083,1093,990,18600,12024,10589,10383,1435,1392,11939,8600,3424,7739,2850,861,574,1274,759,515,161,102,59,4689,7250,32,22,10,24,17,7,150,103,47,7597,2786,5,3,2,4,4,0,34,16,18,838,554,4,3,1,4,4,0,31,15,16,1235,737,498,1,0,1,0,0,0,3,1,2,157,101,56,10754,7846,5363,2535,2828,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0104:000000,27,519,99999,802794,0104,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0104,Urban,2011,2925,12402,7165,5237,838,451,387,10698,5627,5345,5148,282,255,6775,4763,864,4546,799,217,65,255,198,57,27,19,8,2402,4373,118,94,24,11,8,3,68,41,27,4403,745,15,13,2,2,1,1,10,6,4,197,58,14,12,2,2,1,1,6,2,4,233,183,50,1,1,0,0,0,0,4,4,0,22,14,8,6239,4459,1704,926,778,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0105:000000,27,519,99999,802794,0105,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0105,Urban,2011,5551,23671,12836,10835,1563,779,784,19634,10470,9845,9741,625,594,13201,8220,2250,7741,2104,479,146,536,406,130,89,73,16,4616,8585,27,6,21,23,15,8,54,24,30,7696,2045,9,4,5,5,3,2,17,7,10,465,129,9,4,5,5,3,2,15,5,10,507,394,113,0,0,0,0,0,0,2,2,0,87,71,16,10748,8886,4037,2088,1949,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0206:000000,27,519,99999,802794,0206,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0206,Urban,2011,5802,26794,15540,11254,2745,1465,1280,19831,11670,10855,10392,815,746,15124,10100,1570,9535,1320,565,250,612,414,198,203,151,52,5440,9684,9,7,2,16,11,5,438,291,147,9226,1166,8,5,3,3,3,0,58,33,25,524,222,8,5,3,3,3,0,36,23,13,565,383,182,0,0,0,0,0,0,22,10,12,181,141,40,11855,7976,6963,3685,3278,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0207:000000,27,519,99999,802794,0207,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0207,Urban,2011,3223,14451,8311,6140,1215,609,606,12188,5988,5896,5661,92,84,8463,5432,556,5377,519,55,37,84,48,36,8,7,1,2879,5584,5,3,2,13,10,3,217,176,41,5188,473,1,1,0,1,0,1,6,0,6,54,30,1,1,0,1,0,1,5,0,5,77,47,30,0,0,0,0,0,0,1,0,1,7,7,0,7040,5148,2263,1271,992,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0208:000000,27,519,99999,802794,0208,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0208,Urban,2011,11440,55886,30270,25616,5590,2966,2624,46205,19930,18994,18354,936,854,35956,17366,2564,16818,2176,548,388,799,452,347,137,96,41,12904,23052,42,30,12,33,25,8,565,455,110,16308,2046,13,7,6,17,11,6,52,16,36,514,340,12,7,5,13,7,6,42,13,29,732,425,307,1,0,1,4,4,0,10,3,7,122,89,33,25239,20966,9681,5031,4650,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0209:000000,27,519,99999,802794,0209,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0209,Urban,2011,6675,30159,16324,13835,2721,1394,1327,23224,12630,11852,11537,778,725,17529,10084,2546,9586,2266,498,280,588,376,212,190,122,68,6240,11289,21,13,8,26,16,10,268,158,110,9399,2138,7,7,0,2,1,1,44,14,30,476,249,5,5,0,1,1,0,34,10,24,548,360,188,2,2,0,1,0,1,10,4,6,177,116,61,12943,10281,6935,3381,3554,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0310:000000,27,519,99999,802794,0310,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0310,Urban,2011,5097,23703,13425,10278,1934,976,958,19268,9784,9351,9052,433,394,13919,8667,1117,8387,964,280,153,368,235,133,65,45,20,4758,9161,18,13,5,18,15,3,263,197,66,8162,890,12,8,4,5,3,2,22,6,16,263,131,10,7,3,4,2,2,18,6,12,336,220,116,2,1,1,1,1,0,4,0,4,58,43,15,10750,8518,4435,2675,1760,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0311:000000,27,519,99999,802794,0311,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0311,Urban,2011,5335,25646,14566,11080,2051,1061,990,21487,11137,10518,10085,619,545,14509,9401,1736,8991,1527,410,209,573,386,187,46,24,22,5165,9344,29,17,12,12,8,4,392,272,120,8694,1391,28,16,12,7,2,5,39,12,27,380,165,28,16,12,6,1,5,32,9,23,507,360,147,0,0,0,1,1,0,7,3,4,38,20,18,12540,8947,4159,2026,2133,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0312:000000,27,519,99999,802794,0312,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0312,Urban,2011,7572,37220,21990,15230,3086,1595,1491,31541,16498,15780,14215,718,641,20722,14814,1684,14376,1404,438,280,650,396,254,68,42,26,7176,13546,38,31,7,34,28,6,1493,1394,99,12923,1292,23,11,12,2,0,2,52,29,23,398,243,23,11,12,2,0,2,45,28,17,580,357,223,0,0,0,0,0,0,7,1,6,61,41,20,18972,12569,5679,3018,2661,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0313:000000,27,519,99999,802794,0313,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0313,Urban,2011,3960,17853,13437,4416,679,360,319,15275,12692,12416,12067,276,238,5161,11601,1091,11403,1013,198,78,253,180,73,23,18,5,1836,3325,32,23,9,26,24,2,291,245,46,11111,956,20,9,11,0,0,0,18,13,5,176,62,20,9,11,0,0,0,17,12,5,216,159,57,0,0,0,0,0,0,1,1,0,22,17,5,11700,3575,2578,1737,841,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0314:000000,27,519,99999,802794,0314,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0314,Urban,2011,7171,30878,17354,13524,1821,992,829,26740,15028,14524,13837,504,450,15850,11654,3374,11335,3189,319,185,435,276,159,69,43,26,5700,10150,31,23,8,48,35,13,608,447,161,10830,3007,21,12,9,1,0,1,32,18,14,289,161,21,12,9,1,0,1,24,14,10,389,250,139,0,0,0,0,0,0,8,4,4,61,39,22,15216,11524,4138,2138,2000,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0315:000000,27,519,99999,802794,0315,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0315,Urban,2011,7344,30861,17255,13606,1883,1009,874,26552,14099,13438,13013,661,620,16762,11029,3070,10590,2848,439,222,530,342,188,131,97,34,6226,10536,34,27,7,28,23,5,363,243,120,10297,2716,13,6,7,0,0,0,28,14,14,419,201,12,6,6,0,0,0,18,9,9,500,327,173,1,0,1,0,0,0,10,5,5,120,92,28,14604,11948,4309,2651,1658,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
27:519:99999:802794:0416:000000,27,519,99999,802794,0416,WARD,Greater Mumbai (M Corp.) (Part) WARD NO.-0416,Urban,2011,11187,52217,28767,23450,3640,1920,1720,43187,22578,21398,20687,1180,1075,29639,18458,4120,17714,3684,744,436,1044,654,390,136,90,46,10309,19330,71,46,25,54,46,8,586,441,145,17181,3506,57,26,31,2,1,1,46,25,21,692,383,57,26,31,2,1,1,35,22,13,950,605,345,0,0,0,0,0,0,11,3,8,125,87,38,24264,18923,9030,4503,4527,observed,census_mumbai_pca,56e378aeda1353b23482945b38e4707e21741ab9ae990f30be7bc4fdf19e7ba1,Historical source district; MMR inclusion and geometry unresolved
