state_code,district_code,area_name,residence,age_years_or_band,attends_education,economic_activity,persons_count,male_persons_count,female_persons_count,source,source_id,source_sha256,source_row,observation_year,status
27,517,District-Thane,Total,5-19,true,main_worker,35801,22208,13593,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1016,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5-19,true,marginal_worker_3_to_under_6_months,29266,15785,13481,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1016,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5-19,true,marginal_worker_under_3_months,3642,2012,1630,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1016,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5-19,true,non_worker,2126502,1130152,996350,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1016,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5-19,false,main_worker,171400,125461,45939,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1016,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5-19,false,marginal_worker_3_to_under_6_months,39895,21714,18181,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1016,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5-19,false,marginal_worker_under_3_months,8546,4534,4012,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1016,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5-19,false,non_worker,539600,245992,293608,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1016,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5,true,main_worker,776,445,331,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1017,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5,true,marginal_worker_3_to_under_6_months,851,464,387,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1017,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5,true,marginal_worker_under_3_months,27,15,12,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1017,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5,true,non_worker,63847,33558,30289,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1017,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5,false,main_worker,1935,1114,821,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1017,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5,false,marginal_worker_3_to_under_6_months,1035,529,506,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1017,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5,false,marginal_worker_under_3_months,79,48,31,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1017,2011,historical_control_not_current_demand
27,517,District-Thane,Total,5,false,non_worker,135297,70213,65084,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1017,2011,historical_control_not_current_demand
27,517,District-Thane,Total,6,true,main_worker,1050,593,457,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1018,2011,historical_control_not_current_demand
27,517,District-Thane,Total,6,true,marginal_worker_3_to_under_6_months,1173,610,563,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1018,2011,historical_control_not_current_demand
27,517,District-Thane,Total,6,true,marginal_worker_under_3_months,48,21,27,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1018,2011,historical_control_not_current_demand
27,517,District-Thane,Total,6,true,non_worker,97814,51181,46633,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1018,2011,historical_control_not_current_demand
27,517,District-Thane,Total,6,false,main_worker,1328,744,584,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1018,2011,historical_control_not_current_demand
27,517,District-Thane,Total,6,false,marginal_worker_3_to_under_6_months,842,428,414,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1018,2011,historical_control_not_current_demand
27,517,District-Thane,Total,6,false,marginal_worker_under_3_months,66,34,32,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1018,2011,historical_control_not_current_demand
27,517,District-Thane,Total,6,false,non_worker,95597,49804,45793,observed,census_c12_maharashtra,104cc65fb8b4822642cc2a36ca925acf4fce066c875b858877e442a3817b3825,1018,2011,historical_control_not_current_demand
