state_code,district_code,area_name,residence,age_years_or_band,persons_count,male_persons_count,female_persons_count,source,source_id,source_sha256,source_row,observation_year,status
27,517,District - Thane (21),Total,All ages,11060148,5865078,5195070,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2171,2011,historical_control_not_current_demand
27,517,District - Thane (21),Rural,All ages,2545470,1300136,1245334,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2171,2011,historical_control_not_current_demand
27,517,District - Thane (21),Urban,All ages,8514678,4564942,3949736,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2171,2011,historical_control_not_current_demand
27,517,District - Thane (21),Total,0,168635,88249,80386,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2172,2011,historical_control_not_current_demand
27,517,District - Thane (21),Rural,0,44821,23297,21524,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2172,2011,historical_control_not_current_demand
27,517,District - Thane (21),Urban,0,123814,64952,58862,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2172,2011,historical_control_not_current_demand
27,517,District - Thane (21),Total,1,191254,99414,91840,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2173,2011,historical_control_not_current_demand
27,517,District - Thane (21),Rural,1,51247,26484,24763,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2173,2011,historical_control_not_current_demand
27,517,District - Thane (21),Urban,1,140007,72930,67077,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2173,2011,historical_control_not_current_demand
27,517,District - Thane (21),Total,2,188603,97550,91053,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2174,2011,historical_control_not_current_demand
27,517,District - Thane (21),Rural,2,53331,27042,26289,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2174,2011,historical_control_not_current_demand
27,517,District - Thane (21),Urban,2,135272,70508,64764,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2174,2011,historical_control_not_current_demand
27,517,District - Thane (21),Total,3,188496,97139,91357,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2175,2011,historical_control_not_current_demand
27,517,District - Thane (21),Rural,3,52198,26277,25921,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2175,2011,historical_control_not_current_demand
27,517,District - Thane (21),Urban,3,136298,70862,65436,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2175,2011,historical_control_not_current_demand
27,517,District - Thane (21),Total,4,188393,97512,90881,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2176,2011,historical_control_not_current_demand
27,517,District - Thane (21),Rural,4,52856,26856,26000,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2176,2011,historical_control_not_current_demand
27,517,District - Thane (21),Urban,4,135537,70656,64881,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2176,2011,historical_control_not_current_demand
27,517,District - Thane (21),Total,5,203847,106386,97461,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2177,2011,historical_control_not_current_demand
27,517,District - Thane (21),Rural,5,55437,28120,27317,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2177,2011,historical_control_not_current_demand
27,517,District - Thane (21),Urban,5,148410,78266,70144,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2177,2011,historical_control_not_current_demand
27,517,District - Thane (21),Total,6,197918,103415,94503,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2178,2011,historical_control_not_current_demand
27,517,District - Thane (21),Rural,6,54316,27611,26705,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2178,2011,historical_control_not_current_demand
27,517,District - Thane (21),Urban,6,143602,75804,67798,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2178,2011,historical_control_not_current_demand
27,517,District - Thane (21),Total,7,201725,105375,96350,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2179,2011,historical_control_not_current_demand
27,517,District - Thane (21),Rural,7,54414,27840,26574,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2179,2011,historical_control_not_current_demand
27,517,District - Thane (21),Urban,7,147311,77535,69776,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2179,2011,historical_control_not_current_demand
27,517,District - Thane (21),Total,8,189282,99176,90106,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2180,2011,historical_control_not_current_demand
27,517,District - Thane (21),Rural,8,54500,28075,26425,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2180,2011,historical_control_not_current_demand
27,517,District - Thane (21),Urban,8,134782,71101,63681,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2180,2011,historical_control_not_current_demand
27,517,District - Thane (21),Total,9,189767,99216,90551,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2181,2011,historical_control_not_current_demand
27,517,District - Thane (21),Rural,9,54760,27908,26852,observed,census_c13_maharashtra,3a1e82a60ecb1363817e86a5080703f9532f48744dcafeca7c7cb1a744a0b566,2181,2011,historical_control_not_current_demand
