state_code,district_code,area_name,residence,age_band,source,source_id,source_sha256,source_row,observation_year,status,population_persons_count,population_male_persons_count,population_female_persons_count,main_worker_persons_count,main_worker_male_persons_count,main_worker_female_persons_count,marginal_worker_under_3_months_persons_count,marginal_worker_under_3_months_male_persons_count,marginal_worker_under_3_months_female_persons_count,marginal_worker_3_to_6_months_persons_count,marginal_worker_3_to_6_months_male_persons_count,marginal_worker_3_to_6_months_female_persons_count,marginal_worker_seeking_available_persons_count,marginal_worker_seeking_available_male_persons_count,marginal_worker_seeking_available_female_persons_count,non_worker_persons_count,non_worker_male_persons_count,non_worker_female_persons_count,non_worker_seeking_available_persons_count,non_worker_seeking_available_male_persons_count,non_worker_seeking_available_female_persons_count
27,517,District - Thane (21),Total,Total,observed,census_b01_maharashtra,268c1121ac80fa24c480a20e82b7342c53c7b8ac5d372990e0aaf36c31bb43da,1017,2011,historical_control_not_current_demand,11060148,5865078,5195070,3930511,3059503,871008,79842,40558,39284,482414,263062,219352,195235,117215,78020,6567381,2501955,4065426,319235,153859,165376
27,517,District - Thane (21),Total,5-9,observed,census_b01_maharashtra,268c1121ac80fa24c480a20e82b7342c53c7b8ac5d372990e0aaf36c31bb43da,1018,2011,historical_control_not_current_demand,982539,513568,468971,12410,7115,5295,748,384,364,10442,5495,4947,1963,1058,905,958939,500574,458365,5793,3081,2712
27,517,District - Thane (21),Total,10-14,observed,census_b01_maharashtra,268c1121ac80fa24c480a20e82b7342c53c7b8ac5d372990e0aaf36c31bb43da,1019,2011,historical_control_not_current_demand,994881,523506,471375,29499,18615,10884,2717,1315,1402,15954,8178,7776,4549,2444,2105,946711,495398,451313,11125,6418,4707
27,517,District - Thane (21),Total,15-19,observed,census_b01_maharashtra,268c1121ac80fa24c480a20e82b7342c53c7b8ac5d372990e0aaf36c31bb43da,1020,2011,historical_control_not_current_demand,977232,530784,446448,165292,121939,43353,8723,4847,3876,42765,23826,18939,23143,13797,9346,760452,380172,380280,73619,44448,29171
27,517,District - Thane (21),Total,20-24,observed,census_b01_maharashtra,268c1121ac80fa24c480a20e82b7342c53c7b8ac5d372990e0aaf36c31bb43da,1021,2011,historical_control_not_current_demand,1147520,611986,535534,474978,360393,114585,13507,7569,5938,73574,41534,32040,40040,24717,15323,585461,202490,382971,99506,53550,45956
27,517,District - Thane (21),Total,25-29,observed,census_b01_maharashtra,268c1121ac80fa24c480a20e82b7342c53c7b8ac5d372990e0aaf36c31bb43da,1022,2011,historical_control_not_current_demand,1156966,614115,542851,644450,500110,144340,11157,5906,5251,70857,40248,30609,33379,20795,12584,430502,67851,362651,54401,21607,32794
27,517,District - Thane (21),Total,30-34,observed,census_b01_maharashtra,268c1121ac80fa24c480a20e82b7342c53c7b8ac5d372990e0aaf36c31bb43da,1023,2011,historical_control_not_current_demand,991627,533590,458037,591780,466656,125124,8562,4123,4439,58128,31552,26576,23876,14098,9778,333157,31259,301898,24564,7321,17243
27,517,District - Thane (21),Total,35-39,observed,census_b01_maharashtra,268c1121ac80fa24c480a20e82b7342c53c7b8ac5d372990e0aaf36c31bb43da,1024,2011,historical_control_not_current_demand,894455,479034,415421,544207,425387,118820,7583,3460,4123,52525,27634,24891,20627,11954,8673,290140,22553,267587,16281,4156,12125
27,517,District - Thane (21),Total,40-49,observed,census_b01_maharashtra,268c1121ac80fa24c480a20e82b7342c53c7b8ac5d372990e0aaf36c31bb43da,1025,2011,historical_control_not_current_demand,1355806,726579,629227,815882,641524,174358,11487,5408,6079,77811,40922,36889,27239,16210,11029,450626,38725,411901,17181,5411,11770
27,517,District - Thane (21),Total,50-59,observed,census_b01_maharashtra,268c1121ac80fa24c480a20e82b7342c53c7b8ac5d372990e0aaf36c31bb43da,1026,2011,historical_control_not_current_demand,850423,458599,391824,452631,363359,89272,7747,3661,4086,45857,24674,21183,12618,7533,5085,344188,66905,277283,8698,3991,4707
27,517,District - Thane (21),Total,60-69,observed,census_b01_maharashtra,268c1121ac80fa24c480a20e82b7342c53c7b8ac5d372990e0aaf36c31bb43da,1027,2011,historical_control_not_current_demand,471732,241116,230616,134492,104299,30193,5178,2559,2619,22697,12276,10421,5329,3136,2193,309365,121982,187383,5160,2500,2660
