source,source_id,source_sha256,survey_month,count_survey_days,exact_survey_dates,site_georeferencing,target_status,source_table,source_pdf_pages,site_id,location,component,direction,adt_vehicles_per_day,source_total_check,aggregation
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,1,Marine Drive (Kilachand Chowk),direction_1,NCPA-Haji Ali,30508,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,1,Marine Drive (Kilachand Chowk),direction_2,Haji Ali-NCPA,36805,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,1,Marine Drive (Kilachand Chowk),printed_total,both_reported_directions,67313,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,2,DN Road (near CST),direction_1,Colaba-Byculla,51494,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,2,DN Road (near CST),direction_2,Byculla-Colaba,44070,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,2,DN Road (near CST),printed_total,both_reported_directions,95564,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,3,PD Mello Road (Carnac Bridge),direction_1,Colaba-E Freeway,39389,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,3,PD Mello Road (Carnac Bridge),direction_2,E Freeway-Colaba,34484,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,3,PD Mello Road (Carnac Bridge),printed_total,both_reported_directions,73873,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,4,Nepean Sea Road (Mukesh Chowk),direction_1,Malabar Hill-Haji Ali,22420,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,4,Nepean Sea Road (Mukesh Chowk),direction_2,Haji Ali-Malabar Hill,19669,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,4,Nepean Sea Road (Mukesh Chowk),printed_total,both_reported_directions,42089,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,5,Pedder Road (Jaslok Hospital),direction_1,Church Gate-Haji Ali,41829,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,5,Pedder Road (Jaslok Hospital),direction_2,Haji Ali-Church Gate,40818,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,5,Pedder Road (Jaslok Hospital),printed_total,both_reported_directions,82647,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,6,Worli Sea Face Road,direction_1,Haji Ali-Sea Link,39425,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,6,Worli Sea Face Road,direction_2,Sea Link-Haji Ali,32195,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,6,Worli Sea Face Road,printed_total,both_reported_directions,71620,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,7,Annie Besant Road (Doordarshan),direction_1,Worli-Prabhadevi,40317,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,7,Annie Besant Road (Doordarshan),direction_2,Prabhadevi-Worli,44460,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,7,Annie Besant Road (Doordarshan),printed_total,both_reported_directions,84777,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,8,Gokhale Road (near Gopinath Chavan Chowk),direction_1,Lower Parel-Mahim,15558,exact,seven_day_average_daily_traffic_not_annual_average
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-3,43;44,8,Gokhale Road (near Gopinath Chavan Chowk),direction_2,Mahim-Lower Parel,14551,exact,seven_day_average_daily_traffic_not_annual_average
