source,source_id,source_sha256,survey_month,count_survey_days,exact_survey_dates,site_georeferencing,target_status,source_table,source_pdf_page,site_id,location,period,local_start_time,local_end_time,average_peak_vehicles_per_hour,direction_scope,aggregation
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-4,48,1,Marine Drive (Kilachand Chowk),morning,10:00,11:00,5870,not_broken_out_by_direction_in_table,average_peak_hour_not_saturation_capacity
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-4,48,1,Marine Drive (Kilachand Chowk),evening,17:00,18:00,5553,not_broken_out_by_direction_in_table,average_peak_hour_not_saturation_capacity
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-4,48,2,DN Road (near CST),morning,10:00,11:00,5133,not_broken_out_by_direction_in_table,average_peak_hour_not_saturation_capacity
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-4,48,2,DN Road (near CST),evening,19:00,20:00,5881,not_broken_out_by_direction_in_table,average_peak_hour_not_saturation_capacity
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-4,48,3,PD Mello Road (Carnac Bridge),morning,10:00,11:00,5501,not_broken_out_by_direction_in_table,average_peak_hour_not_saturation_capacity
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-4,48,3,PD Mello Road (Carnac Bridge),evening,17:00,18:00,5166,not_broken_out_by_direction_in_table,average_peak_hour_not_saturation_capacity
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-4,48,4,Nepean Sea Road (Mukesh Chowk),morning,10:00,11:00,2543,not_broken_out_by_direction_in_table,average_peak_hour_not_saturation_capacity
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-4,48,4,Nepean Sea Road (Mukesh Chowk),evening,19:00,20:00,2652,not_broken_out_by_direction_in_table,average_peak_hour_not_saturation_capacity
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-4,48,5,Pedder Road (Jaslok Hospital),morning,11:00,12:00,4812,not_broken_out_by_direction_in_table,average_peak_hour_not_saturation_capacity
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-4,48,5,Pedder Road (Jaslok Hospital),evening,18:00,19:00,5481,not_broken_out_by_direction_in_table,average_peak_hour_not_saturation_capacity
