source,source_id,source_sha256,survey_month,count_survey_days,exact_survey_dates,site_georeferencing,target_status,source_table,source_pdf_page,site_id,location,vehicle_class_as_printed,published_share_percent,published_precision_percent,zero_cell_status,peak_and_direction_scope,count_derivation_status
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,1,Marine Drive (Kilachand Chowk),Two Wheelers,12,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,2,DN Road (near CST),Two Wheelers,24,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,3,PD Mello Road (Carnac Bridge),Two Wheelers,24,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,4,Nepean Sea Road (Mukesh Chowk),Two Wheelers,20,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,5,Pedder Road (Jaslok Hospital),Two Wheelers,16,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,6,Worli Sea Face Road,Two Wheelers,5,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,7,Annie Besant Road (Doordarshan),Two Wheelers,39,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,8,Gokhale Road (near Gopinath Chavan Chowk),Two Wheelers,53,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,1,Marine Drive (Kilachand Chowk),Cars/Jeep/Van,61,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,2,DN Road (near CST),Cars/Jeep/Van,48,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,3,PD Mello Road (Carnac Bridge),Cars/Jeep/Van,45,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,4,Nepean Sea Road (Mukesh Chowk),Cars/Jeep/Van,52,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,5,Pedder Road (Jaslok Hospital),Cars/Jeep/Van,53,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,6,Worli Sea Face Road,Cars/Jeep/Van,60,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,7,Annie Besant Road (Doordarshan),Cars/Jeep/Van,37,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,8,Gokhale Road (near Gopinath Chavan Chowk),Cars/Jeep/Van,28,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,1,Marine Drive (Kilachand Chowk),Taxi,26,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,2,DN Road (near CST),Taxi,25,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,3,PD Mello Road (Carnac Bridge),Taxi,23,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,2016-01,7,not_reported_in_section,unresolved,historical_selected_sites_not_current_or_regionwide_target,4-5,50,4,Nepean Sea Road (Mukesh Chowk),Taxi,26,1,nonzero,not_split_by_morning_evening_or_direction,not_multiplied_by_daily_or_period_specific_counts
