source,source_id,source_sha256,source_pdf_page,source_printed_page,source_table,report_edition,survey_date,origin_source_zone_id,destination_source_zone_id,direction,peak_period,period_clock_bounds,travel_time_hours,travel_time_seconds,cell_status,mode_definition,zone_mapping_status,target_status
structural_table_cell,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,1,1,North Bound,Evening Peak,not_stated_in_table,0.00,0.00,structural_diagonal_not_observed_zero_trip,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,1,3,North Bound,Evening Peak,not_stated_in_table,0.17,612.00,reported_observation,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,1,4,North Bound,Evening Peak,not_stated_in_table,0.43,1548.00,reported_observation,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,1,6,North Bound,Evening Peak,not_stated_in_table,0.68,2448.00,reported_observation,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,1,7,North Bound,Evening Peak,not_stated_in_table,0.97,3492.00,reported_observation,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,1,8,North Bound,Evening Peak,not_stated_in_table,1.17,4212.00,reported_observation,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,1,9,North Bound,Evening Peak,not_stated_in_table,1.92,6912.00,reported_observation,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,1,10,North Bound,Evening Peak,not_stated_in_table,2.17,7812.00,reported_observation,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,1,11,North Bound,Evening Peak,not_stated_in_table,2.42,8712.00,reported_observation,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
structural_table_cell,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,3,3,North Bound,Evening Peak,not_stated_in_table,0.00,0.00,structural_diagonal_not_observed_zero_trip,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,3,4,North Bound,Evening Peak,not_stated_in_table,0.30,1080.00,reported_observation,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,3,6,North Bound,Evening Peak,not_stated_in_table,0.53,1908.00,reported_observation,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,3,7,North Bound,Evening Peak,not_stated_in_table,0.83,2988.00,reported_observation,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,3,8,North Bound,Evening Peak,not_stated_in_table,1.00,3600.00,reported_observation,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
observed,bmc_coastal_traffic_peer_review_2016,a40925dbeea1a5de2f41980cdc39299bb0f9ea887f202a4f9fcf66a62fa894ac,59,42,4-10,November 2016,not_stated_in_speed_delay_section,3,9,North Bound,Evening Peak,not_stated_in_table,1.77,6372.00,reported_observation,survey_vehicle_class_not_stated_in_section,study_zone_ids_not_georeferenced,historical_evidence_not_current_calibration_target
