source,source_id,source_sha256,source_page,train_number,aligned_station_row_label,annotation_as_printed,source_x_pdf_pt,source_y_pdf_pt
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,1,99003,Mumbai CSMT,TNA,429.721469,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,2,99005,Mumbai CSMT,TNA,256.191499,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,2,99007,Mumbai CSMT,TNA,603.250238,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,3,99009,Mumbai CSMT,TNA,516.486711,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,4,99011,Mumbai CSMT,TNA,285.145702,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,4,99013,Mumbai CSMT,TNA,603.280408,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,5,99015,Mumbai CSMT,TNA,285.101133,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,5,99017,Mumbai CSMT,TNA,516.538308,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,6,99019,Mumbai CSMT,TNA,314.055507,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,6,99021,Mumbai CSMT,TNA,690.072734,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,7,99023,Mumbai CSMT,TNA,516.539851,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,8,99025,Mumbai CSMT,TNA,256.217383,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,8,99027,Mumbai CSMT,TNA,545.451027,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,9,99029,Mumbai CSMT,TNA,314.02808,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,9,99031,Mumbai CSMT,TNA,487.609989,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,9,99033,Mumbai CSMT,TNA,632.228954,458.905226
published_layout_annotation,cr_public_harbour_down_20260501,7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78,10,99035,Mumbai CSMT,TNA,256.217383,458.905226
