source,train_number,action,original_cell,supporting_annotation,resolved_station_key,corroboration
derived_layout_interpretation,91491,station_reference_replaces_row_alignment,"{""aligned_station_row_label"": ""Tilaknagar"", ""printed_local_hhmm"": ""21:50"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": ""16"", ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""train_number"": ""91491""}","{""aligned_station_row_label"": ""Kurla"", ""annotation_as_printed"": ""BVI"", ""source"": ""published_layout_annotation"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": 16, ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""source_x_pdf_pt"": 272.562824, ""source_y_pdf_pt"": 221.305223, ""train_number"": ""91491""}",CR_EXTERNAL_CODE:BVI,printed_BVI_reference_only_branch_incomplete
derived_layout_interpretation,99001,station_reference_replaces_row_alignment,"{""aligned_station_row_label"": ""Masjid"", ""printed_local_hhmm"": ""00:05"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": ""18"", ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""train_number"": ""99001""}","{""aligned_station_row_label"": ""Mumbai CSMT"", ""annotation_as_printed"": ""TNA"", ""source"": ""published_layout_annotation"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": 18, ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""source_x_pdf_pt"": 617.796379, ""source_y_pdf_pt"": 458.905226, ""train_number"": ""99001""}",CR_THB_CODE:TNA,same_train_and_clock_in_Trans_Harbour
derived_layout_interpretation,99003,station_reference_replaces_row_alignment,"{""aligned_station_row_label"": ""Masjid"", ""printed_local_hhmm"": ""05:12"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": ""1"", ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""train_number"": ""99003""}","{""aligned_station_row_label"": ""Mumbai CSMT"", ""annotation_as_printed"": ""TNA"", ""source"": ""published_layout_annotation"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": 1, ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""source_x_pdf_pt"": 429.721469, ""source_y_pdf_pt"": 458.905226, ""train_number"": ""99003""}",CR_THB_CODE:TNA,same_train_and_clock_in_Trans_Harbour
derived_layout_interpretation,99005,station_reference_replaces_row_alignment,"{""aligned_station_row_label"": ""Masjid"", ""printed_local_hhmm"": ""06:20"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": ""2"", ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""train_number"": ""99005""}","{""aligned_station_row_label"": ""Mumbai CSMT"", ""annotation_as_printed"": ""TNA"", ""source"": ""published_layout_annotation"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": 2, ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""source_x_pdf_pt"": 256.191499, ""source_y_pdf_pt"": 458.905226, ""train_number"": ""99005""}",CR_THB_CODE:TNA,same_train_and_clock_in_Trans_Harbour
derived_layout_interpretation,99007,station_reference_replaces_row_alignment,"{""aligned_station_row_label"": ""Masjid"", ""printed_local_hhmm"": ""07:04"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": ""2"", ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""train_number"": ""99007""}","{""aligned_station_row_label"": ""Mumbai CSMT"", ""annotation_as_printed"": ""TNA"", ""source"": ""published_layout_annotation"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": 2, ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""source_x_pdf_pt"": 603.250238, ""source_y_pdf_pt"": 458.905226, ""train_number"": ""99007""}",CR_THB_CODE:TNA,same_train_and_clock_in_Trans_Harbour
derived_layout_interpretation,99009,station_reference_replaces_row_alignment,"{""aligned_station_row_label"": ""Masjid"", ""printed_local_hhmm"": ""08:03"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": ""3"", ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""train_number"": ""99009""}","{""aligned_station_row_label"": ""Mumbai CSMT"", ""annotation_as_printed"": ""TNA"", ""source"": ""published_layout_annotation"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": 3, ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""source_x_pdf_pt"": 516.486711, ""source_y_pdf_pt"": 458.905226, ""train_number"": ""99009""}",CR_THB_CODE:TNA,same_train_and_clock_in_Trans_Harbour
derived_layout_interpretation,99011,station_reference_replaces_row_alignment,"{""aligned_station_row_label"": ""Masjid"", ""printed_local_hhmm"": ""08:41"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": ""4"", ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""train_number"": ""99011""}","{""aligned_station_row_label"": ""Mumbai CSMT"", ""annotation_as_printed"": ""TNA"", ""source"": ""published_layout_annotation"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": 4, ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""source_x_pdf_pt"": 285.145702, ""source_y_pdf_pt"": 458.905226, ""train_number"": ""99011""}",CR_THB_CODE:TNA,same_train_and_clock_in_Trans_Harbour
derived_layout_interpretation,99013,station_reference_replaces_row_alignment,"{""aligned_station_row_label"": ""Masjid"", ""printed_local_hhmm"": ""09:14"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": ""4"", ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""train_number"": ""99013""}","{""aligned_station_row_label"": ""Mumbai CSMT"", ""annotation_as_printed"": ""TNA"", ""source"": ""published_layout_annotation"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": 4, ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""source_x_pdf_pt"": 603.280408, ""source_y_pdf_pt"": 458.905226, ""train_number"": ""99013""}",CR_THB_CODE:TNA,same_train_and_clock_in_Trans_Harbour
derived_layout_interpretation,99015,station_reference_replaces_row_alignment,"{""aligned_station_row_label"": ""Masjid"", ""printed_local_hhmm"": ""09:39"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": ""5"", ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""train_number"": ""99015""}","{""aligned_station_row_label"": ""Mumbai CSMT"", ""annotation_as_printed"": ""TNA"", ""source"": ""published_layout_annotation"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": 5, ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""source_x_pdf_pt"": 285.101133, ""source_y_pdf_pt"": 458.905226, ""train_number"": ""99015""}",CR_THB_CODE:TNA,same_train_and_clock_in_Trans_Harbour
derived_layout_interpretation,99017,station_reference_replaces_row_alignment,"{""aligned_station_row_label"": ""Masjid"", ""printed_local_hhmm"": ""10:01"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": ""5"", ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""train_number"": ""99017""}","{""aligned_station_row_label"": ""Mumbai CSMT"", ""annotation_as_printed"": ""TNA"", ""source"": ""published_layout_annotation"", ""source_id"": ""cr_public_harbour_down_20260501"", ""source_page"": 5, ""source_sha256"": ""7774ae4aacc1d0ccf5d07ce10f557c37fdcac0550385f7e856d6c934d97a8a78"", ""source_x_pdf_pt"": 516.538308, ""source_y_pdf_pt"": 458.905226, ""train_number"": ""99017""}",CR_THB_CODE:TNA,same_train_and_clock_in_Trans_Harbour
