source,source_id,source_sha256,source_page,cr_rule_as_printed,date_source_id,date_source_sha256,reference_year,operation_rule,application_status,matched_state_holiday,candidate_date,match_status,date_source_page
derived_name_match,cr_public_holidays_2026,22f2220419573626930e8591808a693bd9f240f018be95bc8a1044690c946958,1,Republic Day    26th January.,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,2026,Sunday_schedule,date_evidence_only_not_a_complete_service_calendar,Republic Day,2026-01-26,name_and_published_date_matched,5
derived_name_match,cr_public_holidays_2026,22f2220419573626930e8591808a693bd9f240f018be95bc8a1044690c946958,1,Dr. Ambedkar Jayanti   14th April,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,2026,Sunday_schedule,date_evidence_only_not_a_complete_service_calendar,Dr.Babasaheb Ambedkar Jayanti,2026-04-14,name_and_published_date_matched,5
derived_name_match,cr_public_holidays_2026,22f2220419573626930e8591808a693bd9f240f018be95bc8a1044690c946958,1,Maharashtra Day    1st May,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,2026,Sunday_schedule,date_evidence_only_not_a_complete_service_calendar,Maharashtra Din,2026-05-01,name_and_published_date_matched,5
derived_name_match,cr_public_holidays_2026,22f2220419573626930e8591808a693bd9f240f018be95bc8a1044690c946958,1,Independence Day     15th August,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,2026,Sunday_schedule,date_evidence_only_not_a_complete_service_calendar,Independence Day,2026-08-15,name_and_published_date_matched,5
derived_name_match,cr_public_holidays_2026,22f2220419573626930e8591808a693bd9f240f018be95bc8a1044690c946958,1,Gandhi Jayanti   2nd October.,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,2026,Sunday_schedule,date_evidence_only_not_a_complete_service_calendar,Mahatma Gandhi Jayanti,2026-10-02,name_and_published_date_matched,5
derived_name_match,cr_public_holidays_2026,22f2220419573626930e8591808a693bd9f240f018be95bc8a1044690c946958,1,Christmas    25th December,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,2026,Sunday_schedule,date_evidence_only_not_a_complete_service_calendar,Christmas,2026-12-25,name_and_published_date_matched,6
derived_name_match,cr_public_holidays_2026,22f2220419573626930e8591808a693bd9f240f018be95bc8a1044690c946958,1,Holi   2nd day as per calander.,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,2026,Sunday_schedule,date_evidence_only_not_a_complete_service_calendar,Holi (Second Day),2026-03-03,name_and_published_date_matched,5
derived_name_match,cr_public_holidays_2026,22f2220419573626930e8591808a693bd9f240f018be95bc8a1044690c946958,1,Gudi Padwa    As per calander.,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,2026,Sunday_schedule,date_evidence_only_not_a_complete_service_calendar,Gudhi Padwa,2026-03-19,name_and_published_date_matched,5
derived_name_match,cr_public_holidays_2026,22f2220419573626930e8591808a693bd9f240f018be95bc8a1044690c946958,1,Good Friday    As per calander.,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,2026,Sunday_schedule,date_evidence_only_not_a_complete_service_calendar,Good Friday,2026-04-03,name_and_published_date_matched,5
derived_name_match,cr_public_holidays_2026,22f2220419573626930e8591808a693bd9f240f018be95bc8a1044690c946958,1,Ramzan -Id    As per calander.,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,2026,Sunday_schedule,date_evidence_only_not_a_complete_service_calendar,Ramzan-Id (Id-Ul-Fitra) (Shawal-1),2026-03-21,name_and_published_date_matched,5
derived_name_match,cr_public_holidays_2026,22f2220419573626930e8591808a693bd9f240f018be95bc8a1044690c946958,1,Ganesh Chaturthi    As per calander.,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,2026,Sunday_schedule,date_evidence_only_not_a_complete_service_calendar,Ganesh Chaturthi,2026-09-14,name_and_published_date_matched,5
derived_name_match,cr_public_holidays_2026,22f2220419573626930e8591808a693bd9f240f018be95bc8a1044690c946958,1,Dassera    As per calander.,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,2026,Sunday_schedule,date_evidence_only_not_a_complete_service_calendar,Dasara,2026-10-20,name_and_published_date_matched,5
derived_name_match,cr_public_holidays_2026,22f2220419573626930e8591808a693bd9f240f018be95bc8a1044690c946958,1,Diwali   1st & 2nd day as per calander.,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,2026,Sunday_schedule,date_evidence_only_not_a_complete_service_calendar,Diwali Amavasya (Laxmi Pujan);Diwali (Bali Pratipada),2026-11-08;2026-11-10,unresolved_CR_first_and_second_day_definition,6
