source,source_id,source_sha256,source_page,train_number,vehicle_marker_as_printed,calendar_marker_as_printed,formation_cars,climate_control_as_printed,excludes_saturday_by_marker,excludes_sunday_by_marker,excludes_nominated_holiday_by_marker,non_ac_substitution_days_when_running,exclusion_precedence,calendar_legend_source_id,calendar_legend_sha256,source_header_x_pdf_pt,effective_date_status,service_identity_status,operational_calendar_status
published_service_marker,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,1,98009,"AC
",X,,AC,0,1,1,Sunday;nominated_holiday,cancellation_precedes_rake_substitution,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,207.974229,retain_source_vintage_reconcile_later_amendments,supplement_overlay_not_additional_departure,holiday_dates_and_complete_calendar_not_expanded
published_service_marker,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,1,98045,"AC
",,,AC,0,0,0,Sunday;nominated_holiday,cancellation_precedes_rake_substitution,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,260.267918,retain_source_vintage_reconcile_later_amendments,supplement_overlay_not_additional_departure,holiday_dates_and_complete_calendar_not_expanded
published_service_marker,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,1,98051,"AC
",,,AC,0,0,0,Sunday;nominated_holiday,cancellation_precedes_rake_substitution,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,312.561607,retain_source_vintage_reconcile_later_amendments,supplement_overlay_not_additional_departure,holiday_dates_and_complete_calendar_not_expanded
published_service_marker,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,1,98083,"AC
",,,AC,0,0,0,Sunday;nominated_holiday,cancellation_precedes_rake_substitution,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,364.855296,retain_source_vintage_reconcile_later_amendments,supplement_overlay_not_additional_departure,holiday_dates_and_complete_calendar_not_expanded
published_service_marker,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,1,98089,"AC
",,,AC,0,0,0,Sunday;nominated_holiday,cancellation_precedes_rake_substitution,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,417.148986,retain_source_vintage_reconcile_later_amendments,supplement_overlay_not_additional_departure,holiday_dates_and_complete_calendar_not_expanded
published_service_marker,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,1,98119,"AC
",,,AC,0,0,0,Sunday;nominated_holiday,cancellation_precedes_rake_substitution,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,469.521229,retain_source_vintage_reconcile_later_amendments,supplement_overlay_not_additional_departure,holiday_dates_and_complete_calendar_not_expanded
published_service_marker,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,1,98339,"AC
",,,AC,0,0,0,Sunday;nominated_holiday,cancellation_precedes_rake_substitution,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,521.783281,retain_source_vintage_reconcile_later_amendments,supplement_overlay_not_additional_departure,holiday_dates_and_complete_calendar_not_expanded
published_service_marker,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,2,98157,"AC 
",,,AC,0,0,0,Sunday;nominated_holiday,cancellation_precedes_rake_substitution,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,211.934216,retain_source_vintage_reconcile_later_amendments,supplement_overlay_not_additional_departure,holiday_dates_and_complete_calendar_not_expanded
published_service_marker,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,2,98181,"AC 
",,,AC,0,0,0,Sunday;nominated_holiday,cancellation_precedes_rake_substitution,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,316.521595,retain_source_vintage_reconcile_later_amendments,supplement_overlay_not_additional_departure,holiday_dates_and_complete_calendar_not_expanded
published_service_marker,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,2,98201,"AC 
",,,AC,0,0,0,Sunday;nominated_holiday,cancellation_precedes_rake_substitution,cr_public_harbour_ac_20260501,f8148949f167838c6c46933dbdf6a8913a9e64e45f844ec80411d6191d15fc4c,368.815284,retain_source_vintage_reconcile_later_amendments,supplement_overlay_not_additional_departure,holiday_dates_and_complete_calendar_not_expanded
