source,source_id,source_sha256,source_pdf_page,reference_date_basis,publisher_citation_year,state_name,district_name_as_printed,district_number_within_report_state,boundary_year,status,reference_year,age_label,male_persons_count,female_persons_count
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,All ages,849630,830090
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,All ages,866261,845175
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,All ages,883032,860391
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,All ages,899959,875738
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,All ages,917042,891232
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,0,16364,15232
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,0,16289,15119
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,0,16201,14994
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,0,16100,14857
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,0,15986,14708
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,1,16608,15675
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,1,16562,15578
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,1,16504,15470
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,1,16435,15351
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,1,16353,15220
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,2,16984,16149
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,2,16966,16070
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,2,16937,15981
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,2,16897,15880
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,2,16846,15769
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,3,17465,16640
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,3,17473,16581
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,3,17471,16512
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,3,17459,16432
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,3,17437,16341
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,4,18020,17136
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,4,18054,17098
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,4,18079,17050
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,4,18095,16993
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,4,18101,16925
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,5,18624,17623
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,5,18684,17608
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,5,18735,17584
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,5,18777,17550
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,5,18811,17507
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,6,19246,18086
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,6,19332,18096
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,6,19410,18098
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,6,19480,18092
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,6,19543,18076
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2012,7,19859,18512
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2013,7,19972,18551
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2014,7,20078,18581
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2015,7,20177,18604
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,1041,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,7,20268,18619
