source,source_id,source_sha256,source_pdf_page,reference_date_basis,publisher_citation_year,state_name,district_name_as_printed,district_number_within_report_state,boundary_year,status,reference_year,male_persons_count,female_persons_count
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,48,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2011,833170,815125
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,48,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2016,917042,891232
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,48,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2021,999346,965931
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,48,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2026,1039349,1002815
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,48,01 March,2022,Maharashtra,Nandurbar,01,2011,published_district_projection_not_observed_current_population,2031,1073205,1034364
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,48,01 March,2022,Maharashtra,Dhule,02,2011,published_district_projection_not_observed_current_population,2011,1054031,996831
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,48,01 March,2022,Maharashtra,Dhule,02,2011,published_district_projection_not_observed_current_population,2016,1136300,1067257
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,48,01 March,2022,Maharashtra,Dhule,02,2011,published_district_projection_not_observed_current_population,2021,1214224,1133852
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,48,01 March,2022,Maharashtra,Dhule,02,2011,published_district_projection_not_observed_current_population,2026,1262829,1177149
modelled,iips_district_projections_2012_2031,10ee5c104402d5f9e3e5b5476b6959c7c4d69ab8f61e38e12b9ba2908d99110a,48,01 March,2022,Maharashtra,Dhule,02,2011,published_district_projection_not_observed_current_population,2031,1303965,1214182
