observation_year,geography_level,ec_district_code,geography_name,table,dimension,category,measure,value_count,source,derivation,source_id,source_sha256,pdf_page,status
2013,historical_district,01,Nandurbar,2.8,residence,rural,establishments,28466,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,01,Nandurbar,2.8,residence,urban,establishments,18321,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,01,Nandurbar,2.8,residence,combined,establishments,46787,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,01,Nandurbar,2.8,residence,rural,persons_engaged,51538,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,01,Nandurbar,2.8,residence,urban,persons_engaged,39927,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,01,Nandurbar,2.8,residence,combined,persons_engaged,91465,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,02,Dhule,2.8,residence,rural,establishments,43654,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,02,Dhule,2.8,residence,urban,establishments,28964,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,02,Dhule,2.8,residence,combined,establishments,72618,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,02,Dhule,2.8,residence,rural,persons_engaged,85981,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,02,Dhule,2.8,residence,urban,persons_engaged,67865,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,02,Dhule,2.8,residence,combined,persons_engaged,153846,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,03,Jalgaon,2.8,residence,rural,establishments,89647,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,03,Jalgaon,2.8,residence,urban,establishments,68997,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,03,Jalgaon,2.8,residence,combined,establishments,158644,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,03,Jalgaon,2.8,residence,rural,persons_engaged,149009,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,03,Jalgaon,2.8,residence,urban,persons_engaged,155705,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,03,Jalgaon,2.8,residence,combined,persons_engaged,304714,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,04,Buldhana,2.8,residence,rural,establishments,64708,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
2013,historical_district,04,Buldhana,2.8,residence,urban,establishments,30264,published_census_count,,maharashtra_ec6_final,e1d10089c2662f20badfdd7c517287db0598bba25ba24d8c3dfbe760134500da,35,historical_control_not_current_trip_demand
