source,source_id,source_sha256,publication_edition,status,source_pdf_page,source_table,provider,reference_date_as_printed,averaging_period,average_vehicles_on_road_per_day_count,average_passengers_per_day_lakh,average_effective_km_per_day_lakh,missing_value_marker
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,MSRTC (City operations),2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,74,0.31,0.13,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,MSRTC (City operations),2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,75,0.35,0.14,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,BEST,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,2903,29.36,4.68,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,BEST,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,2860,28.28,4.36,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Pune Mahanagar Parivahan Mahamandal Ltd.,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,1658,12.07,3.39,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Pune Mahanagar Parivahan Mahamandal Ltd.,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,1558,11.25,3.19,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Navi Mumbai Municipal Transport,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,354,2.01,0.79,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Navi Mumbai Municipal Transport,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,317,1.93,0.67,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Nagpur Municipal Transport,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,367,1.16,0.75,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Nagpur Municipal Transport,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,393,1.07,0.80,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Thane Municipal Transport,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,308,1.84,0.49,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Thane Municipal Transport,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,352,2.44,0.57,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Vasai-Virar Municipal Transport,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,100,0.55,0.15,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Vasai-Virar Municipal Transport,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,112,0.55,0.15,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Kolhapur Municipal Transport,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,62,0.36,0.14,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Kolhapur Municipal Transport,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,62,0.35,0.13,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Solapur Municipal Transport,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,21,0.04,0.01,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Solapur Municipal Transport,2025-03-31,not_explicit_beyond_as_on_date_in_table_heading,18,0.04,0.01,-
observed,maha_economic_survey_2025_26,954fceeb3803c2a79f2f50c615a7e7ec1d2f2e75fdbdb8fe0aa84ac9cd8f9885,2025-26,dated_published_aggregate_not_current_operating_input,219,9.27,Kalyan-Dombivli Municipal Transport,2024-03-31,not_explicit_beyond_as_on_date_in_table_heading,63,0.41,0.11,-
