source,source_id,source_sha256,survey_date,survey_start_date,survey_end_date,time_basis,day_selection,calibration_status,source_pdf_page,source_table,row_id,site,road_label,peak_start_time,peak_end_time,cars_vehicles_h,two_wheelers_vehicles_h,auto_vehicles_h,truck_vehicles_h,tempo_vehicles_h,bus_vehicles_h,cycle_vehicles_h,pedestrians_persons_h,published_flow_pcu_h,observation_duration_s,pcu_flow_source
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,8,3,1.1,Arterial Links Passing Through Gandhinagar Junction,"Road 1, Westbound (towards Powai)",09:15:00,10:15:00,420,1140,750,12,36,78,0,42,2046,3600,derived_from_classified_counts_using_table_1
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,8,3,1.2,Arterial Links Passing Through Gandhinagar Junction,"Road 2, Northbound (towards Kanjur)",17:00:00,18:00:00,390,882,1008,18,42,90,0,67,2205,3600,derived_from_classified_counts_using_table_1
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,8,3,1.3,Arterial Links Passing Through Gandhinagar Junction,"Road 3, Eastbound (towards Expressway)",18:45:00,19:45:00,108,318,264,18,18,12,0,0,639,3600,derived_from_classified_counts_using_table_1
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,8,3,1.4,Arterial Links Passing Through Gandhinagar Junction,"Road 4, Southbound (towards Ghatkopar)",18:30:00,19:30:00,774,948,582,36,84,42,0,366,2148,3600,derived_from_classified_counts_using_table_1
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,8,3,2.1,IIT Market Road,"Road 1, Southwestbound (towards Jogeshwari)",08:45:00,09:45:00,1938,882,816,48,234,30,0,12,3663,3600,derived_from_classified_counts_using_table_1
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,8,3,2.2,IIT Market Road,"Road 2, Northeastbound (towards Vikhroli)",17:30:00,18:30:00,1602,648,594,108,294,66,12,38,3342,3600,derived_from_classified_counts_using_table_1
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,8,3,3.1,IIT Main Gate Road,"Road 1, Northeastbound (towards Vikhroli)",09:45:00,10:45:00,2058,1314,1284,168,312,138,0,48,5229,3600,derived_from_classified_counts_using_table_1
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,8,3,3.2,IIT Main Gate Road,"Road 2, Westbound (towards Jogeshwari)",17:45:00,18:45:00,2910,2058,1734,126,402,156,0,24,6921,3600,derived_from_classified_counts_using_table_1
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,8,3,3.3,IIT Main Gate Road,"Road 3, Eastbound (Hare Krishna Road)",09:00:00,10:00:00,36,48,72,0,0,0,12,168,138,3600,derived_from_classified_counts_using_table_1
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,8,3,4.1,Arterial Links Passing Through Tagore Nagar Junction,"Road 1, Northbound (towards Kanjur)",19:15:00,20:15:00,3972,576,384,0,42,12,6,54,4725,3600,derived_from_classified_counts_using_table_1
