source,source_id,source_sha256,survey_date,survey_start_date,survey_end_date,time_basis,day_selection,calibration_status,source_pdf_page,source_table,row_id,site,road_label,speed_source,density_source,lanes_count,official_reference_speed_kmh,published_flow_pcu_h,flow_pcu_h_lane,los_flow,indicative_density_pcu_km,indicative_density_pcu_km_lane,los_density
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,1.1,Arterial Links Passing Through Gandhinagar Junction,"Road 1, Westbound (towards Powai)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,2,70,2046,1023,B,29.23,14.62,C
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,1.2,Arterial Links Passing Through Gandhinagar Junction,"Road 2, Northbound (towards Kanjur)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,2,50,2205,1102.5,B,44.1,22.05,D
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,1.3,Arterial Links Passing Through Gandhinagar Junction,"Road 3, Eastbound (towards Expressway)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,2,70,639,319.5,A,9.13,4.57,A
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,1.4,Arterial Links Passing Through Gandhinagar Junction,"Road 4, Southbound (towards Ghatkopar)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,2,50,2148,1074,B,42.96,21.48,D
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,2.1,IIT Market Road,"Road 1, Southwestbound (towards Jogeshwari)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,3,70,3663,1221,C,52.33,17.44,C
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,2.2,IIT Market Road,"Road 2, Northeastbound (towards Vikhroli)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,3,70,3342,1114,B,47.74,15.91,C
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,3.1,IIT Main Gate Road,"Road 1, Northeastbound (towards Vikhroli)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,3,70,5229,1743,D,74.7,24.9,D
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,3.2,IIT Main Gate Road,"Road 2, Westbound (towards Jogeshwari)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,3,70,6921,2307,E,98.87,32.96,E
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,3.3,IIT Main Gate Road,"Road 3, Eastbound (Hare Krishna Road)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,2,30,138,69,A,4.6,2.3,A
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,4.1,Arterial Links Passing Through Tagore Nagar Junction,"Road 1, Northbound (towards Kanjur)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,3,40,4725,1575,C,118.13,39.38,E
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,4.2,Arterial Links Passing Through Tagore Nagar Junction,"Road 2, Eastbound (towards Expressway)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,4,70,3669,917.25,B,52.41,13.1,C
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,4.3,Arterial Links Passing Through Tagore Nagar Junction,"Road 3, Westbound (towards Powai)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,4,70,5367,1341.75,C,76.67,19.17,D
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,4.4,Arterial Links Passing Through Tagore Nagar Junction,"Road 4, Southbound (towards Vikhroli)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,2,40,501,250.5,A,12.53,6.26,A
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,5.1,L and T Flyover,"Road 1, Westbound (towards Jogeshwari)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,3,70,6753,2251,E,96.47,32.16,E
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,5.2,L and T Flyover,"Road 2, Eastbound (towards Vikhroli)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,3,70,4137,1379,C,59.1,19.7,D
literature,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,2025-06-24,2025-06-23,2025-06-29,published_local_clock_times_no_UTC_conversion,highest_aggregate_volume_day_in_seven_day_survey,requires_2025_scenario_and_count_line_matching,11,4,6.1,Saki Vihar Road,"Road 1, Southwestbound (towards Saki Vihar)",official_reference_limit_reported_by_paper_not_observed_speed,flow_divided_by_reference_limit_not_observed_density,3,50,2514,838,B,50.28,16.76,C
