source,source_id,source_sha256,source_pdf_page,source_table,row_id,site,road_label,survey_start_date,survey_end_date,lane_marking_reported,shoulders_reported,median_reported,parking_reported,service_lane_reported,bicycle_facility_reported,pedestrian_pathway_reported,zebra_crossing_reported,vending_zones_reported,utility_corridor_reported,plantation_reported,street_hardware_reported,additional_land_reported,exclusive_row_reported,median_reported_width_m,service_lane_reported_width_m,pedestrian_pathway_reported_width_m,exclusive_right_of_way_width_m,model_assignment_status
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,15,6,1.1,Arterial Links Passing Through Gandhinagar Junction,"Road 1, Westbound (towards Powai)",2025-06-23,2025-06-29,✅,❌,✅,❌,❌,❌,✅ (2 m),❌,❌,✅,✅,signals,❌,45 m,,,2,45,unassigned_requires_location_and_2026_condition_check
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,15,6,1.2,Arterial Links Passing Through Gandhinagar Junction,"Road 2, Northbound (towards Kanjur)",2025-06-23,2025-06-29,❌,❌,❌,Onstreet Parking,✅ (5 m),❌,✅ (2.5 m),❌,✅,❌,✅,"street Lights, signals",❌,45 m,,5,2.5,45,unassigned_requires_location_and_2026_condition_check
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,15,6,1.3,Arterial Links Passing Through Gandhinagar Junction,"Road 3, Eastbound (towards Expressway)",2025-06-23,2025-06-29,✅,❌,✅,❌,❌,❌,✅ (2 m),❌,❌,✅,✅,signals,❌,45 m,,,2,45,unassigned_requires_location_and_2026_condition_check
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,15,6,1.4,Arterial Links Passing Through Gandhinagar Junction,"Road 4, Southbound (towards Ghatkopar)",2025-06-23,2025-06-29,❌,❌,❌,Onstreet Parking,✅ (5 m),❌,✅ (2.5 m),❌,✅,❌,✅,"signals, Pedestrian guardrails",❌,45 m,,5,2.5,45,unassigned_requires_location_and_2026_condition_check
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,15,6,2.1,IIT Market Road,"Road 1, Southwestbound (towards Jogeshwari)",2025-06-23,2025-06-29,✅,❌,✅,❌,❌,❌,✅ (2 m),❌,❌,✅,✅,"signals, signages",❌,12 m,,,2,12,unassigned_requires_location_and_2026_condition_check
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,15,6,2.2,IIT Market Road,"Road 2, Northeastbound (towards Vikhroli)",2025-06-23,2025-06-29,✅,❌,✅,❌,❌,❌,✅ (2 m),❌,❌,✅,✅,"signals, signages",❌,12 m,,,2,12,unassigned_requires_location_and_2026_condition_check
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,15,6,3.1,IIT Main Gate Road,"Road 1, Northeastbound (towards Vikhroli)",2025-06-23,2025-06-29,✅,❌,✅,❌,❌,❌,✅ (2 m),Faded,❌,✅,✅,"signals, skywalk",❌,45 m,,,2,45,unassigned_requires_location_and_2026_condition_check
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,15,6,3.2,IIT Main Gate Road,"Road 2, Westbound (towards Jogeshwari)",2025-06-23,2025-06-29,✅,❌,✅,❌,❌,❌,✅ (2 m),Faded,❌,✅,✅,"signals, skywalk",❌,45 m,,,2,45,unassigned_requires_location_and_2026_condition_check
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,15,6,3.3,IIT Main Gate Road,"Road 3, Eastbound (Hare Krishna Road)",2025-06-23,2025-06-29,❌,❌,❌,Onstreet Parking,❌,❌,✅ (2 m),Faded,✅,❌,❌,street lights,❌,12 m,,,2,12,unassigned_requires_location_and_2026_condition_check
observed,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,15,6,4.1,Arterial Links Passing Through Tagore Nagar Junction,"Road 1, Northbound (towards Kanjur)",2025-06-23,2025-06-29,❌,❌,✅,Onstreet Parking,❌,❌,✅ (2 m),❌,❌,✅,✅,"street Lights, signals",❌,12 m,,,2,12,unassigned_requires_location_and_2026_condition_check
