source,source_id,source_sha256,source_pdf_page,source_table,row_id,site,road_label,survey_start_date,survey_end_date,mean_flow_pcu_h_lane,sd_flow_pcu_h_lane,coefficient_of_variation_percent,interpretation,statistic_scope
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,1.1,Arterial Links Passing Through Gandhinagar Junction,"Road 1, Westbound (towards Powai)",2025-06-23,2025-06-29,951.4,73.2,7.7,Low variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,1.2,Arterial Links Passing Through Gandhinagar Junction,"Road 2, Northbound (towards Kanjur)",2025-06-23,2025-06-29,1028.6,91.4,8.9,Low variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,1.3,Arterial Links Passing Through Gandhinagar Junction,"Road 3, Eastbound (towards Expressway)",2025-06-23,2025-06-29,295.8,25.1,8.5,Low variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,1.4,Arterial Links Passing Through Gandhinagar Junction,"Road 4, Southbound (towards Ghatkopar)",2025-06-23,2025-06-29,1001.7,94.6,9.4,Low variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,2.1,IIT Market Road,"Road 1, Southwestbound (towards Jogeshwari)",2025-06-23,2025-06-29,1143.5,112.8,9.9,Low variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,2.2,IIT Market Road,"Road 2, Northeastbound (towards Vikhroli)",2025-06-23,2025-06-29,1052.3,108.1,10.3,Acceptable variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,3.1,IIT Main Gate Road,"Road 1, Northeastbound (towards Vikhroli)",2025-06-23,2025-06-29,1625.8,156.9,9.7,Low variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,3.2,IIT Main Gate Road,"Road 2, Westbound (towards Jogeshwari)",2025-06-23,2025-06-29,2142.6,223.4,10.4,Acceptable variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,3.3,IIT Main Gate Road,"Road 3, Eastbound (Hare Krishna Road)",2025-06-23,2025-06-29,64.7,6.8,10.5,Acceptable variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,4.1,Arterial Links Passing Through Tagore Nagar Junction,"Road 1, Northbound (towards Kanjur)",2025-06-23,2025-06-29,1468.2,151.6,10.3,Acceptable variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,4.2,Arterial Links Passing Through Tagore Nagar Junction,"Road 2, Eastbound (towards Expressway)",2025-06-23,2025-06-29,862.4,83.7,9.7,Low variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,4.3,Arterial Links Passing Through Tagore Nagar Junction,"Road 3, Westbound (towards Powai)",2025-06-23,2025-06-29,1251.6,131.8,10.5,Acceptable variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,4.4,Arterial Links Passing Through Tagore Nagar Junction,"Road 4, Southbound (towards Vikhroli)",2025-06-23,2025-06-29,233.8,23.7,10.1,Acceptable variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,5.1,L and T Flyover,"Road 1, Westbound (towards Jogeshwari)",2025-06-23,2025-06-29,2097.4,204.6,9.8,Low variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,5.2,L and T Flyover,"Road 2, Eastbound (towards Vikhroli)",2025-06-23,2025-06-29,1291.7,126.4,9.8,Low variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,6.1,Saki Vihar Road,"Road 1, Southwestbound (towards Saki Vihar)",2025-06-23,2025-06-29,781.6,72.8,9.3,Low variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,6.2,Saki Vihar Road,"Road 2, Northeastbound (towards Aarey)",2025-06-23,2025-06-29,489.3,52.5,10.7,Acceptable variability,published_peak_period_summary_not_daily_microdata
derived,jvlr_traffic_study_2026_pdf,0a14ac9a0c70e4b08a760644c82cdc01493fefb9663421ddd43ac29a23f65162,12,5,6.3,Saki Vihar Road,"Road 3, Westbound (towards Jogeshwari)",2025-06-23,2025-06-29,481.8,48.6,10.1,Acceptable variability,published_peak_period_summary_not_daily_microdata
