row_id,site,road_label,lanes,speed_kmh,flow_pcu_h,flow_pcu_h_lane,los_flow,density_pcu_km,density_pcu_km_lane,los_density,source,source_id,source_sha256,poster_sha256,source_pdf_page,survey_date,survey_time_window,speed_measurement_method,pcu_conversion_factors,validation_status,calibration_eligible
1.1,Gandhinagar Junction,Road 1 (towards Powai),2,70,2046,1023,B,29.23,14.62,C,literature,jvlr_conference_poster_2026_response,3cd8dd8cf3e6ac4f86b1ad7ca1d5fbe147788c49f13df677d53ffc52d4906d00,6f85108270324e7d1dc4dd58f209c036d1ec58e9787369c1e32eac1b03b311d9,1,,,,,published_derived_quantities_with_unresolved_methods_and_locations,False
1.2,Gandhinagar Junction,Road 2 (towards Kanjur),2,50,2205,1102.5,B,44.1,22.05,D,literature,jvlr_conference_poster_2026_response,3cd8dd8cf3e6ac4f86b1ad7ca1d5fbe147788c49f13df677d53ffc52d4906d00,6f85108270324e7d1dc4dd58f209c036d1ec58e9787369c1e32eac1b03b311d9,1,,,,,published_derived_quantities_with_unresolved_methods_and_locations,False
1.3,Gandhinagar Junction,Road 3 (towards Expressway),2,70,639,319.5,A,9.13,4.57,A,literature,jvlr_conference_poster_2026_response,3cd8dd8cf3e6ac4f86b1ad7ca1d5fbe147788c49f13df677d53ffc52d4906d00,6f85108270324e7d1dc4dd58f209c036d1ec58e9787369c1e32eac1b03b311d9,1,,,,,published_derived_quantities_with_unresolved_methods_and_locations,False
1.4,Gandhinagar Junction,Road 4 (towards Ghatkopar),2,50,2148,1074,B,42.96,21.48,D,literature,jvlr_conference_poster_2026_response,3cd8dd8cf3e6ac4f86b1ad7ca1d5fbe147788c49f13df677d53ffc52d4906d00,6f85108270324e7d1dc4dd58f209c036d1ec58e9787369c1e32eac1b03b311d9,1,,,,,published_derived_quantities_with_unresolved_methods_and_locations,False
2.1,IIT Market Road,Road 1 (towards Jogeshwari),3,70,3663,1221,B,52.33,17.44,C,literature,jvlr_conference_poster_2026_response,3cd8dd8cf3e6ac4f86b1ad7ca1d5fbe147788c49f13df677d53ffc52d4906d00,6f85108270324e7d1dc4dd58f209c036d1ec58e9787369c1e32eac1b03b311d9,1,,,,,published_derived_quantities_with_unresolved_methods_and_locations,False
2.2,IIT Market Road,Road 2 (towards Vikhroli),3,70,3342,1114,B,47.74,15.91,C,literature,jvlr_conference_poster_2026_response,3cd8dd8cf3e6ac4f86b1ad7ca1d5fbe147788c49f13df677d53ffc52d4906d00,6f85108270324e7d1dc4dd58f209c036d1ec58e9787369c1e32eac1b03b311d9,1,,,,,published_derived_quantities_with_unresolved_methods_and_locations,False
3.1,IIT Main Gate Road,Road 1 (towards Vikhroli),3,70,5229,1743,C,74.7,24.9,D,literature,jvlr_conference_poster_2026_response,3cd8dd8cf3e6ac4f86b1ad7ca1d5fbe147788c49f13df677d53ffc52d4906d00,6f85108270324e7d1dc4dd58f209c036d1ec58e9787369c1e32eac1b03b311d9,1,,,,,published_derived_quantities_with_unresolved_methods_and_locations,False
3.2,IIT Main Gate Road,Road 2 (towards Jogeshwari),3,70,6921,2307,E,98.87,32.96,E,literature,jvlr_conference_poster_2026_response,3cd8dd8cf3e6ac4f86b1ad7ca1d5fbe147788c49f13df677d53ffc52d4906d00,6f85108270324e7d1dc4dd58f209c036d1ec58e9787369c1e32eac1b03b311d9,1,,,,,published_derived_quantities_with_unresolved_methods_and_locations,False
3.3,IIT Main Gate Road,Road 3 (Hare Krishna Road),2,30,138,69,A,4.6,2.3,A,literature,jvlr_conference_poster_2026_response,3cd8dd8cf3e6ac4f86b1ad7ca1d5fbe147788c49f13df677d53ffc52d4906d00,6f85108270324e7d1dc4dd58f209c036d1ec58e9787369c1e32eac1b03b311d9,1,,,,,published_derived_quantities_with_unresolved_methods_and_locations,False
4.1,Tagore Nagar Junction,Road 1 (towards Kanjur),3,40,1125,375,A,28.13,9.38,B,literature,jvlr_conference_poster_2026_response,3cd8dd8cf3e6ac4f86b1ad7ca1d5fbe147788c49f13df677d53ffc52d4906d00,6f85108270324e7d1dc4dd58f209c036d1ec58e9787369c1e32eac1b03b311d9,1,,,,,published_derived_quantities_with_unresolved_methods_and_locations,False
