source,source_id,source_sha256,source_page,section_scope,serial,holiday_name_as_printed,gregorian_date,weekday_as_printed,saka_date_as_printed,railway_operation_status
published_holiday,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,5,public_holidays,1,Republic Day,2026-01-26,Monday,"6 Magh,1947",not_established_by_state_notification
published_holiday,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,5,public_holidays,2,Mahashivratri,2026-02-15,Sunday,"26 Magh, 1947",not_established_by_state_notification
published_holiday,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,5,public_holidays,3,Chhatrapati Shivaji Maharaj Jayanti,2026-02-19,Thursday,"30 Magh, 1947",not_established_by_state_notification
published_holiday,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,5,public_holidays,4,Holi (Second Day),2026-03-03,Tuesday,"12 Phalguna,1947",not_established_by_state_notification
published_holiday,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,5,public_holidays,5,Gudhi Padwa,2026-03-19,Thursday,"28 Phalguna, 1947",not_established_by_state_notification
published_holiday,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,5,public_holidays,6,Ramzan-Id (Id-Ul-Fitra) (Shawal-1),2026-03-21,Saturday,"30 Phalguna, 1947",not_established_by_state_notification
published_holiday,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,5,public_holidays,7,Ram Navami,2026-03-26,Thursday,"05 Chaitra, 1948",not_established_by_state_notification
published_holiday,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,5,public_holidays,8,Mahavir Janmakalyanak,2026-03-31,Tuesday,"10 Chaitra, 1948",not_established_by_state_notification
published_holiday,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,5,public_holidays,9,Good Friday,2026-04-03,Friday,"13 Chaitra, 1948",not_established_by_state_notification
published_holiday,maha_public_holidays_2026,f689908ac6b414f7e241671fe5836f6830385150750038994cae8fb70fe00615,5,public_holidays,10,Dr.Babasaheb Ambedkar Jayanti,2026-04-14,Tuesday,"24 Chaitra, 1948",not_established_by_state_notification
