station_code,source_gate_ordinal,gate_name,gate_code,latitude_deg,longitude_deg,source_gate_latitude,source_gate_longitude,coordinate_status,source_status,divyang_friendly_declared,source,source_id,source_sha256
ACA,1,A2,,18.9963,72.8184,18.9963,72.8184,range_checked_only,open,False,observed,mmrcl_station_aca,30fa602b8481d4f78fc0451b371ab7136c0b2f252fadc9e02196f0021e81675c
ACA,2,B2,,18.9977,72.8176,18.9977,72.8176,range_checked_only,open,True,observed,mmrcl_station_aca,30fa602b8481d4f78fc0451b371ab7136c0b2f252fadc9e02196f0021e81675c
ACA,3,B3,,18.9978,72.8171,18.9978,72.8171,range_checked_only,close,False,observed,mmrcl_station_aca,30fa602b8481d4f78fc0451b371ab7136c0b2f252fadc9e02196f0021e81675c
ACA,4,B4,,18.9981,72.817,18.9981,72.817,range_checked_only,close,False,observed,mmrcl_station_aca,30fa602b8481d4f78fc0451b371ab7136c0b2f252fadc9e02196f0021e81675c
ACA,5,B5,,18.9976,72.818,18.9976,72.818,range_checked_only,open,False,observed,mmrcl_station_aca,30fa602b8481d4f78fc0451b371ab7136c0b2f252fadc9e02196f0021e81675c
ACA,6,A4,,18.996,72.8188,18.996,72.8188,range_checked_only,open,True,observed,mmrcl_station_aca,30fa602b8481d4f78fc0451b371ab7136c0b2f252fadc9e02196f0021e81675c
ACA,7,A3,,18.99741720330999,72.8181335596142,18.99741720330999,72.8181335596142,range_checked_only,open,False,observed,mmrcl_station_aca,30fa602b8481d4f78fc0451b371ab7136c0b2f252fadc9e02196f0021e81675c
ACA,8,B1,,18.99742572,72.81812712,18.99742572,72.81812712,range_checked_only,close,False,observed,mmrcl_station_aca,30fa602b8481d4f78fc0451b371ab7136c0b2f252fadc9e02196f0021e81675c
ACA,9,A1,,18.99593152,72.81884676,18.99593152,72.81884676,range_checked_only,open,False,observed,mmrcl_station_aca,30fa602b8481d4f78fc0451b371ab7136c0b2f252fadc9e02196f0021e81675c
ARYJ,1,A1/B1,,,,,,missing,open,False,observed,mmrcl_station_aryj,bc7688a58be683b5ca824e328a9edac238802dbbb60550eddce39fb58bda5f73
BDRM,1,A5,,19.0585198838111,72.8553647457012,19.0585198838111,72.8553647457012,range_checked_only,open,False,observed,mmrcl_station_bdrm,31829dc0c048eb452bb84409c3fca8f95d4b1ba195b09784788c5f7b98a14658
BDRM,2,A4,,19.0592322341378,72.855302157264,19.0592322341378,72.855302157264,range_checked_only,open,True,observed,mmrcl_station_bdrm,31829dc0c048eb452bb84409c3fca8f95d4b1ba195b09784788c5f7b98a14658
BDRM,3,A3,,19.0594255309822,72.8548417977368,19.0594255309822,72.8548417977368,range_checked_only,open,True,observed,mmrcl_station_bdrm,31829dc0c048eb452bb84409c3fca8f95d4b1ba195b09784788c5f7b98a14658
BDRM,4,B1,,19.0616200513233,72.8538444641642,19.0616200513233,72.8538444641642,range_checked_only,open,True,observed,mmrcl_station_bdrm,31829dc0c048eb452bb84409c3fca8f95d4b1ba195b09784788c5f7b98a14658
BDRM,5,A2,,19.0598295793814,72.8553752218479,19.0598295793814,72.8553752218479,range_checked_only,open,False,observed,mmrcl_station_bdrm,31829dc0c048eb452bb84409c3fca8f95d4b1ba195b09784788c5f7b98a14658
BDRM,6,A1,,19.0595382228821,72.8557647228524,19.0595382228821,72.8557647228524,range_checked_only,open,False,observed,mmrcl_station_bdrm,31829dc0c048eb452bb84409c3fca8f95d4b1ba195b09784788c5f7b98a14658
CHGM,1,A2,,,,,,missing,open,False,observed,mmrcl_station_chgm,df76c489ebd463d6b536c91259d15cc5e9a4832e47dd5551c0d43d5b7ce7aa7d
CHGM,2,A3,,,,,,missing,close,False,observed,mmrcl_station_chgm,df76c489ebd463d6b536c91259d15cc5e9a4832e47dd5551c0d43d5b7ce7aa7d
CHGM,3,A4,,,,,,missing,open,False,observed,mmrcl_station_chgm,df76c489ebd463d6b536c91259d15cc5e9a4832e47dd5551c0d43d5b7ce7aa7d
CHGM,4,B2,,,,,,missing,open,False,observed,mmrcl_station_chgm,df76c489ebd463d6b536c91259d15cc5e9a4832e47dd5551c0d43d5b7ce7aa7d
CHGM,5,B1,,,,,,missing,open,False,observed,mmrcl_station_chgm,df76c489ebd463d6b536c91259d15cc5e9a4832e47dd5551c0d43d5b7ce7aa7d
CHGM,6,A5,,,,,,missing,close,False,observed,mmrcl_station_chgm,df76c489ebd463d6b536c91259d15cc5e9a4832e47dd5551c0d43d5b7ce7aa7d
CHGM,7,A1,,,,,,missing,open,False,observed,mmrcl_station_chgm,df76c489ebd463d6b536c91259d15cc5e9a4832e47dd5551c0d43d5b7ce7aa7d
CIAD,1,A1,,19.093523,72.853744,19.093523,72.853744,range_checked_only,open,True,observed,mmrcl_station_ciad,92a8a23c11b582d286ce1a1ceb5ee4fd494902c0d57d8139f2cd62c8a2b4de10
CIAD,2,B1,,19.095607,72.852099,19.095607,72.852099,range_checked_only,open,True,observed,mmrcl_station_ciad,92a8a23c11b582d286ce1a1ceb5ee4fd494902c0d57d8139f2cd62c8a2b4de10
CSIA,1,A1,,19.101761,72.874611,19.101761,72.874611,range_checked_only,open,False,observed,mmrcl_station_csia,1a8716e3bad858a8e032c311bb6a960f01c8b7f00225d1cb7bd297f13d5bd253
CSIA,2,A2,,19.101993,72.873619,19.101993,72.873619,range_checked_only,open,False,observed,mmrcl_station_csia,1a8716e3bad858a8e032c311bb6a960f01c8b7f00225d1cb7bd297f13d5bd253
CSIA,3,B1,,19.10202,72.875379,19.10202,72.875379,range_checked_only,close,False,observed,mmrcl_station_csia,1a8716e3bad858a8e032c311bb6a960f01c8b7f00225d1cb7bd297f13d5bd253
CSTM,1,A3,,,,,,missing,open,False,observed,mmrcl_station_cstm,96fd2a89d894250f6d0612c6dc315e61734f44ee76eb773bb8159cb2d51dce34
CSTM,2,A4,,,,,,missing,open,False,observed,mmrcl_station_cstm,96fd2a89d894250f6d0612c6dc315e61734f44ee76eb773bb8159cb2d51dce34
CSTM,3,A1,,,,,,missing,open,False,observed,mmrcl_station_cstm,96fd2a89d894250f6d0612c6dc315e61734f44ee76eb773bb8159cb2d51dce34
CSTM,4,B1,,,,,,missing,open,False,observed,mmrcl_station_cstm,96fd2a89d894250f6d0612c6dc315e61734f44ee76eb773bb8159cb2d51dce34
CSTM,5,B2,,,,,,missing,open,False,observed,mmrcl_station_cstm,96fd2a89d894250f6d0612c6dc315e61734f44ee76eb773bb8159cb2d51dce34
CSTM,6,A2,,,,,,missing,open,False,observed,mmrcl_station_cstm,96fd2a89d894250f6d0612c6dc315e61734f44ee76eb773bb8159cb2d51dce34
CUP,1,A2,,,,,,missing,open,False,observed,mmrcl_station_cup,94351c2914a2e1bdd0b3cd71fffda6b824373c4112a844c0b6d5822be7d8351e
CUP,2,B2,,,,,,missing,open,False,observed,mmrcl_station_cup,94351c2914a2e1bdd0b3cd71fffda6b824373c4112a844c0b6d5822be7d8351e
CUP,3,B1,,,,,,missing,close,False,observed,mmrcl_station_cup,94351c2914a2e1bdd0b3cd71fffda6b824373c4112a844c0b6d5822be7d8351e
CUP,4,A1,,,,,,missing,open,False,observed,mmrcl_station_cup,94351c2914a2e1bdd0b3cd71fffda6b824373c4112a844c0b6d5822be7d8351e
DDRM,1,A3,,19.02262,72.83833,19.02262,72.83833,range_checked_only,open,False,observed,mmrcl_station_ddrm,3ce73fdf31322d3ef03fecbb5149cb535b330721b271b7cb3d7ae8cf84730f56
DDRM,2,A4,,19.02302,72.8386,19.02302,72.8386,range_checked_only,open,False,observed,mmrcl_station_ddrm,3ce73fdf31322d3ef03fecbb5149cb535b330721b271b7cb3d7ae8cf84730f56
DDRM,3,B3,,19.0245,72.83992,19.0245,72.83992,range_checked_only,open,False,observed,mmrcl_station_ddrm,3ce73fdf31322d3ef03fecbb5149cb535b330721b271b7cb3d7ae8cf84730f56
DDRM,4,B1,,19.02427,72.83998,19.02427,72.83998,range_checked_only,open,False,observed,mmrcl_station_ddrm,3ce73fdf31322d3ef03fecbb5149cb535b330721b271b7cb3d7ae8cf84730f56
DDRM,5,B2,,19.02398,72.83969,19.02398,72.83969,range_checked_only,close,False,observed,mmrcl_station_ddrm,3ce73fdf31322d3ef03fecbb5149cb535b330721b271b7cb3d7ae8cf84730f56
DDRM,6,A1,,19.02313,72.83899,19.02313,72.83899,range_checked_only,close,False,observed,mmrcl_station_ddrm,3ce73fdf31322d3ef03fecbb5149cb535b330721b271b7cb3d7ae8cf84730f56
DDRM,7,A2,,19.02253,72.8384,19.02253,72.8384,range_checked_only,open,False,observed,mmrcl_station_ddrm,3ce73fdf31322d3ef03fecbb5149cb535b330721b271b7cb3d7ae8cf84730f56
DHAV,1,A2,,19.046304,72.849523,19.046304,72.849523,range_checked_only,open,False,observed,mmrcl_station_dhav,e743a16db5fea119816b94a3162c3f015732e407ed8005067ea37fbb88c4273c
