sequence,from_station_code,to_station_code,distance_m,ordinary_fare_inr,source_total_time,running_time_s,time_status,source,source_id,source_sha256
1,ARYJ,SEPZ,1482.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_aryj_sepz_20260918,512ec84b60ed9cc67ffaf1d0f1491f7efd8343f1f8d1f6bb9dbb600bf1e6fc9e
2,SEPZ,MIDC,1243.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_sepz_midc_20260918,5e98052d86f29262c4e72cfa1d6f4622bb2bfc35b63c797f99bb3ef952b37860
3,MIDC,MNK,1226.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_midc_mnk_20260918,28ab0efb1fd087a692357cb8aa9ec6cf908c22ecc7a07a31b1bf1a8b55959afa
4,MNK,CSIA,1114.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_mnk_csia_20260918,365ed38ef4e4ddf9129a8d9960e70ddbca4c777ba5bafc6e1c7c021231e29637
5,CSIA,SHRR,952.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_csia_shrr_20260918,8a98bc155c393ee86af7c4613330a6bdc2a88d3668ac0a4cccfe97e4eeb64b6e
6,SHRR,CIAD,1723.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_shrr_ciad_20260918,0214fa6126c58e6770d39e18ce3097924679635630ad742ee534e9002ba78657
7,CIAD,STZM,2273.000,20,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_ciad_stzm_20260918,b07d27b26b8ca44c3a8bc3b04f7155602fc0dfa5acc7f5c103a35136642d9867
8,STZM,VIDN,999.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_stzm_vidn_20260918,01861468535b6a5cb45f1ff97050ee429168d3db34cde02b3907b465f32e1d50
9,VIDN,BDRM,1251.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_vidn_bdrm_20260918,31c3e9151571652988f14e4b7db576b939bf139da72e51e3cda82baf1334b991
10,BDRM,DHAV,1824.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_bdrm_dhav_20260918,021c71a66b7c0e63fc874158f64b3190ab6fbb125c7ee7a9e6ed2794b7f0f794
11,DHAV,SDIT,1811.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_dhav_sdit_20260918,c6e6b94c2d6d866ec8e119a2eac2fb5a408873df0bb1f89743545e9e4a82e095
12,SDIT,DDRM,1092.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_sdit_ddrm_20260918,47166576c85f3e195aafbc9951ecf8fdb18e713a6123e573e31e9e8def4a78d8
13,DDRM,SIDV,1993.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_ddrm_sidv_20260918,8df5b4a813975ee6f8dac36340e1a380f8372b7a0e55d59d9509d4dfc3b8edf0
14,SIDV,WOR,1626.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_sidv_wor_20260918,f52b5b151996ce2722b2ca5fee7e5266b2be5858f3868312499b1a9db9c4769b
15,WOR,ACA,1482.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_wor_aca_20260918,c7acb8de42dbd1e41b5038488377268b0f40913af47d57c895fc09bcf8ae9bb2
16,ACA,SCMU,841.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_aca_scmu_20260918,7efba8d90f13370d641a11961f6894e2d09adfd355c55a08c6d9c66dce489510
17,SCMU,MLXM,1368.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_scmu_mlxm_20260918,09d7b0e70db3baff139da343812f20bd10d5fa6b020490ab4551345ba104c7f1
18,MLXM,MCLM,1087.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_mlxm_mclm_20260918,4dfdbf06b1e81969f36d6174cc020407074053702a4fafa4b0c570798601a840
19,MCLM,GTRM,1046.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_mclm_gtrm_20260918,ecab39cb0d7f624d72551b173b0141bef472df2c0451da548ae8103b0f936aef
20,GTRM,GIRG,1535.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_gtrm_girg_20260918,230eb4003059c4dd4ab05988cd0ca065e3ac917564723accfd74fb3a20f7d828
21,GIRG,KLBD,719.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_girg_klbd_20260918,37b5c7f604ad0324ad19e891d56335a78c2ecf8e6e26669ac8d0f238b400155c
22,KLBD,CSTM,900.0,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_klbd_cstm_20260918,0f744ff297e8de83baa27ae9b9ef84771c3adeb650b3ab6ade64bd2536d8b930
23,CSTM,HUC,940.00,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_cstm_huc_20260918,c8c2998bd6e8d3b6daf8baa3f3c2bed0337461f4818856bc3e4b59d59c88240d
24,HUC,CHGM,890.00,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_huc_chgm_20260918,3a1d8782d75ad2a4f69027056ba3f7cc30f0bb3d0401565bbca3a3f712b8b87f
25,CHGM,VIDB,736.000,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_chgm_vidb_20260918,2122befe43dc9ecc6a8b72aa1441aec9b38c05e062ed9c22d1714ea352078fbd
26,VIDB,CUP,1460.00,10,0:00:00,,unvalidated_operator_value,observed,mmrcl_journey_vidb_cup_20260918,3a38c5df8cff7bedc0ff6ea48a55b511fdc9de75521d052f672868db317f7b88
