station_code,neighbour_code,direction,line_name,source,source_id,source_sha256
ACA,WOR,prev_station,Line 3,observed,mmrcl_station_aca,30fa602b8481d4f78fc0451b371ab7136c0b2f252fadc9e02196f0021e81675c
ARYJ,SEPZ,next_station,Line 3,observed,mmrcl_station_aryj,bc7688a58be683b5ca824e328a9edac238802dbbb60550eddce39fb58bda5f73
BDRM,VIDN,prev_station,Line 3,observed,mmrcl_station_bdrm,31829dc0c048eb452bb84409c3fca8f95d4b1ba195b09784788c5f7b98a14658
BDRM,DHAV,next_station,Line 3,observed,mmrcl_station_bdrm,31829dc0c048eb452bb84409c3fca8f95d4b1ba195b09784788c5f7b98a14658
CHGM,HUC,prev_station,Line 3,observed,mmrcl_station_chgm,df76c489ebd463d6b536c91259d15cc5e9a4832e47dd5551c0d43d5b7ce7aa7d
CHGM,VIDB,next_station,Line 3,observed,mmrcl_station_chgm,df76c489ebd463d6b536c91259d15cc5e9a4832e47dd5551c0d43d5b7ce7aa7d
CIAD,SHRR,prev_station,Line 3,observed,mmrcl_station_ciad,92a8a23c11b582d286ce1a1ceb5ee4fd494902c0d57d8139f2cd62c8a2b4de10
CIAD,STZM,next_station,Line 3,observed,mmrcl_station_ciad,92a8a23c11b582d286ce1a1ceb5ee4fd494902c0d57d8139f2cd62c8a2b4de10
CSIA,MNK,prev_station,Line 3,observed,mmrcl_station_csia,1a8716e3bad858a8e032c311bb6a960f01c8b7f00225d1cb7bd297f13d5bd253
CSIA,SHRR,next_station,Line 3,observed,mmrcl_station_csia,1a8716e3bad858a8e032c311bb6a960f01c8b7f00225d1cb7bd297f13d5bd253
CSTM,KLBD,prev_station,Line 3,observed,mmrcl_station_cstm,96fd2a89d894250f6d0612c6dc315e61734f44ee76eb773bb8159cb2d51dce34
CSTM,HUC,next_station,Line 3,observed,mmrcl_station_cstm,96fd2a89d894250f6d0612c6dc315e61734f44ee76eb773bb8159cb2d51dce34
CUP,VIDB,prev_station,Line 3,observed,mmrcl_station_cup,94351c2914a2e1bdd0b3cd71fffda6b824373c4112a844c0b6d5822be7d8351e
DDRM,SDIT,prev_station,Line 3,observed,mmrcl_station_ddrm,3ce73fdf31322d3ef03fecbb5149cb535b330721b271b7cb3d7ae8cf84730f56
DDRM,SIDV,next_station,Line 3,observed,mmrcl_station_ddrm,3ce73fdf31322d3ef03fecbb5149cb535b330721b271b7cb3d7ae8cf84730f56
DHAV,BDRM,prev_station,Line 3,observed,mmrcl_station_dhav,e743a16db5fea119816b94a3162c3f015732e407ed8005067ea37fbb88c4273c
GIRG,GTRM,prev_station,Line 3,observed,mmrcl_station_girg,c1e9e6984f78a0e728194a889bae52a2b67b0e26ae8482d973122c90026c7ce7
GIRG,KLBD,next_station,Line 3,observed,mmrcl_station_girg,c1e9e6984f78a0e728194a889bae52a2b67b0e26ae8482d973122c90026c7ce7
GTRM,MCLM,prev_station,Line 3,observed,mmrcl_station_gtrm,fb9d5a29762b259a7edbff8199558cf35a0f9e90894dfcfcf5fcf1188cfe3c9e
GTRM,GIRG,next_station,Line 3,observed,mmrcl_station_gtrm,fb9d5a29762b259a7edbff8199558cf35a0f9e90894dfcfcf5fcf1188cfe3c9e
HUC,CSTM,prev_station,Line 3,observed,mmrcl_station_huc,e353cac2882eec2ce3ba30b639143cd0bdc3e69fb25d22368d8d4bc7942b7bbc
HUC,CHGM,next_station,Line 3,observed,mmrcl_station_huc,e353cac2882eec2ce3ba30b639143cd0bdc3e69fb25d22368d8d4bc7942b7bbc
KLBD,GIRG,prev_station,Line 3,observed,mmrcl_station_klbd,6c78023ab48793db16a59a75d2c2b4dcdfecc1b0908e9279f35eb3659ec298e1
KLBD,CSTM,next_station,Line 3,observed,mmrcl_station_klbd,6c78023ab48793db16a59a75d2c2b4dcdfecc1b0908e9279f35eb3659ec298e1
MCLM,MLXM,prev_station,Line 3,observed,mmrcl_station_mclm,6066ee6506f22cdef6a319066fc9b7e3939f7433ba27cca3172cdb5d162b9b1a
MCLM,GTRM,next_station,Line 3,observed,mmrcl_station_mclm,6066ee6506f22cdef6a319066fc9b7e3939f7433ba27cca3172cdb5d162b9b1a
