serial_number,village_name,taluka_name,district_name,district_urban_annotation,source,source_id,source_sha256,source_pdf_page,notification_date,status
1,Ghivali,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
2,Sawari,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
3,Kambode,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
4,Kudan,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
5,Dahisar T. Tarapur,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
6,Ambatpada,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
7,Mundwali,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
8,Salgaon,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
9,Parnali,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
10,Navi Delwadi,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
11,Akkarpatti,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
12,Unbhat,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
13,Popharan,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
14,Pathrali,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
15,Vengani,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
16,Kurgaon,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
17,Dandi,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
18,Uchchheli,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
19,Nawapur,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
20,Tembhi,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
21,Pam Tembhi,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
22,Kolawade,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
23,Kumbhavli,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
24,Gundali,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
25,Alewadi,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
26,Nandgaon T. Tarapur,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
27,Agawan,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
28,Panchali,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
29,Umroli,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
30,Kolgaon,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
31,Dapoli,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
32,Kharekuran,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
33,Murabe,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
34,Vikaswadi,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
35,Morekuran,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
36,Wave,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
37,Newale,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
38,Ranishigaon,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,29,2024-07-09,planning_list_only_boundary_reconciliation_pending
39,Hanuman Nagar,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
40,Sumadi,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
41,Khanivade,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
42,Shigaon,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
43,Khutad,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
44,Walve,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
45,Mahagaon,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
46,Kambalgaon,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
47,Betegaon,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
48,Man,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
49,Warangade,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
50,Kallale,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
51,Padghe,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
52,Birwadi,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
53,Satpati,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
54,Dhansar,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
55,Devkhope,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
56,Nandore,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
57,Shelwadi,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
58,Ambadi,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
59,Varkhunti,Palghar,Palghar,false,observed,mmr_ena_spa_notification_20240709,ceb9aa9713a214001210571935eff7ebd40686c9d0f752d69a1d9523bd3eb928,30,2024-07-09,planning_list_only_boundary_reconciliation_pending
