office_label,column_1_based,measure,office_level,category_code,printed_category_label,vehicles_count,aggregate_row,source_page,source,source_sha256
Mumbai (C),1,registered_stock_20170331,office,1,1 Motor Cycles,316386,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,2,2 Scooters,211410,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,3,3 Mopeds,7654,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,subtotal_two_wheelers,Total Two  wheelers,535450,True,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,4,4 Motor Cars,309709,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,5,5 Jeeps,10412,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,6,6 Station Wagons,2177,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,7a,7(A) Taxi meter fitted,40263,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,7b,7(B) Taxi Tourist Cabs,21395,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,8,8 Autorickshaws,1,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,9,9 Stage Carriages,4951,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,10,10 Contract Carriages,1942,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,11,11 School Buses,184,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,12,12 Pvt.Serv.Veh.,476,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,13,13 Ambulances,683,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,14,14 Arti. & Multi.Veh.,11,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,15,15 Trucks & Lorries,2044,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,16,16 Tankers,131,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,17,17 Del. Van(4 Wh.),15082,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,18,18 Del. Van(3 wh.),5785,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,19,19 Tractors,131,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,20,20 Trailers,91,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,21,21 Others.,486,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (C),1,registered_stock_20170331,office,total_all_vehicles,Total,951404,True,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,1,1 Motor Cycles,348534,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,2,2 Scooters,186619,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,3,3 Mopeds,11753,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,subtotal_two_wheelers,Total Two  wheelers,546906,True,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,4,4 Motor Cars,304944,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,5,5 Jeeps,13691,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,6,6 Station Wagons,706,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,7a,7(A) Taxi meter fitted,9865,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,7b,7(B) Taxi Tourist Cabs,14802,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,8,8 Autorickshaws,60713,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,9,9 Stage Carriages,0,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,10,10 Contract Carriages,1234,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,11,11 School Buses,788,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
Mumbai (W),2,registered_stock_20170331,office,12,12 Pvt.Serv.Veh.,172,False,59,published_transport_statistics_2016_17,a75c07e8a5da3fbef9b368d4c2458ad88265c7037cad803f331a1fc2483e98ad
