source_id,source_sha256,source_page,operator,line,measure,value_in_stated_unit,stated_unit,period_or_effective_date,precision_note,source,validation_status
mahametro_current_annual_2024_25,aff714b443ee1c83e9e438f345d3c1543c366b08debcf8b6fddf25f21fcdf122,30,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,average_daily_ridership,10304,passenger_journeys_per_day,2024-04,Published integer daily average; underlying total not supplied here.,operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2024_25,aff714b443ee1c83e9e438f345d3c1543c366b08debcf8b6fddf25f21fcdf122,30,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,average_daily_ridership,16271,passenger_journeys_per_day,2025-03,Published integer daily average; underlying total not supplied here.,operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2024_25,aff714b443ee1c83e9e438f345d3c1543c366b08debcf8b6fddf25f21fcdf122,30,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,claimed_ridership_growth,63,percent,2024-04 to 2025-03,Conflicts with arithmetic from the two reported averages.,operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2024_25,aff714b443ee1c83e9e438f345d3c1543c366b08debcf8b6fddf25f21fcdf122,30,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,ijtema_extra_revenue_trips,27,train_trips,2025-02-02,Special-event addition; not a regular-day schedule.,operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2024_25,aff714b443ee1c83e9e438f345d3c1543c366b08debcf8b6fddf25f21fcdf122,30,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,ijtema_extra_trips_beyond_hours,12,train_trips,2025-02-02,Special-event addition; not a regular-day schedule.,operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2024_25,aff714b443ee1c83e9e438f345d3c1543c366b08debcf8b6fddf25f21fcdf122,30,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,ijtema_ridership,72895,passenger_journeys,2025-02-02,Event-day count; not an average day.,operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2024_25,aff714b443ee1c83e9e438f345d3c1543c366b08debcf8b6fddf25f21fcdf122,30,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,peak_headway,10,minutes,effective 2025-01-20,Peak-period clock boundaries and later amendments not supplied in this paragraph.,operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2024_25,aff714b443ee1c83e9e438f345d3c1543c366b08debcf8b6fddf25f21fcdf122,30,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,non_peak_headway,20,minutes,effective 2025-01-20,Peak-period clock boundaries and later amendments not supplied in this paragraph.,operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2023_24,e79c75064e5b69fcf411f8bbdb01759659a7724f866cef4b456d7b1db3c0d8ca,23,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,ridership,1.65,million_passenger_journeys,2023-11-17 to 2024-03-31 (FY 2023-24 operation),Rounded to two decimal million; do not treat as an exact integer count.,operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2023_24,e79c75064e5b69fcf411f8bbdb01759659a7724f866cef4b456d7b1db3c0d8ca,23,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,farebox_revenue,4.42,crore_INR,2023-11-17 to 2024-03-31 (FY 2023-24 operation),Rounded published monetary value.,operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2023_24,e79c75064e5b69fcf411f8bbdb01759659a7724f866cef4b456d7b1db3c0d8ca,23,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,reported_headway,15,minutes,FY 2023-24 report,Historical operating description.,operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2023_24,e79c75064e5b69fcf411f8bbdb01759659a7724f866cef4b456d7b1db3c0d8ca,23,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,trains_utilised,5,trains,FY 2023-24 report,"Trains utilised, not a verified total fleet or seating capacity.",operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2023_24,e79c75064e5b69fcf411f8bbdb01759659a7724f866cef4b456d7b1db3c0d8ca,23,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,first_service_clock,06:00,local_hhmm,FY 2023-24 report,Historical operating window; direction and calendar exceptions unresolved.,operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2023_24,e79c75064e5b69fcf411f8bbdb01759659a7724f866cef4b456d7b1db3c0d8ca,23,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,last_service_clock,23:00,local_hhmm,FY 2023-24 report,Historical operating window; direction and calendar exceptions unresolved.,operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2023_24,e79c75064e5b69fcf411f8bbdb01759659a7724f866cef4b456d7b1db3c0d8ca,23,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,train_availability,99.87,percent,FY 2023-24 report,Operator statistic; measurement definition needs confirmation.,operator_reported,historical_source_not_current_calibration_target
mahametro_current_annual_2023_24,e79c75064e5b69fcf411f8bbdb01759659a7724f866cef4b456d7b1db3c0d8ca,23,Maha Metro for CIDCO,Navi Mumbai Metro Line 1,punctuality,99.89,percent,FY 2023-24 report,Operator statistic; measurement definition needs confirmation.,operator_reported,historical_source_not_current_calibration_target
