survey,reference_period,state,residence,item,households_possessing_pct,universe,source,source_id,source_sha256,source_page,source_table,status
NFHS-4,2015-16,Maharashtra,urban,bicycle,30.4,households (de jure population column not taken),observed,nfhs4_maharashtra_report_2015_16,287318f787280797305fac0a58686efeb405afca489c4a50655aa29b46021358,47,Table 5 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-4,2015-16,Maharashtra,rural,bicycle,32.7,households (de jure population column not taken),observed,nfhs4_maharashtra_report_2015_16,287318f787280797305fac0a58686efeb405afca489c4a50655aa29b46021358,47,Table 5 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-4,2015-16,Maharashtra,total,bicycle,31.5,households (de jure population column not taken),observed,nfhs4_maharashtra_report_2015_16,287318f787280797305fac0a58686efeb405afca489c4a50655aa29b46021358,47,Table 5 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-4,2015-16,Maharashtra,urban,motorcycle_or_scooter,44.5,households (de jure population column not taken),observed,nfhs4_maharashtra_report_2015_16,287318f787280797305fac0a58686efeb405afca489c4a50655aa29b46021358,47,Table 5 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-4,2015-16,Maharashtra,rural,motorcycle_or_scooter,35.8,households (de jure population column not taken),observed,nfhs4_maharashtra_report_2015_16,287318f787280797305fac0a58686efeb405afca489c4a50655aa29b46021358,47,Table 5 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-4,2015-16,Maharashtra,total,motorcycle_or_scooter,40.1,households (de jure population column not taken),observed,nfhs4_maharashtra_report_2015_16,287318f787280797305fac0a58686efeb405afca489c4a50655aa29b46021358,47,Table 5 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-4,2015-16,Maharashtra,urban,car,9.2,households (de jure population column not taken),observed,nfhs4_maharashtra_report_2015_16,287318f787280797305fac0a58686efeb405afca489c4a50655aa29b46021358,47,Table 5 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-4,2015-16,Maharashtra,rural,car,2.7,households (de jure population column not taken),observed,nfhs4_maharashtra_report_2015_16,287318f787280797305fac0a58686efeb405afca489c4a50655aa29b46021358,47,Table 5 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-4,2015-16,Maharashtra,total,car,5.9,households (de jure population column not taken),observed,nfhs4_maharashtra_report_2015_16,287318f787280797305fac0a58686efeb405afca489c4a50655aa29b46021358,47,Table 5 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-5,2019-21,Maharashtra,urban,bicycle,28.1,households (de jure population column not taken),observed,nfhs5_maharashtra_report_2019_21,982ecbc44ecf1297c322489da16869062a0513bd92fb5bc1f4edb9cc3028c794,53,Table 7 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-5,2019-21,Maharashtra,rural,bicycle,30.4,households (de jure population column not taken),observed,nfhs5_maharashtra_report_2019_21,982ecbc44ecf1297c322489da16869062a0513bd92fb5bc1f4edb9cc3028c794,53,Table 7 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-5,2019-21,Maharashtra,total,bicycle,29.3,households (de jure population column not taken),observed,nfhs5_maharashtra_report_2019_21,982ecbc44ecf1297c322489da16869062a0513bd92fb5bc1f4edb9cc3028c794,53,Table 7 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-5,2019-21,Maharashtra,urban,motorcycle_or_scooter,60.1,households (de jure population column not taken),observed,nfhs5_maharashtra_report_2019_21,982ecbc44ecf1297c322489da16869062a0513bd92fb5bc1f4edb9cc3028c794,53,Table 7 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-5,2019-21,Maharashtra,rural,motorcycle_or_scooter,48.2,households (de jure population column not taken),observed,nfhs5_maharashtra_report_2019_21,982ecbc44ecf1297c322489da16869062a0513bd92fb5bc1f4edb9cc3028c794,53,Table 7 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-5,2019-21,Maharashtra,total,motorcycle_or_scooter,53.9,households (de jure population column not taken),observed,nfhs5_maharashtra_report_2019_21,982ecbc44ecf1297c322489da16869062a0513bd92fb5bc1f4edb9cc3028c794,53,Table 7 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-5,2019-21,Maharashtra,urban,car,14.0,households (de jure population column not taken),observed,nfhs5_maharashtra_report_2019_21,982ecbc44ecf1297c322489da16869062a0513bd92fb5bc1f4edb9cc3028c794,53,Table 7 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-5,2019-21,Maharashtra,rural,car,3.9,households (de jure population column not taken),observed,nfhs5_maharashtra_report_2019_21,982ecbc44ecf1297c322489da16869062a0513bd92fb5bc1f4edb9cc3028c794,53,Table 7 Household possessions and land ownership,state_survey_observation_not_district_control
NFHS-5,2019-21,Maharashtra,total,car,8.7,households (de jure population column not taken),observed,nfhs5_maharashtra_report_2019_21,982ecbc44ecf1297c322489da16869062a0513bd92fb5bc1f4edb9cc3028c794,53,Table 7 Household possessions and land ownership,state_survey_observation_not_district_control
