line,date,weekday,paper_qr,mobile_application,whatsapp,ncmc_and_other_trip,total_ridership,channel_sum_equals_total,source,source_id,source_sha256,printed_line
Metro Lines 2A and 7,2024-01-01,True,105702,3294,0,32577,141573,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-02,True,131305,7220,0,86589,225114,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-03,True,133816,7952,0,91122,232890,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-04,True,128843,7958,0,89462,226263,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-05,True,138907,7684,0,86978,233569,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-06,False,140277,4994,0,53149,198420,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-07,False,111100,2751,0,17592,131443,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-08,True,135338,7795,0,92320,235453,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-09,True,132807,7991,0,95028,235826,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-10,True,132503,8220,0,95001,235724,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-11,True,128578,7916,0,92023,228517,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-12,True,134964,7457,0,89221,231642,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-13,False,136297,4411,0,45604,186312,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-14,False,103295,2453,0,16910,122658,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-15,True,126393,5209,0,85656,217258,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-16,True,124680,6809,0,85797,217286,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
Metro Lines 2A and 7,2024-01-17,True,134242,8049,0,96086,238377,True,observed,ogd_metro_2a_7_ridership_daily_2024_2025,46e3b6fd316a2ba8e33e077bb9c5855d616a4cbf0b47d02fddc4dad6fcea2bb7,2A & 7
