osm_node_id,name,longitude_deg,latitude_deg,x_m,y_m,projected_epsg,selected_tags_json,all_driver_tags_json,source,status
30518270,,72.85292600000001,19.306538,274396.1748674371,2136143.7974510132,32643,"{""railway"": ""switch""}","{""railway"": ""switch""}",mapped_osm_feature,unverified_operation_and_station_identity
30518283,Vasai Road,72.8320245,19.3826676,272304.8235787691,2144599.7925091935,32643,"{""public_transport"": ""station"", ""railway"": ""station""}","{""internet_access"": ""no"", ""name"": ""Vasai Road"", ""name:hi"": ""वसई रोड"", ""name:ja"": ""ヴァサイー"", ""name:mr"": ""वसई रोड"", ""network"": ""Mumbai Suburban Railway"", ""network:wikidata"": ""Q3273422"", ""operator"": ""WR"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref"": ""BSR"", ""train"": ""yes"", ""wikidata"": ""Q7916309"", ""wikipedia"": ""en:Vasai Road railway station""}",mapped_osm_feature,unverified_operation_and_station_identity
30518292,Naigaon,72.84652290000001,19.3510925,273784.51472325454,2141084.924928974,32643,"{""public_transport"": ""station"", ""railway"": ""station""}","{""internet_access"": ""no"", ""name"": ""Naigaon"", ""name:hi"": ""नायगाव"", ""name:mr"": ""नायगाव"", ""network"": ""Mumbai Suburban Railway"", ""network:wikidata"": ""Q3273422"", ""operator"": ""WR"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref"": ""NIG"", ""train"": ""yes"", ""wikidata"": ""Q6959544""}",mapped_osm_feature,unverified_operation_and_station_identity
30518297,Bhayandar,72.8526988,19.3101847,274377.29850891576,2136547.82933416,32643,"{""public_transport"": ""station"", ""railway"": ""station""}","{""internet_access"": ""wlan"", ""name"": ""Bhayandar"", ""name:hi"": ""भायंदर"", ""name:mr"": ""भाईंदर"", ""network"": ""Mumbai Suburban Railway"", ""network:wikidata"": ""Q3273422"", ""operator"": ""WR"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref"": ""BYR"", ""train"": ""yes"", ""wikidata"": ""Q4901614"", ""wikipedia"": ""en:Bhayandar railway station""}",mapped_osm_feature,unverified_operation_and_station_identity
30518361,Kharbhav,72.98446770000001,19.298321,288211.9709952022,2135068.0020849826,32643,"{""public_transport"": ""station"", ""railway"": ""station""}","{""internet_access"": ""no"", ""name"": ""Kharbhav"", ""network"": ""IR"", ""operator"": ""CR"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref"": ""KHBV"", ""train"": ""yes"", ""wikidata"": ""Q6400596"", ""wikipedia"": ""en:Kharbao railway station""}",mapped_osm_feature,unverified_operation_and_station_identity
30519406,,73.0667603,19.2028944,296744.1848841187,2124405.6876994283,32643,"{""railway"": ""switch""}","{""railway"": ""switch""}",mapped_osm_feature,unverified_operation_and_station_identity
30519442,,73.1161489,19.2318651,301972.99018083257,2127555.7450485006,32643,"{""railway"": ""switch""}","{""railway"": ""switch""}",mapped_osm_feature,unverified_operation_and_station_identity
30519564,,73.1146928,19.029917100000002,301578.7238728736,2105202.4210740994,32643,"{""railway"": ""switch""}","{""railway"": ""switch""}",mapped_osm_feature,unverified_operation_and_station_identity
30520639,,72.79561890000001,19.607621700000003,268799.74848958687,2169554.6957416846,32643,"{""railway"": ""level_crossing""}","{""railway"": ""level_crossing""}",mapped_osm_feature,unverified_operation_and_station_identity
30520640,Palghar,72.7718888,19.6978882,266440.6914756773,2179581.420621465,32643,"{""public_transport"": ""station"", ""railway"": ""station""}","{""internet_access"": ""no"", ""name"": ""Palghar"", ""name:hi"": ""पालघर"", ""name:mr"": ""पालघर"", ""network"": ""Mumbai Suburban Railway"", ""network:wikidata"": ""Q3273422"", ""operator"": ""WR"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref"": ""PLG"", ""train"": ""yes"", ""wikidata"": ""Q7127480"", ""wikipedia"": ""en:Palghar railway station""}",mapped_osm_feature,unverified_operation_and_station_identity
30520645,Nalla Sopara,72.81866910000001,19.4183573,270951.61497121694,2148568.881654221,32643,"{""public_transport"": ""stop_position""}","{""name"": ""Nalla Sopara"", ""public_transport"": ""stop_position"", ""train"": ""yes""}",mapped_osm_feature,unverified_operation_and_station_identity
206301367,,73.0502235,19.1913194,294990.6774969714,2123143.7181265345,32643,"{""railway"": ""switch""}","{""railway"": ""switch""}",mapped_osm_feature,unverified_operation_and_station_identity
213017960,Bhivandi Road,73.04631210000001,19.2688735,294675.74486886535,2131733.6651346013,32643,"{""public_transport"": ""station"", ""railway"": ""station""}","{""internet_access"": ""no"", ""name"": ""Bhivandi Road"", ""name:hi"": ""भिवंडी रोड"", ""name:mr"": ""भिवंडी रोड"", ""network"": ""IR"", ""operator"": ""CR"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref"": ""BIRD"", ""train"": ""yes"", ""wikidata"": ""Q4901854"", ""wikipedia"": ""en:Bhiwandi Road railway station""}",mapped_osm_feature,unverified_operation_and_station_identity
213021548,,72.99478210000001,19.291879100000003,289287.8857460004,2134342.2763252254,32643,"{""railway"": ""level_crossing""}","{""railway"": ""level_crossing""}",mapped_osm_feature,unverified_operation_and_station_identity
213024517,,72.88298230000001,19.3540218,277619.80563540617,2141361.897885814,32643,"{""railway"": ""level_crossing""}","{""railway"": ""level_crossing""}",mapped_osm_feature,unverified_operation_and_station_identity
213024522,,72.86026290000001,19.367206200000002,275250.4798246972,2142850.9838009467,32643,"{""railway"": ""level_crossing""}","{""railway"": ""level_crossing""}",mapped_osm_feature,unverified_operation_and_station_identity
213030669,Dahisar,72.8596302,19.249357200000002,275022.76299940865,2129804.4784345767,32643,"{""public_transport"": ""station"", ""railway"": ""station""}","{""internet_access"": ""no"", ""name"": ""Dahisar"", ""name:hi"": ""दहीसर"", ""name:mr"": ""दहिसर"", ""network"": ""Mumbai Suburban Railway"", ""network:wikidata"": ""Q3273422"", ""operator"": ""WR"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref"": ""DIC"", ""train"": ""yes"", ""wikidata"": ""Q5208848"", ""wikipedia"": ""en:Dahisar railway station""}",mapped_osm_feature,unverified_operation_and_station_identity
213030688,Malad,72.84875840000001,19.1868093,273793.9670884289,2122893.8003384555,32643,"{""public_transport"": ""stop_position"", ""railway"": ""stop""}","{""name"": ""Malad"", ""public_transport"": ""stop_position"", ""railway"": ""stop"", ""train"": ""yes""}",mapped_osm_feature,unverified_operation_and_station_identity
213030694,Goregaon,72.8494067,19.164857100000003,273832.1837050848,2120462.598282881,32643,"{""public_transport"": ""stop_position"", ""railway"": ""stop""}","{""name"": ""Goregaon"", ""public_transport"": ""stop_position"", ""railway"": ""stop"", ""ref"": ""3"", ""train"": ""yes""}",mapped_osm_feature,unverified_operation_and_station_identity
213030714,Santa Cruz,72.8417565,19.0815223,272913.4411932954,2111246.428727468,32643,"{""public_transport"": ""station"", ""railway"": ""station""}","{""internet_access"": ""no"", ""name"": ""Santa Cruz"", ""name:hi"": ""सांताक्रुज़"", ""name:mr"": ""सांताक्रूझ"", ""network"": ""Mumbai Suburban Railway"", ""network:wikidata"": ""Q3273422"", ""operator"": ""WR"", ""public_transport"": ""station"", ""railway"": ""station"", ""ref"": ""STC"", ""train"": ""yes"", ""wikidata"": ""Q7420001"", ""wikipedia"": ""en:Santacruz railway station""}",mapped_osm_feature,unverified_operation_and_station_identity
241160687,,72.99767150000001,19.062464300000002,289299.93346418906,2108941.7937438516,32643,"{""railway"": ""level_crossing""}","{""crossing:barrier"": ""no"", ""railway"": ""level_crossing""}",mapped_osm_feature,unverified_operation_and_station_identity
241160689,Vashi,72.9989644,19.0632083,289436.9658209451,2109022.6025755377,32643,"{""public_transport"": ""stop_position"", ""railway"": ""stop""}","{""name"": ""Vashi"", ""name:hi"": ""वाशी"", ""public_transport"": ""stop_position"", ""railway"": ""stop"", ""ref"": ""3"", ""train"": ""yes""}",mapped_osm_feature,unverified_operation_and_station_identity
245650967,,73.4043777,18.754009500000002,331798.322218755,2074362.6463890737,32643,"{""highway"": ""traffic_signals""}","{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}",mapped_osm_feature,unverified_operation_and_station_identity
245653232,,72.82173660000001,18.9143089,270576.95938486187,2092760.1087323364,32643,"{""highway"": ""traffic_signals""}","{""highway"": ""traffic_signals""}",mapped_osm_feature,unverified_operation_and_station_identity
245653329,,72.8236255,18.9164885,270778.9544899814,2092998.9600544905,32643,"{""highway"": ""traffic_signals""}","{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}",mapped_osm_feature,unverified_operation_and_station_identity
245653413,,72.8255542,18.918794600000002,270985.3103444427,2093251.766293917,32643,"{""highway"": ""traffic_signals""}","{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}",mapped_osm_feature,unverified_operation_and_station_identity
245653464,,72.82907250000001,18.918902300000003,271356.1487289921,2093259.1299245784,32643,"{""highway"": ""traffic_signals""}","{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}",mapped_osm_feature,unverified_operation_and_station_identity
245653613,,72.8263833,18.9210581,271075.74927197595,2093501.2835554653,32643,"{""highway"": ""traffic_signals""}","{""highway"": ""traffic_signals""}",mapped_osm_feature,unverified_operation_and_station_identity
245653633,,72.8312042,18.921828100000003,271584.7240487698,2093580.2857624146,32643,"{""highway"": ""traffic_signals""}","{""highway"": ""traffic_signals"", ""traffic_signals"": ""signal""}",mapped_osm_feature,unverified_operation_and_station_identity
