source_id,source_sha256,source_pdf_page,table,area,survey_year,mode_raw,trips_per_day,share_pct,share_basis,status
cts_2021_mirror,025fa4604a024210f3e523665c8ab843c1e741738be5c15f06b7bd4a20f03b21,109,"Table 6-8 Daily Mode Split, Mumbai Metropolitan Region, 2017 (CTS Updation)",Mumbai Metropolitan Region,2017,Metro & Mono,410000,2.2,motorised main-mode trips per day,observed_published_table
cts_2021_mirror,025fa4604a024210f3e523665c8ab843c1e741738be5c15f06b7bd4a20f03b21,109,"Table 6-8 Daily Mode Split, Mumbai Metropolitan Region, 2017 (CTS Updation)",Mumbai Metropolitan Region,2017,Train,8110000,43.2,motorised main-mode trips per day,observed_published_table
cts_2021_mirror,025fa4604a024210f3e523665c8ab843c1e741738be5c15f06b7bd4a20f03b21,109,"Table 6-8 Daily Mode Split, Mumbai Metropolitan Region, 2017 (CTS Updation)",Mumbai Metropolitan Region,2017,Bus,3750000,20.0,motorised main-mode trips per day,observed_published_table
cts_2021_mirror,025fa4604a024210f3e523665c8ab843c1e741738be5c15f06b7bd4a20f03b21,109,"Table 6-8 Daily Mode Split, Mumbai Metropolitan Region, 2017 (CTS Updation)",Mumbai Metropolitan Region,2017,Rickshaw,950000,5.1,motorised main-mode trips per day,observed_published_table
cts_2021_mirror,025fa4604a024210f3e523665c8ab843c1e741738be5c15f06b7bd4a20f03b21,109,"Table 6-8 Daily Mode Split, Mumbai Metropolitan Region, 2017 (CTS Updation)",Mumbai Metropolitan Region,2017,Taxi,1630000,8.7,motorised main-mode trips per day,observed_published_table
cts_2021_mirror,025fa4604a024210f3e523665c8ab843c1e741738be5c15f06b7bd4a20f03b21,109,"Table 6-8 Daily Mode Split, Mumbai Metropolitan Region, 2017 (CTS Updation)",Mumbai Metropolitan Region,2017,Two-Wheeler,2340000,12.5,motorised main-mode trips per day,observed_published_table
cts_2021_mirror,025fa4604a024210f3e523665c8ab843c1e741738be5c15f06b7bd4a20f03b21,109,"Table 6-8 Daily Mode Split, Mumbai Metropolitan Region, 2017 (CTS Updation)",Mumbai Metropolitan Region,2017,Car,1590000,8.5,motorised main-mode trips per day,observed_published_table
cts_2021_mirror,025fa4604a024210f3e523665c8ab843c1e741738be5c15f06b7bd4a20f03b21,109,"Table 6-8 Daily Mode Split, Mumbai Metropolitan Region, 2017 (CTS Updation)",Mumbai Metropolitan Region,2017,Total,18780000,100.0,motorised main-mode trips per day,observed_published_table
cts_2021_mirror,025fa4604a024210f3e523665c8ab843c1e741738be5c15f06b7bd4a20f03b21,109,"Table 6-8 Daily Mode Split, Mumbai Metropolitan Region, 2017 (CTS Updation)",Mumbai Metropolitan Region,2017,PV (Car & TW),3930000,20.9,motorised main-mode trips per day,observed_published_table
cts_2021_mirror,025fa4604a024210f3e523665c8ab843c1e741738be5c15f06b7bd4a20f03b21,109,"Table 6-8 Daily Mode Split, Mumbai Metropolitan Region, 2017 (CTS Updation)",Mumbai Metropolitan Region,2017,IPT (Auto & Taxi),2580000,13.7,motorised main-mode trips per day,observed_published_table
cts_2021_mirror,025fa4604a024210f3e523665c8ab843c1e741738be5c15f06b7bd4a20f03b21,109,"Table 6-8 Daily Mode Split, Mumbai Metropolitan Region, 2017 (CTS Updation)",Mumbai Metropolitan Region,2017,PT (Train & Bus),12270000,65.3,motorised main-mode trips per day,observed_published_table
cts_2021_mirror,025fa4604a024210f3e523665c8ab843c1e741738be5c15f06b7bd4a20f03b21,43,Section 2 household interview survey findings,Mumbai Metropolitan Region,2017,Active modes (walking / cycling),,47.0,"all main-mode trips (approximate, as printed)",observed_published_statement
mumbai_cmp_summary,e8ffa49d3d0e7b56b036063c4b6a2fc128776a25f870cb2b1d788d5d6f9b3ee2,36,"Table 4-9 Daily Mode Split, Greater Mumbai: CTS for MMR (2005-08) and CMP (2014-16)",Greater Mumbai,2005,Car,757164,7.0,motorised main-mode trips per day,observed_published_table
mumbai_cmp_summary,e8ffa49d3d0e7b56b036063c4b6a2fc128776a25f870cb2b1d788d5d6f9b3ee2,36,"Table 4-9 Daily Mode Split, Greater Mumbai: CTS for MMR (2005-08) and CMP (2014-16)",Greater Mumbai,2014,Car,1639439,11.6,motorised main-mode trips per day,observed_published_table
mumbai_cmp_summary,e8ffa49d3d0e7b56b036063c4b6a2fc128776a25f870cb2b1d788d5d6f9b3ee2,36,"Table 4-9 Daily Mode Split, Greater Mumbai: CTS for MMR (2005-08) and CMP (2014-16)",Greater Mumbai,2005,Two Wheeler,412959,3.8,motorised main-mode trips per day,observed_published_table
mumbai_cmp_summary,e8ffa49d3d0e7b56b036063c4b6a2fc128776a25f870cb2b1d788d5d6f9b3ee2,36,"Table 4-9 Daily Mode Split, Greater Mumbai: CTS for MMR (2005-08) and CMP (2014-16)",Greater Mumbai,2014,Two Wheeler,2083578,14.8,motorised main-mode trips per day,observed_published_table
