source,source_id,source_sha256,publication_date,current_model_supply_adopted,source_table,source_row,location_as_printed,details_as_printed,status_scope,commissioned_date,operational_capacity_status
observed_official_publication_claim,pib_mumbai_rail_capacity_projects_20260325,01bf7104e08c403c1fd1813fcb35b5aac8b5a5e240020d12b86e81e94d483072,2026-03-25,False,Capacity Augmentation works for Mumbai Area,1,Bandra Terminus,3 Pit Lines have been completed,completed_as_stated,,not_established_by_this_table
observed_official_publication_claim,pib_mumbai_rail_capacity_projects_20260325,01bf7104e08c403c1fd1813fcb35b5aac8b5a5e240020d12b86e81e94d483072,2026-03-25,False,Capacity Augmentation works for Mumbai Area,2,Mumbai Central,Platform extension for 24 LHB coaches,mixed_completed_taken_up_planned_heading_row_status_unresolved,,not_established_by_this_table
observed_official_publication_claim,pib_mumbai_rail_capacity_projects_20260325,01bf7104e08c403c1fd1813fcb35b5aac8b5a5e240020d12b86e81e94d483072,2026-03-25,False,Capacity Augmentation works for Mumbai Area,3,Jogeshwari,2 additional platforms,mixed_completed_taken_up_planned_heading_row_status_unresolved,,not_established_by_this_table
observed_official_publication_claim,pib_mumbai_rail_capacity_projects_20260325,01bf7104e08c403c1fd1813fcb35b5aac8b5a5e240020d12b86e81e94d483072,2026-03-25,False,Capacity Augmentation works for Mumbai Area,4,Dadar,1 additional platform,mixed_completed_taken_up_planned_heading_row_status_unresolved,,not_established_by_this_table
observed_official_publication_claim,pib_mumbai_rail_capacity_projects_20260325,01bf7104e08c403c1fd1813fcb35b5aac8b5a5e240020d12b86e81e94d483072,2026-03-25,False,Capacity Augmentation works for Mumbai Area,5,Vasai road,"6 platforms, 3 pit lines and 5 stabling lines",mixed_completed_taken_up_planned_heading_row_status_unresolved,,not_established_by_this_table
observed_official_publication_claim,pib_mumbai_rail_capacity_projects_20260325,01bf7104e08c403c1fd1813fcb35b5aac8b5a5e240020d12b86e81e94d483072,2026-03-25,False,Capacity Augmentation works for Mumbai Area,6,Panvel-Kalamboli,"5 platforms , 4 pit lines and 2 sick lines",mixed_completed_taken_up_planned_heading_row_status_unresolved,,not_established_by_this_table
observed_official_publication_claim,pib_mumbai_rail_capacity_projects_20260325,01bf7104e08c403c1fd1813fcb35b5aac8b5a5e240020d12b86e81e94d483072,2026-03-25,False,Capacity Augmentation works for Mumbai Area,7,Kalyan,6 platforms and 4 pit lines,mixed_completed_taken_up_planned_heading_row_status_unresolved,,not_established_by_this_table
observed_official_publication_claim,pib_mumbai_rail_capacity_projects_20260325,01bf7104e08c403c1fd1813fcb35b5aac8b5a5e240020d12b86e81e94d483072,2026-03-25,False,Capacity Augmentation works for Mumbai Area,8,LTT,4 platforms and 2 pit lines,mixed_completed_taken_up_planned_heading_row_status_unresolved,,not_established_by_this_table
observed_official_publication_claim,pib_mumbai_rail_capacity_projects_20260325,01bf7104e08c403c1fd1813fcb35b5aac8b5a5e240020d12b86e81e94d483072,2026-03-25,False,Capacity Augmentation works for Mumbai Area,9,Parel,"6 platforms, 5 pit lines, 6 stabling lines",mixed_completed_taken_up_planned_heading_row_status_unresolved,,not_established_by_this_table
observed_official_publication_claim,pib_mumbai_rail_capacity_projects_20260325,01bf7104e08c403c1fd1813fcb35b5aac8b5a5e240020d12b86e81e94d483072,2026-03-25,False,Capacity Augmentation works for Mumbai Area,10,Virar,25 stabling lines,mixed_completed_taken_up_planned_heading_row_status_unresolved,,not_established_by_this_table
observed_official_publication_claim,pib_mumbai_rail_capacity_projects_20260325,01bf7104e08c403c1fd1813fcb35b5aac8b5a5e240020d12b86e81e94d483072,2026-03-25,False,Capacity Augmentation works for Mumbai Area,11,Dahanu road,11 stabling lines,mixed_completed_taken_up_planned_heading_row_status_unresolved,,not_established_by_this_table
observed_official_publication_claim,pib_mumbai_rail_capacity_projects_20260325,01bf7104e08c403c1fd1813fcb35b5aac8b5a5e240020d12b86e81e94d483072,2026-03-25,False,Capacity Augmentation works for Mumbai Area,12,Mira road,25 stabling lines,mixed_completed_taken_up_planned_heading_row_status_unresolved,,not_established_by_this_table
