office_label,registered_stock_20250331_count,new_registrations_2024_25_count,source_page,source,source_sha256
Mumbai (C),1462861,82774,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Mumbai (W),1361505,61716,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Borivali,1255555,78201,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Mumbai (E),1054545,72249,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Greater Mumbai,5134466,294940,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Thane,2730556,127937,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Kalyan,1498456,91395,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Vashi - Navi Mumbai,644439,43215,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Vasai,969990,88080,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Thane Region,5843441,350627,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Panvel,803601,64991,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Pen - Raigad,528980,31794,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Sindhudurg,317461,17968,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Ratnagiri,489738,27916,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Panvel Region,2139780,142669,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Kolhapur,1842263,60246,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Sangli,1234508,63527,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Satara,1031286,43472,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Karad,292862,17493,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Ichalkaranji,20871,19748,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Kolhapur Region,4420667,204486,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Pune,5084403,304368,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Solapur,1297857,70328,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Pimpri-Chinchwad,2766354,196282,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Baramati,607815,35346,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Akluj,465862,33719,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Pune Region,10222291,640043,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Nashik,2276518,123627,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Ahmednagar,1038350,63094,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Shrirampur,1040525,55370,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Malegaon,640411,41316,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Nashik Region,4995804,283407,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Dhule,654115,33576,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Jalgaon,1288436,47083,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Nandurbar,311064,18436,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Dhule Region,2253615,99095,1,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Aurangabad,1853345,102656,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Jalna,589484,40399,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Beed,444766,30018,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Aurangabad Region,2887595,173073,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Latur,758745,35905,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Osmanabad,431573,30099,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Ambajogai,281412,19909,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Latur Region,1471730,85913,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Nanded,861777,60162,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Parbhani,499694,37012,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Hingoli,272986,18455,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Nanded Region,1634457,115629,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Amravati,1022409,53363,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Buldhana,655100,40582,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Yavatmal,707296,48307,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Akola,610245,34401,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Washim,336217,22442,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
Amravati Region,3331267,199095,2,published_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c
