office_label,column_1_based,measure,office_level,category_code,printed_category_label,vehicles_count,aggregate_row,source_page,source,source_sha256,validation_status
Mumbai (C),1,registered_stock_20250331,office,1,1 Motor Cycles,647628,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,2,2 Scooters,211420,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,3,3 Moped,7879,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,subtotal_two_wheelers,Total --Two Wheelers,866927,True,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,4,4 Cars,447944,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,5,5 Jeeps,10412,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,6,6 Stn. Wagons,2177,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,7a,7 a) Taxis meter fited,26953,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,7b,7 b) Luxury /Turist Cabs/,45771,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,8,8 Auto-rikshaws,3,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,9,9 Stage carriages,5678,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,10,10 Contract carriages /Mini Bus,5316,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,11,11 School Buses,756,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,12,12 Private Service Vehicles,525,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,13,13 Ambulances,1216,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,14,14 Articulated/Multi.,196,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
Mumbai (C),1,registered_stock_20250331,office,15,15 Trucks & Lorries,4633,False,3,published_provisional_registration_statistics,66426e585d9e275def066a350067f2649b7526416f94e8dda8ff831ef5819e5c,arithmetic_checked_not_spatially_validated
