source,source_id,source_sha256,source_pdf_page,notification_date,district_name_as_printed,taluka_name,serial_number,village_name_as_transcribed,transcription_status,census_name_candidate_count,census_name_candidates_json,ena_name_candidate_count,ena_name_candidate_serials,ena_candidate_names,boundary_status
derived,maharashtra_scheduled_areas_order_1985,f9688f5830373c805bdb4b86f4e9f46abd8fcb5e862b48fa41d23105dab3dadd,8,1985-12-02,Thane,Palghar,1,Tarapur,english_scan_visually_transcribed,1,"[{""level"": ""TOWN"", ""name"": ""Tarapur (CT)"", ""subdistrict_code"": ""04163"", ""town_village_code"": ""552395""}]",0,,,unresolved_no_inclusion_or_exclusion_applied
derived,maharashtra_scheduled_areas_order_1985,f9688f5830373c805bdb4b86f4e9f46abd8fcb5e862b48fa41d23105dab3dadd,8,1985-12-02,Thane,Palghar,2,Kudan,english_scan_visually_transcribed,1,"[{""level"": ""VILLAGE"", ""name"": ""Kudan"", ""subdistrict_code"": ""04163"", ""town_village_code"": ""552186""}]",1,4,Kudan,unresolved_no_inclusion_or_exclusion_applied
derived,maharashtra_scheduled_areas_order_1985,f9688f5830373c805bdb4b86f4e9f46abd8fcb5e862b48fa41d23105dab3dadd,8,1985-12-02,Thane,Palghar,3,Dahisar-tarf-Tarapur,english_scan_visually_transcribed,0,[],0,,,unresolved_no_inclusion_or_exclusion_applied
derived,maharashtra_scheduled_areas_order_1985,f9688f5830373c805bdb4b86f4e9f46abd8fcb5e862b48fa41d23105dab3dadd,8,1985-12-02,Thane,Palghar,4,Ghiwali,english_scan_visually_transcribed,0,[],0,,,unresolved_no_inclusion_or_exclusion_applied
derived,maharashtra_scheduled_areas_order_1985,f9688f5830373c805bdb4b86f4e9f46abd8fcb5e862b48fa41d23105dab3dadd,8,1985-12-02,Thane,Palghar,5,Wawre,english_scan_visually_transcribed,0,[],0,,,unresolved_no_inclusion_or_exclusion_applied
derived,maharashtra_scheduled_areas_order_1985,f9688f5830373c805bdb4b86f4e9f46abd8fcb5e862b48fa41d23105dab3dadd,8,1985-12-02,Thane,Palghar,6,Akkarpatti,english_scan_visually_transcribed,1,"[{""level"": ""VILLAGE"", ""name"": ""Akkarpatti"", ""subdistrict_code"": ""04163"", ""town_village_code"": ""552193""}]",1,11,Akkarpatti,unresolved_no_inclusion_or_exclusion_applied
derived,maharashtra_scheduled_areas_order_1985,f9688f5830373c805bdb4b86f4e9f46abd8fcb5e862b48fa41d23105dab3dadd,8,1985-12-02,Thane,Palghar,7,Kurgaon,english_scan_visually_transcribed,1,"[{""level"": ""VILLAGE"", ""name"": ""Kurgaon"", ""subdistrict_code"": ""04163"", ""town_village_code"": ""552198""}]",1,16,Kurgaon,unresolved_no_inclusion_or_exclusion_applied
derived,maharashtra_scheduled_areas_order_1985,f9688f5830373c805bdb4b86f4e9f46abd8fcb5e862b48fa41d23105dab3dadd,8,1985-12-02,Thane,Palghar,8,Parnali,english_scan_visually_transcribed,1,"[{""level"": ""VILLAGE"", ""name"": ""Parnali"", ""subdistrict_code"": ""04163"", ""town_village_code"": ""552191""}]",1,9,Parnali,unresolved_no_inclusion_or_exclusion_applied
derived,maharashtra_scheduled_areas_order_1985,f9688f5830373c805bdb4b86f4e9f46abd8fcb5e862b48fa41d23105dab3dadd,8,1985-12-02,Thane,Palghar,9,Vengani,english_scan_visually_transcribed,1,"[{""level"": ""VILLAGE"", ""name"": ""Vengani"", ""subdistrict_code"": ""04163"", ""town_village_code"": ""552197""}]",1,15,Vengani,unresolved_no_inclusion_or_exclusion_applied
derived,maharashtra_scheduled_areas_order_1985,f9688f5830373c805bdb4b86f4e9f46abd8fcb5e862b48fa41d23105dab3dadd,8,1985-12-02,Thane,Palghar,10,Patharwali,english_scan_visually_transcribed,0,[],0,,,unresolved_no_inclusion_or_exclusion_applied
