operator_name,source_row_serial,financial_year,metric,value_as_printed,numeric_value,unit,reported_status,source,source_id,source_sha256,source_page_1_based,model_ready,geography_scope
Maharashtra SRTC,11,2021-22,average_fleet_held,"17,120",17120,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,statewide_not_mmr
Maharashtra SRTC,11,2020-21,average_fleet_held,"17,716",17716,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,statewide_not_mmr
Maharashtra SRTC,11,2019-20,average_fleet_held,"18,292",18292,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,statewide_not_mmr
Maharashtra SRTC,11,2021-22,average_fleet_operated,"6,688",6688,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,statewide_not_mmr
Maharashtra SRTC,11,2020-21,average_fleet_operated,"7,960",7960,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,statewide_not_mmr
Maharashtra SRTC,11,2019-20,average_fleet_operated,"15,764",15764,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,statewide_not_mmr
Maharashtra SRTC,11,2021-22,fleet_utilisation,39.07,39.07,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,statewide_not_mmr
Maharashtra SRTC,11,2020-21,fleet_utilisation,44.93,44.93,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,statewide_not_mmr
Maharashtra SRTC,11,2019-20,fleet_utilisation,86.18,86.18,percent,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,statewide_not_mmr
BEST Undertaking,46,2021-22,average_fleet_held,"3,851",3851,buses_count,reported,operator_reported_in_official_compilation,morth_srtu_review_2019_2022,9a9d5693d36372181d5db95c9f776e2f1d2debc942d6446bc166c5bd8562fd09,110,False,operator_network
