source,source_id,source_sha256,source_pdf_page,source_table,publisher_edition,area_name,geography_level,status,reference_date,age_label,age_partition,persons_thousands_count,male_thousands_count,female_thousands_count,unit_basis
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2011-03-01,0-1,supplementary_overlapping,1921,1008,913,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,0-1,supplementary_overlapping,1756,939,817,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2021-03-01,0-1,supplementary_overlapping,1700,905,795,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2011-03-01,0-4,five_year_or_open,9538,5006,4532,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,0-4,five_year_or_open,8720,4665,4054,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2021-03-01,0-4,five_year_or_open,8444,4498,3946,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2011-03-01,5-9,five_year_or_open,9971,5259,4711,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,5-9,five_year_or_open,9610,5061,4549,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2021-03-01,5-9,five_year_or_open,8802,4726,4076,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2011-03-01,10-14,five_year_or_open,10517,5574,4943,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,10-14,five_year_or_open,10046,5317,4728,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2021-03-01,10-14,five_year_or_open,9693,5124,4569,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2011-03-01,15-19,five_year_or_open,10809,5754,5056,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,15-19,five_year_or_open,10698,5672,5026,printed_table_18_heading
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,234,18,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2021-03-01,15-19,five_year_or_open,10242,5424,4818,printed_table_18_heading
