dataset,indicator_code,indicator,observation_year,region,dimensions_json,reported_count,source,source_id,source_sha256,status
udise,1,Total number of School,2024-25,Maharashtra,{},108250,published_statistic,mospi_udise_2024-25_maharashtra_indicator_1_page_1,da41f0f4046c09ea2f9e57716b5836bf727d6c068e8848158196e1c1aca5627b,state_aggregate_not_local_trip_demand
udise,2,Total number of Enrolments,2024-25,Maharashtra,{},21272611,published_statistic,mospi_udise_2024-25_maharashtra_indicator_2_page_1,1a527a3126973e170e38df2618aacc3887c4e1b8ff4290a7cdc14ead1307d6a1,state_aggregate_not_local_trip_demand
udise,3,Total number of Teachers,2024-25,Maharashtra,{},747501,published_statistic,mospi_udise_2024-25_maharashtra_indicator_3_page_1,8e56763b75c0f0607ac494f24aeea5f111500abcab32341f4905ce78d465b29e,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Total (Pre-Primary to Higher Secondary)"", ""type_of_management"": ""Others""}",38850,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Pre-Primary"", ""type_of_management"": ""Others""}",1683,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Pre-Primary"", ""type_of_management"": ""Others""}",1465,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Pre-Primary"", ""type_of_management"": ""Others""}",3148,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Primary (1-5)"", ""type_of_management"": ""Others""}",15457,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Primary (1-5)"", ""type_of_management"": ""Others""}",13313,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Primary (1-5)"", ""type_of_management"": ""Others""}",28770,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Upper Primary (6-8)"", ""type_of_management"": ""Others""}",3491,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Upper Primary (6-8)"", ""type_of_management"": ""Others""}",2680,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Upper Primary (6-8)"", ""type_of_management"": ""Others""}",6171,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Elementary (1-8)"", ""type_of_management"": ""Others""}",18948,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Elementary (1-8)"", ""type_of_management"": ""Others""}",15993,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Elementary (1-8)"", ""type_of_management"": ""Others""}",34941,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Secondary (9-10)"", ""type_of_management"": ""Others""}",456,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Secondary (9-10)"", ""type_of_management"": ""Others""}",304,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Secondary (9-10)"", ""type_of_management"": ""Others""}",760,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Higher Secondary (11-12)"", ""type_of_management"": ""Others""}",0,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Higher Secondary (11-12)"", ""type_of_management"": ""Others""}",1,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Higher Secondary (11-12)"", ""type_of_management"": ""Others""}",1,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Primary to Higher Secondary (1-12)"", ""type_of_management"": ""Others""}",19404,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Primary to Higher Secondary (1-12)"", ""type_of_management"": ""Others""}",16298,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Primary to Higher Secondary (1-12)"", ""type_of_management"": ""Others""}",35702,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Total (Pre-Primary to Higher Secondary)"", ""type_of_management"": ""Others""}",21087,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Total (Pre-Primary to Higher Secondary)"", ""type_of_management"": ""Others""}",17763,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Total (Pre-Primary to Higher Secondary)"", ""type_of_management"": ""All Management""}",21272611,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Pre-Primary"", ""type_of_management"": ""All Management""}",167295,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Pre-Primary"", ""type_of_management"": ""All Management""}",150041,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Pre-Primary"", ""type_of_management"": ""All Management""}",317336,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Primary (1-5)"", ""type_of_management"": ""All Management""}",4734347,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Primary (1-5)"", ""type_of_management"": ""All Management""}",4385494,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Primary (1-5)"", ""type_of_management"": ""All Management""}",9119841,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Upper Primary (6-8)"", ""type_of_management"": ""All Management""}",2864791,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Upper Primary (6-8)"", ""type_of_management"": ""All Management""}",2579685,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Total"", ""level_of_education"": ""Upper Primary (6-8)"", ""type_of_management"": ""All Management""}",5444476,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Boys"", ""level_of_education"": ""Elementary (1-8)"", ""type_of_management"": ""All Management""}",7599138,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
udise,28,Enrolment of Students,2024-25,Maharashtra,"{""gender"": ""Girls"", ""level_of_education"": ""Elementary (1-8)"", ""type_of_management"": ""All Management""}",6965179,published_statistic,mospi_udise_2024-25_maharashtra_indicator_28_page_1,3bd71e338ea1af819bceeda677b51fd7cb35462666ca6cf1b7647ce15eb973ce,state_aggregate_not_local_trip_demand
