source,source_id,source_sha256,source_pdf_page,source_table,publisher_edition,area_name,geography_level,status,reference_date,residence,persons_thousands_count,male_thousands_count,female_thousands_count
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,52,8,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2011-03-01,Total,112374,58243,54131
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,52,8,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2012-03-01,Total,113645,58924,54721
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,52,8,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2013-03-01,Total,114915,59606,55310
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,52,8,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2014-03-01,Total,116186,60287,55899
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,52,8,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2015-03-01,Total,117456,60968,56488
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,52,8,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2016-03-01,Total,118727,61649,57078
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,52,8,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2017-03-01,Total,119869,62260,57609
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,52,8,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2018-03-01,Total,121011,62870,58140
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,52,8,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2019-03-01,Total,122153,63481,58672
modelled,nhm_population_projection_2019,9a9031c9c75d609e03ab94ce0ac6115cb9d8a9ab82d1b18a47b78e90ae01331b,52,8,November 2019,Maharashtra,state,published_projection_or_smoothed_baseline_not_city_observation,2020-03-01,Total,123295,64091,59203
