region,observation_year,minimum_age_years,activity,residence,sex,activity_scope,denominator,value,unit,source,source_id,source_sha256,statement,pdf_page,status
Maharashtra,2024,6,Employment and related activities,rural,male,major_activity,participation,66.3,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,rural,female,major_activity,participation,35.7,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,rural,person,major_activity,participation,51.3,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,urban,male,major_activity,participation,63.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,urban,female,major_activity,participation,19.1,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,urban,person,major_activity,participation,42.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,rural+urban,male,major_activity,participation,64.9,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,rural+urban,female,major_activity,participation,28.7,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Employment and related activities,rural+urban,person,major_activity,participation,47.3,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,rural,male,major_activity,participation,8.6,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,rural,female,major_activity,participation,17.9,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,rural,person,major_activity,participation,13.1,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,urban,male,major_activity,participation,1.9,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,urban,female,major_activity,participation,13.7,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,urban,person,major_activity,participation,7.6,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,rural+urban,male,major_activity,participation,5.7,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,rural+urban,female,major_activity,participation,16.1,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Production of goods for own final use,rural+urban,person,major_activity,participation,10.7,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,rural,male,major_activity,participation,21.4,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,rural,female,major_activity,participation,85.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,rural,person,major_activity,participation,52.6,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,urban,male,major_activity,participation,19.5,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,urban,female,major_activity,participation,82.0,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,urban,person,major_activity,participation,49.3,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,rural+urban,male,major_activity,participation,20.6,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,rural+urban,female,major_activity,participation,83.8,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid domestic services for household members,rural+urban,person,major_activity,participation,51.2,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid caregiving services for household members,rural,male,major_activity,participation,14.8,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid caregiving services for household members,rural,female,major_activity,participation,27.8,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid caregiving services for household members,rural,person,major_activity,participation,21.1,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid caregiving services for household members,urban,male,major_activity,participation,13.8,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
Maharashtra,2024,6,Unpaid caregiving services for household members,urban,female,major_activity,participation,27.6,percent,published_survey_estimate,tus_2024_report,a4380137658c886985c5312c199dc71a8e95c0b39d7b969396ca2f4c859788c9,3.1,101,state_benchmark_not_local_diary
