source,source_id,source_sha256,publication_year,population_scope,fieldwork_date_status,current_model_parameter_adopted,source_pdf_page,source_printed_page,source_table,railway_line_as_printed,travel_class_as_printed,reported_respondents_persons,reported_share_percent,denominator_respondents_persons,denominator_scope,recomputed_share_percent,reported_minus_recomputed_percentage_points,consistent_with_printed_rounding
observed_historical_survey_publication,mrvc_gender_tiss_study,f3b77e0729ee49dcccdf0edf93834a05e846f788403987c7c8319254104b37f9,2016,sampled_women_suburban_rail_users_not_all_residents_or_all_trips,full_survey_dates_not_established_by_extracted_sections,False,19,15,1,Western Line,All classes,463,46.3,1000,all_sampled_respondents,46.3,0.0,True
observed_historical_survey_publication,mrvc_gender_tiss_study,f3b77e0729ee49dcccdf0edf93834a05e846f788403987c7c8319254104b37f9,2016,sampled_women_suburban_rail_users_not_all_residents_or_all_trips,full_survey_dates_not_established_by_extracted_sections,False,19,15,1,Central Line,All classes,276,27.6,1000,all_sampled_respondents,27.6,0.0,True
observed_historical_survey_publication,mrvc_gender_tiss_study,f3b77e0729ee49dcccdf0edf93834a05e846f788403987c7c8319254104b37f9,2016,sampled_women_suburban_rail_users_not_all_residents_or_all_trips,full_survey_dates_not_established_by_extracted_sections,False,19,15,1,Harbour Line,All classes,261,26.1,1000,all_sampled_respondents,26.1,0.0,True
observed_historical_survey_publication,mrvc_gender_tiss_study,f3b77e0729ee49dcccdf0edf93834a05e846f788403987c7c8319254104b37f9,2016,sampled_women_suburban_rail_users_not_all_residents_or_all_trips,full_survey_dates_not_established_by_extracted_sections,False,19,15,1,Western Line,2nd Class,408,49.51,824,sampled_respondents_in_this_class_across_lines,49.51456310679611650485436893,-0.00456310679611650485436893,True
observed_historical_survey_publication,mrvc_gender_tiss_study,f3b77e0729ee49dcccdf0edf93834a05e846f788403987c7c8319254104b37f9,2016,sampled_women_suburban_rail_users_not_all_residents_or_all_trips,full_survey_dates_not_established_by_extracted_sections,False,19,15,1,Central Line,2nd Class,212,25.73,824,sampled_respondents_in_this_class_across_lines,25.72815533980582524271844660,0.00184466019417475728155340,True
observed_historical_survey_publication,mrvc_gender_tiss_study,f3b77e0729ee49dcccdf0edf93834a05e846f788403987c7c8319254104b37f9,2016,sampled_women_suburban_rail_users_not_all_residents_or_all_trips,full_survey_dates_not_established_by_extracted_sections,False,19,15,1,Harbour Line,2nd Class,204,24.76,824,sampled_respondents_in_this_class_across_lines,24.75728155339805825242718447,0.00271844660194174757281553,True
observed_historical_survey_publication,mrvc_gender_tiss_study,f3b77e0729ee49dcccdf0edf93834a05e846f788403987c7c8319254104b37f9,2016,sampled_women_suburban_rail_users_not_all_residents_or_all_trips,full_survey_dates_not_established_by_extracted_sections,False,19,15,1,Western Line,1st Class,47,29.94,157,sampled_respondents_in_this_class_across_lines,29.93630573248407643312101911,0.00369426751592356687898089,True
observed_historical_survey_publication,mrvc_gender_tiss_study,f3b77e0729ee49dcccdf0edf93834a05e846f788403987c7c8319254104b37f9,2016,sampled_women_suburban_rail_users_not_all_residents_or_all_trips,full_survey_dates_not_established_by_extracted_sections,False,19,15,1,Central Line,1st Class,58,36.94,157,sampled_respondents_in_this_class_across_lines,36.94267515923566878980891720,-0.00267515923566878980891720,True
observed_historical_survey_publication,mrvc_gender_tiss_study,f3b77e0729ee49dcccdf0edf93834a05e846f788403987c7c8319254104b37f9,2016,sampled_women_suburban_rail_users_not_all_residents_or_all_trips,full_survey_dates_not_established_by_extracted_sections,False,19,15,1,Harbour Line,1st Class,52,33.12,157,sampled_respondents_in_this_class_across_lines,33.12101910828025477707006369,-0.00101910828025477707006369,True
observed_historical_survey_publication,mrvc_gender_tiss_study,f3b77e0729ee49dcccdf0edf93834a05e846f788403987c7c8319254104b37f9,2016,sampled_women_suburban_rail_users_not_all_residents_or_all_trips,full_survey_dates_not_established_by_extracted_sections,False,19,15,1,Western Line,Other Class (Disabled and Luggage),8,42.11,19,sampled_respondents_in_this_class_across_lines,42.10526315789473684210526316,0.00473684210526315789473684,True
observed_historical_survey_publication,mrvc_gender_tiss_study,f3b77e0729ee49dcccdf0edf93834a05e846f788403987c7c8319254104b37f9,2016,sampled_women_suburban_rail_users_not_all_residents_or_all_trips,full_survey_dates_not_established_by_extracted_sections,False,19,15,1,Central Line,Other Class (Disabled and Luggage),6,31.59,19,sampled_respondents_in_this_class_across_lines,31.57894736842105263157894737,0.01105263157894736842105263,False
observed_historical_survey_publication,mrvc_gender_tiss_study,f3b77e0729ee49dcccdf0edf93834a05e846f788403987c7c8319254104b37f9,2016,sampled_women_suburban_rail_users_not_all_residents_or_all_trips,full_survey_dates_not_established_by_extracted_sections,False,19,15,1,Harbour Line,Other Class (Disabled and Luggage),5,26.32,19,sampled_respondents_in_this_class_across_lines,26.31578947368421052631578947,0.00421052631578947368421053,True
