source_id,notice_id,listed_date,listed_valid_until,subject,notice_text,attachment_number,attachment_count,attachment_url,index_source_id,index_source_sha256,source,status
mtp_notice_823392,Notification No 202/DCP/CentralHQ/Traff/Temp/2026,16/09/2026,Till Next Order,Traffic arrangement,Traffic arrangement,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823392/202609160000_823392_49.%20BKC%20-%20Tata%20Colony%20rd.%20Nse%20Jnct.%20to%20mithi%20river%20no%20parking%20%26%201%20side%20parking%20notification.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823390,Notification No 200/DCP/East/Traff/Temp/2026,16/09/2026,Till Next Order,No Parking,No Parking,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823390/202609160000_823390_Notification%20No%20200%2C%20Sakinaka%20Div_compressed.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823391,Notification No 201/DCP/East/Traff/Temp/2026,16/09/2026,Till Next Order,Roads closed as required for heavy vehicle traffic an Alternate Route,Roads closed as required for heavy vehicle traffic an Alternate Route,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823391/202609160000_823391_Notification%20No.%20201%2C%20Ghatkopar%20Div.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823358,Notification No 199/DCP/CentHQ/Traff/Temp/2025,09/09/2026,Till Next Order,"Dr B A Road(South Bound), Mahadeo Palav Marg ( Currey Road) Closed. Alteranativ routes, No Parking Roads","Dr B A Road(South Bound), Mahadeo Palav Marg ( Currey Road) Closed. Alteranativ routes, No Parking Roads",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823358/202609090000_823358_LALBAUGCHA%20RAJA%20NOTIFICATION%202026.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823357,Notification No 198/DCP/South/Traffic /Temp/2026,07/09/2026,Till Next Order,Temporary Suspension of Pay & Park Facility,Temporary Suspension of Pay & Park Facility,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823357/202609070000_823357_colaba%20notification.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823324,Notification No 196/DCP/Cental-HQ/Traff/Temp/2026,04/09/2026,Till Next Order,Orders Regarding changes in the traffic system and Alternative Route,Orders Regarding changes in the traffic system and Alternative Route,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823324/202609040000_823324_47.%20Worli%20-%20Privartan%20Dahihandi%20Utsav%202026%20%20%20Notification.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823325,Notification No 197/DCP/Central-HQ/Traff/Temp/2026,04/09/2026,Till Next Order,Orders regarding changes in the traffic system,Orders regarding changes in the traffic system,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823325/202609040000_823325_48.%20Bandra%20-%20Mount%20Mary%20Yatra%202026%20%20%20Notification.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823393,Notification No 195/ADDCP/Traff/Temp/2026,04/09/2026,Till Next Order,The notification regarding the said traffic rules will be implemented on the required route during Ganesh Visarjana as per the requiremen,The notification regarding the said traffic rules will be implemented on the required route during Ganesh Visarjana as per the requiremen,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823393/202609040000_823393_DocScanner%20Sep%204%2C%202026%205-48%20PM%20(1).pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823394,Notification No 194/DCP/East/Traff/Temp/2026,02/09/2026,Till Next Order,"Road Closed, Alternate Route","Road Closed, Alternate Route",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823394/202609020000_823394_Notification%20No.%20194%2C%20Vikroli%20Div%20(1)_1.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823293,Notification No 193/DCP/West/Traffic/Temp/2026,01/09/2026,Till Next Order,"No Parking Zone, No Entry Restrictions, One Way Restriction","No Parking Zone, No Entry Restrictions, One Way Restriction",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823293/202609010000_823293_DocScanner%201%20Sept%202026%205-30%C3%A2%C2%80%C2%AFpm.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823292,Notification No 192/DCP/South/Traffic/Temp/2026,01/09/2026,Till Next Order,"Road Closed, No Entry, Diverted Route","Road Closed, No Entry, Diverted Route",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823292/202609010000_823292_KALA%20GHODA%20NOTIFICATION.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823291,Notification No 191/DCP/CentHQ/Traff/Temp/2026,31/08/2026,Till Next Order,Regarding changes in the traffic system,Regarding changes in the traffic system,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823291/202608310000_823291_46.%20Bandra%20-%20Jarimari%20rd.%20closed%20for%20dahihandi%20notification.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823258,Notification No 190/DCP/South/Traffic/Temp/2026,29/08/2026,Till Next Order,"Excavation Route, Alternative Routes","Excavation Route, Alternative Routes For transportation",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823258/202608290000_823258_Y%20Bridge.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823225,Notification No 188/DCP/East/Traff/Temp/2026,25/08/2026,Till Next Order,Road Close and Traffic Diversion,Road Close and Traffic Diversion,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823225/202608250000_823225_Notification%20No%20188%2C%20Ghatkopar%20Div_1.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823226,Notification No 189/DCP/East/Traffic/Temp/2026,25/08/2026,Till Next Order,Raod Close and Alternate Route,Raod Close and Alternate Route,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823226/202608250000_823226_Notification%20No%20189%2C%20Ghatkopar%20Div_1.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823227,Notification No 187/ADD-CP/Traffic/Permanent/2026,25/08/2026,Till Next Order,"Restrictions apply on Dharmveer Swarajya Rakshak Chhatrpati Sambhaji Maharaj Mumabai costal Road and Rajiv Gandhi Sea Link regarding Entry and Exit Points, vehicles restricted from entry, speed limits, and restrictions on stopping or filming.","Restrictions apply on Dharmveer Swarajya Rakshak Chhatrpati Sambhaji Maharaj Mumabai costal Road and Rajiv Gandhi Sea Link regarding Entry and Exit Points, vehicles restricted from entry, speed limits, and restrictions on stopping or filming.",1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823227/202608250000_823227_Costal%20Road%20%20permanent%20Notification%20-187_1.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823192,Notification No 186/DCP/West/Traff/Temp/2026,22/08/2026,Till Next Order,No Entry/Road Closure,No Entry/Road Closure,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823192/202608220000_823192_DocScanner%2022%20Aug%202026%202-23%C3%A2%C2%80%C2%AFpm_1.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823159,Notification No 185/DCP/South/Traff/Temp/2026,20/08/2026,Till Next Order,Routes shall be Closed on 26/08/2026,Routes shall be Closed on 26/08/2026,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823159/202608200000_823159_Eid%20E%20Milad%20Notification_1.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823127,Notification No 184/DCP/East/Traff/Temp/2026,19/08/2026,Till Next Order,Road Closed of heavy vehicles,Road Closed of heavy vehicles,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823127/202608190000_823127_Notification%20No.%20184%2C%20Mankhurd%20Division_2.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823126,Notification No 183/DCP/East/Traff/Temp/2026,19/08/2026,Till Next Order,No Parking,No Parking,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823126/202608190000_823126_Notification%20No.%20183%2C%20Sakinaka%20Division_1.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823094,Notification No 181/DCP/CentHQ/Traff/Temp/2026,17/08/2026,Till Next Order,Traffic Arrangement,Traffic Arrangement,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823094/202608170000_823094_44.%20BANDRA%20-%20Rangsharda%20hotel%20lane%20no%20Parking%20Notifiacation.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823095,Notification No 182/DCP/CentHQ/Traff/Temp/2026,17/08/2026,Till Next Order,Traffic Arrangement,Traffic Arrangement,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823095/202608170000_823095_45.%20BKC%20-%20walmiki%20ngr%20to%20vakola%20bridge%20heavy%20vehicle%20no%20entry%20notification.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823093,Notification No 179/DCP/CentHQ/Traff/Temp/2026,14/08/2026,Till Next Order,Traffic Arragement,Traffic Arragement,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823093/202608140000_823093_43.%20Bandra%20trf.%20div.%20-%20sent%20andruz%20road%20odd%20even%20Parking%20Notification.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
mtp_notice_823060,Notification No 180/DCP/West/Traff/Temp/2026,14/08/2026,Till Next Order,Odd-Even Parking System,Odd-Even Parking System,1,1,https://mtperp.mahatrafficechallan.gov.in/GetPublicNotice/823060/202608140000_823060_TEMPORARY%20NOTIFICATION%2C%20DCP%20WEST%20TRAFFIC_1.pdf,mtp_notifications_20260101_20260918,6de6022c14fc939a6ae0396367758be3e723d2ec484a6bfeedacda3907c7891d,official_notice_listing,effective_scope_and_supersession_unresolved
