publication_route_id,port_group,route_name,financial_year,reported_passengers_count,reported_count_raw,parse_status,source,source_id,source_url,source_sha256,count_definition,geography_status,calibration_eligible
1,Bandra,Versova to Madh,2022-23,8099632,"80,99,632",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
1,Bandra,Versova to Madh,2023-24,8137343,"81,37,343",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
1,Bandra,Versova to Madh,2024-25,8304336,"83,04,336",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
2,Bandra,Marve to Manori,2022-23,1114737,"11,14,737",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
2,Bandra,Marve to Manori,2023-24,1064269,"10,64,269",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
2,Bandra,Marve to Manori,2024-25,1070138,"10,70,138",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
3,Bandra,Gorai to Borivli,2022-23,1948748,"19,48,748",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
3,Bandra,Gorai to Borivli,2023-24,2095709,"20,95,709",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
3,Bandra,Gorai to Borivli,2024-25,2522231,"25,22,231",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
4,Bandra,Borivli to Esselworld,2022-23,1049326,"10,49,326",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
4,Bandra,Borivli to Esselworld,2023-24,1162262,"11,62,262",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
4,Bandra,Borivli to Esselworld,2024-25,891489,"8,91,489",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
5,Bandra,Marve to Esselworld,2022-23,1049326,"10,49,326",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
5,Bandra,Marve to Esselworld,2023-24,1162262,"11,62,262",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
5,Bandra,Marve to Esselworld,2024-25,891489,"8,91,489",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
6,Bandra,Arnala to Arnala Killa,2022-23,64153,"64,153",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
6,Bandra,Arnala to Arnala Killa,2023-24,74917,"74,917",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
6,Bandra,Arnala to Arnala Killa,2024-25,60358,"60,358",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
7,Mora,New Ferry Wharf to Mora,2022-23,425978,"4,25,978",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
7,Mora,New Ferry Wharf to Mora,2023-24,344824,"3,44,824",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
7,Mora,New Ferry Wharf to Mora,2024-25,201922,"2,01,922",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
8,Mora,New Ferry Wharf to Rewas,2022-23,86453,"86,453",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
8,Mora,New Ferry Wharf to Rewas,2023-24,76953,"76,953",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
8,Mora,New Ferry Wharf to Rewas,2024-25,60785,"60,785",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
9,Mora,Gateway to Elephanta,2022-23,1074360,"10,74,360",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
9,Mora,Gateway to Elephanta,2023-24,849483,"8,49,483",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
9,Mora,Gateway to Elephanta,2024-25,767014,"7,67,014",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
10,Mora,Gateway to Mandwa,2022-23,1353185,"13,53,185",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
10,Mora,Gateway to Mandwa,2023-24,1499167,"14,99,167",numeric,reported_observation,mmb_performance,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/performance-statistics,1182f554877f9af09f70e2bc43cdbfd01dab483cf26823856a6be7c403fdc948,Published passenger total; journey/boarding/direction definition unverified,Statewide source; MMR membership not yet resolved,false
