directory_route_id,port_group,route_name,first_departure_raw,last_departure_raw,fare_raw,passenger_capacity_raw,source,source_id,source_url,source_sha256,validation_status
1,Bandra,Versova to Madh,05.30 AM,12.00 AM,"Rs 10/-, Rs 5/-",37 (fair season),published_service_directory,mmb_routes,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/route-service-info/pwt-routes,1e7db7900997fb74e1b435c7adde0c7a2f069fdc7e3f823f563c3e878dbb83d4,"Units, season, vessel/fleet basis and base-date service unverified"
2,Bandra,Madh to Versova,05.00 AM,01.00 PM,"Rs 10/-, Rs 5/-",60–70 (fair season),published_service_directory,mmb_routes,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/route-service-info/pwt-routes,1e7db7900997fb74e1b435c7adde0c7a2f069fdc7e3f823f563c3e878dbb83d4,"Units, season, vessel/fleet basis and base-date service unverified"
3,Bandra,Marve to Manori,05.10 AM,12.10 AM,"Rs 15/- Passenger, Child Rs 5/-",Fair 313 / Foul 201,published_service_directory,mmb_routes,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/route-service-info/pwt-routes,1e7db7900997fb74e1b435c7adde0c7a2f069fdc7e3f823f563c3e878dbb83d4,"Units, season, vessel/fleet basis and base-date service unverified"
4,Bandra,Gorai to Borivali,05.00 AM,12.00 AM,"Rs 15/- Passenger, Child Rs 5/-",Fair 290 / Foul 186,published_service_directory,mmb_routes,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/route-service-info/pwt-routes,1e7db7900997fb74e1b435c7adde0c7a2f069fdc7e3f823f563c3e878dbb83d4,"Units, season, vessel/fleet basis and base-date service unverified"
5,Bandra,Borivali to Esselworld,07.40 AM,08.30 PM,Rs 100/-,Fair 423,published_service_directory,mmb_routes,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/route-service-info/pwt-routes,1e7db7900997fb74e1b435c7adde0c7a2f069fdc7e3f823f563c3e878dbb83d4,"Units, season, vessel/fleet basis and base-date service unverified"
6,Bandra,Marve to Esselworld,07.40 AM,08.30 PM,Rs 100/-,-,published_service_directory,mmb_routes,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/route-service-info/pwt-routes,1e7db7900997fb74e1b435c7adde0c7a2f069fdc7e3f823f563c3e878dbb83d4,"Units, season, vessel/fleet basis and base-date service unverified"
7,Bandra,Arnala to Arnala Killa,06.00 AM,08.00 PM,Rs 10/-,10,published_service_directory,mmb_routes,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/route-service-info/pwt-routes,1e7db7900997fb74e1b435c7adde0c7a2f069fdc7e3f823f563c3e878dbb83d4,"Units, season, vessel/fleet basis and base-date service unverified"
8,Mora,New Ferry Wharf to Mora,06:30 HRS,19:15 HRS,(Fair season) Adult - 80/- (Foul season) Adult - 105/-,1635,published_service_directory,mmb_routes,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/route-service-info/pwt-routes,1e7db7900997fb74e1b435c7adde0c7a2f069fdc7e3f823f563c3e878dbb83d4,"Units, season, vessel/fleet basis and base-date service unverified"
9,Mora,New Ferry Wharf to Rewas,06:00 HRS,20:00 HRS,Adult - 100/-,,published_service_directory,mmb_routes,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/route-service-info/pwt-routes,1e7db7900997fb74e1b435c7adde0c7a2f069fdc7e3f823f563c3e878dbb83d4,"Units, season, vessel/fleet basis and base-date service unverified"
10,Mora,Gateway to Elephanta,08:30 HRS,15:30 HRS,"Economy - 185/- (Return) | Deluxe - 290/-, Child - 195/- (Return)",Min. 40 Max. 80,published_service_directory,mmb_routes,https://maharashtramaritimeboard.com/api/v1/passenger-water-transport/route-service-info/pwt-routes,1e7db7900997fb74e1b435c7adde0c7a2f069fdc7e3f823f563c3e878dbb83d4,"Units, season, vessel/fleet basis and base-date service unverified"
