pattern_id,timetable_services,osm_route_relation_id,status,assignment_count,station_keys_json,candidate_route_node_positions_json,viable_route_node_positions_json,missing_station_keys_json,schedule_export_eligible
05e91588bca4edf87f007c0968df634fafd0206a6897c48707df144b78cb063f,1,8130328,unique_ordered_boarding_assignment,1,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]","[[0],[44],[62],[74],[97],[109],[123],[154],[197],[217],[247],[271],[280]]","[[0],[44],[62],[74],[97],[109],[123],[154],[197],[217],[247],[271],[280]]",[],False
05e91588bca4edf87f007c0968df634fafd0206a6897c48707df144b78cb063f,1,8414240,boarding_nodes_absent_from_chain,0,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]","[[],[],[],[],[],[],[],[],[],[],[],[],[]]","[[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]",False
05e91588bca4edf87f007c0968df634fafd0206a6897c48707df144b78cb063f,1,8418422,boarding_nodes_absent_from_chain,0,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]","[[],[],[],[],[],[],[],[],[],[],[],[],[]]","[[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]",False
05e91588bca4edf87f007c0968df634fafd0206a6897c48707df144b78cb063f,1,9622461,boarding_order_conflict,0,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]","[[620],[587],[569],[555],[534],[523],[510],[476],[430],[414],[383],[363],[352]]","[[],[],[],[],[],[],[],[],[],[],[],[],[]]",[],False
05e91588bca4edf87f007c0968df634fafd0206a6897c48707df144b78cb063f,1,9623798,boarding_nodes_absent_from_chain,0,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]","[[0],[44],[62],[74],[97],[109],[123],[153],[],[],[],[],[]]","[[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]",False
05e91588bca4edf87f007c0968df634fafd0206a6897c48707df144b78cb063f,1,9953729,boarding_nodes_absent_from_chain,0,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]","[[406],[],[],[],[],[],[],[],[],[],[257],[],[]]","[[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]",False
05e91588bca4edf87f007c0968df634fafd0206a6897c48707df144b78cb063f,1,9953730,boarding_nodes_absent_from_chain,0,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]","[[0],[],[],[],[],[],[],[],[],[],[148],[],[]]","[[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]",False
05e91588bca4edf87f007c0968df634fafd0206a6897c48707df144b78cb063f,1,11093105,boarding_nodes_absent_from_chain,0,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]","[[334],[301],[283],[269],[248],[237],[224],[192],[],[],[],[],[]]","[[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]",False
05e91588bca4edf87f007c0968df634fafd0206a6897c48707df144b78cb063f,1,11094508,boarding_nodes_absent_from_chain,0,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]","[[],[],[],[],[],[],[],[],[],[],[],[],[]]","[[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]",False
05e91588bca4edf87f007c0968df634fafd0206a6897c48707df144b78cb063f,1,11094509,boarding_nodes_absent_from_chain,0,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]","[[],[],[],[],[],[],[],[],[],[],[],[],[]]","[[],[],[],[],[],[],[],[],[],[],[],[],[]]","[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]",False
