source,candidate_id,pattern_id,timetable_services,osm_route_relation_id,station_keys_json,boarding_node_ids_json,route_node_positions_json,leg_lengths_geodesic_m_json,length_geodesic_m,segment_traversals,listed_stop_order_agrees,assigned_nodes_not_listed_in_relation_json,mapped_stops_without_timetable_candidate_json,direction_status_counts_json,against_preferred_direction_segments,status,schedule_export_eligible
derived_boarding_assignment_on_fixed_mapped_chain,cb0fd2aa6fdb62a122fa01df45977dad8b41e1df67a789fac89c474a160e1462,05e91588bca4edf87f007c0968df634fafd0206a6897c48707df144b78cb063f,1,8130328,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur""]","[316306549,621906366,2178163626,5389227991,7510862063,5389227965,5389227951,7510862066,7818093994,7818099446,1367093212,7818024713,651265045]","[0,44,62,74,97,109,123,154,197,217,247,271,280]","[1348.3874797779235,1022.4724225672285,797.8804449153582,1236.320958631916,1041.037560035448,1840.9591389601585,2040.5527999768253,2605.7384945038625,1690.529608859138,1877.6817294837012,1290.93978617589,1199.93276454304]",17992.43318843049,280,False,[],[],"{""explicit_oneway"":213,""missing_direction_unresolved"":60,""nonstatic_or_unknown_direction_unresolved"":7}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,4feb35bb9a1a84eb917b5422b83b75336153885dbcc9bae23b97516e724e0e64,09d1be51dc2b65b61b53fb2419a4d250ef3c14eb265f9f405a34bc4aed307e9a,1,9622461,"[""CR_HB_LABEL:chembur"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:mumbai csmt""]","[1367093081,6171366460,1367093210,7818099445,7818093995,7510862064,619290284,4264980597,7510862062,619290482,2178163625,2176850501,2166817452]","[352,363,383,414,430,476,510,523,534,555,569,587,620]","[1237.8126320750155,1247.7361695583327,1871.7102923039242,1693.960324244551,2617.689100482345,2037.9547147065268,1841.9341437006112,1039.5129988450374,1238.7956285432983,797.1631056792348,1020.3454118247835,1344.549352620056]",17989.163874583715,268,True,[],[],"{""explicit_oneway"":209,""missing_direction_unresolved"":59}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,b733ffb4ea02078feb6e00eb715de266879892d18c4b6c93eb377f6aa22d8f9f,0fc170e71b93b36996d82eadcbafdc00dd0d3e0618189736fc63341ec112a5cf,60,8414240,"[""CR_THB_CODE:TNA"",""CR_THB_CODE:DIGH"",""CR_THB_CODE:AIRL"",""CR_THB_CODE:RABE"",""CR_THB_CODE:GNSL"",""CR_THB_CODE:KPHN"",""CR_THB_CODE:TUH"",""CR_THB_CODE:SNPD"",""CR_THB_CODE:VSH""]","[1647133382,13032197037,7818210885,7818144558,7818209607,7818118169,7818206408,1990672673,4822210993]","[1,47,73,101,124,139,170,216,228]","[3245.5000107506544,2625.47844689509,2451.7174478012753,2333.446831831814,1522.8327570702074,3174.234684746676,2024.5209207914024,1161.7645882607108]",18539.495688147832,227,True,[],[],"{""missing_direction_unresolved"":227}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,eb88ea10c3e69db02e2c2e2c23590af7a5e7bafecce05634c5fb335bb05feef5,180c40af9af92646aa3fb71cbb6c98457a41dec550c8177c080cefb30dcdb2a3,99,9622461,"[""CR_THB_CODE:PNVL"",""CR_THB_CODE:KNDS"",""CR_THB_CODE:MANR"",""CR_THB_CODE:KHAG"",""CR_THB_CODE:BEPR"",""CR_THB_CODE:SWDV"",""CR_THB_CODE:NEU"",""CR_HB_LABEL:juinagar"",""CR_HB_LABEL:sanpada"",""CR_HB_LABEL:vashi"",""CR_HB_LABEL:mankhurd"",""CR_HB_LABEL:govandi"",""CR_HB_LABEL:chembur"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:mumbai csmt""]","[7510862054,7818098638,7818067424,7818064488,7818124494,7818030805,7818050098,7817978923,4822210969,4819972201,1366794765,3878560519,1367093081,6171366460,1367093210,7818099445,7818093995,7510862064,619290284,4264980597,7510862062,619290482,2178163625,2176850501,2166817452]","[0,39,58,89,122,159,190,220,252,264,314,342,352,363,383,414,430,476,510,523,534,555,569,587,620]","[3423.359446536127,1906.4326480439781,2883.2709737845626,2340.5815671920627,2387.312333983669,1421.6142339978765,2479.728364314222,1862.8041087982276,1153.2327473506787,7466.497211714411,1911.707650082003,1745.3322778378265,1237.8126320750155,1247.7361695583327,1871.7102923039242,1693.960324244551,2617.689100482345,2037.9547147065268,1841.9341437006112,1039.5129988450374,1238.7956285432983,797.1631056792348,1020.3454118247835,1344.549352620056]",48971.03743821936,620,True,[],[],"{""explicit_oneway"":505,""missing_direction_unresolved"":102,""nonstatic_or_unknown_direction_unresolved"":13}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,ebcccae2856273db827072788d1862f4f7474dec8d6afbcc187ce7fc8cbfc9b7,1e882f814a854be1e1d8a82277a05c0403326965c891314153f605a1e0cae85b,26,8130328,"[""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur"",""CR_HB_LABEL:govandi"",""CR_HB_LABEL:mankhurd"",""CR_HB_LABEL:vashi"",""CR_HB_LABEL:sanpada"",""CR_HB_LABEL:juinagar"",""CR_THB_CODE:NEU"",""CR_THB_CODE:SWDV"",""CR_THB_CODE:BEPR"",""CR_THB_CODE:KHAG"",""CR_THB_CODE:MANR"",""CR_THB_CODE:KNDS"",""CR_THB_CODE:PNVL""]","[7510862066,7818093994,7818099446,1367093212,7818024713,651265045,1366986900,246631903,241160689,7818022403,7817978922,7818050099,7818030804,7818124497,7818064487,7818067423,7818098639,7510862053]","[154,197,217,247,271,280,293,312,371,384,417,445,473,507,538,569,582,618]","[2605.7384945038625,1690.529608859138,1877.6817294837012,1290.93978617589,1199.93276454304,1740.4244757996748,1911.5403900849337,7468.272879326191,1156.541649985936,1871.9368626399173,2479.5877516709998,1410.9908134425848,2371.8450442746694,2342.6901553581383,2893.1297307572745,1900.967399389504,3423.713685919162]",39636.46322221462,464,False,[],[],"{""explicit_oneway"":383,""missing_direction_unresolved"":46,""nonstatic_or_unknown_direction_unresolved"":35}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,bbb98b24402a205da9366f1d46751618ead3533d8b93f75cf4a370153a62fb51,3f9f069f061e81ec9a9eefbce77d0de3283c79bbf368223ecfe71efea6f224c6,36,8130328,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur"",""CR_HB_LABEL:govandi"",""CR_HB_LABEL:mankhurd"",""CR_HB_LABEL:vashi""]","[316306549,621906366,2178163626,5389227991,7510862063,5389227965,5389227951,7510862066,7818093994,7818099446,1367093212,7818024713,651265045,1366986900,246631903,241160689]","[0,44,62,74,97,109,123,154,197,217,247,271,280,293,312,371]","[1348.3874797779235,1022.4724225672285,797.8804449153582,1236.320958631916,1041.037560035448,1840.9591389601585,2040.5527999768253,2605.7384945038625,1690.529608859138,1877.6817294837012,1290.93978617589,1199.93276454304,1740.4244757996748,1911.5403900849337,7468.272879326191]",29112.67093364129,371,False,[],[],"{""explicit_oneway"":296,""missing_direction_unresolved"":60,""nonstatic_or_unknown_direction_unresolved"":15}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,e355cb173d4357a40adfd5650a575b47c58a68d3838b6f29a3934e99563f422d,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,47,11093105,"[""CR_HB_LABEL:goregaon"",""CR_HB_LABEL:ramnagar"",""CR_HB_LABEL:jogeshwari"",""CR_HB_LABEL:andheri"",""CR_HB_LABEL:vileparle"",""CR_HB_LABEL:santacruz"",""CR_HB_LABEL:khar road"",""CR_HB_LABEL:bandra"",""CR_HB_LABEL:mahim jn"",""CR_HB_LABEL:king's circle"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:mumbai csmt""]","[7817951294,7817991346,10879528557,7510862071,3347771408,7510862080,7510862789,1233481362,619252274,2444154310,7510862065,619290284,4264980597,7510862062,619290482,2178163625,2176850501,2166817452]","[0,11,22,34,50,59,77,108,130,155,192,224,237,248,269,283,301,334]","[1494.4708580620475,1136.4716535606271,2434.656242799997,2157.667272928316,1794.5842155893602,1655.1183857229535,1610.3115400186641,1682.1658501994418,1542.441989298598,1968.3507347764007,2037.9644353676197,1841.9341437006112,1039.5129988450374,1238.7956285432983,797.1631056792348,1020.3454118247835,1344.549352620056]",26796.503819537047,334,True,[],[],"{""explicit_oneway"":78,""missing_direction_unresolved"":256}",31,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,1269d10e0f84e7585760707839c5d7cdab5c8b36bf817aea183693b74d2819b8,470eb44d58502252177f712d35761f05b9388d67ef4f9e830f28f84748886729,5,9622461,"[""CR_THB_CODE:BEPR"",""CR_THB_CODE:SWDV"",""CR_THB_CODE:NEU"",""CR_HB_LABEL:juinagar"",""CR_HB_LABEL:sanpada"",""CR_HB_LABEL:vashi"",""CR_HB_LABEL:mankhurd"",""CR_HB_LABEL:govandi"",""CR_HB_LABEL:chembur"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:vadala road""]","[7818124494,7818030805,7818050098,7817978923,4822210969,4819972201,1366794765,3878560519,1367093081,6171366460,1367093210,7818099445,7818093995,7510862064]","[122,159,190,220,252,264,314,342,352,363,383,414,430,476]","[2387.312333983669,1421.6142339978765,2479.728364314222,1862.8041087982276,1153.2327473506787,7466.497211714411,1911.707650082003,1745.3322778378265,1237.8126320750155,1247.7361695583327,1871.7102923039242,1693.960324244551,2617.689100482345]",29097.137446743083,354,True,[],[],"{""explicit_oneway"":351,""nonstatic_or_unknown_direction_unresolved"":3}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,5771464112dbc86b5b0b84d5d6d7ce0e8570a96383e37ef91797f64ecd274457,518d2f4e6e938b4680d469903e652c951b6e892fb47cece8baf5c5430fc72920,30,8130328,"[""CR_HB_LABEL:mumbai csmt"",""CR_HB_LABEL:masjid"",""CR_HB_LABEL:sandhurst road"",""CR_HB_LABEL:dockyard road"",""CR_HB_LABEL:reay road"",""CR_HB_LABEL:cotton green"",""CR_HB_LABEL:sewri"",""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur"",""CR_HB_LABEL:govandi"",""CR_HB_LABEL:mankhurd"",""CR_HB_LABEL:vashi"",""CR_HB_LABEL:sanpada"",""CR_HB_LABEL:juinagar"",""CR_THB_CODE:NEU"",""CR_THB_CODE:SWDV"",""CR_THB_CODE:BEPR""]","[316306549,621906366,2178163626,5389227991,7510862063,5389227965,5389227951,7510862066,7818093994,7818099446,1367093212,7818024713,651265045,1366986900,246631903,241160689,7818022403,7817978922,7818050099,7818030804,7818124497]","[0,44,62,74,97,109,123,154,197,217,247,271,280,293,312,371,384,417,445,473,507]","[1348.3874797779235,1022.4724225672285,797.8804449153582,1236.320958631916,1041.037560035448,1840.9591389601585,2040.5527999768253,2605.7384945038625,1690.529608859138,1877.6817294837012,1290.93978617589,1199.93276454304,1740.4244757996748,1911.5403900849337,7468.272879326191,1156.541649985936,1871.9368626399173,2479.5877516709998,1410.9908134425848,2371.8450442746694]",38403.5730556554,507,False,[],[],"{""explicit_oneway"":418,""missing_direction_unresolved"":60,""nonstatic_or_unknown_direction_unresolved"":29}",0,mapped_track_candidate_operating_assignment_unverified,False
derived_boarding_assignment_on_fixed_mapped_chain,4b8bc357740a9c8cce3a8c121bb407bf115c990269d8ea924e154042d60c3c83,60cc93038aa56f068d7bc5fa9ff953b4a5c2677bac6f738c4d5bb7fc5e3eb32e,7,8130328,"[""CR_HB_LABEL:vadala road"",""CR_HB_LABEL:gtb nagar"",""CR_HB_LABEL:chunabhatti"",""CR_HB_LABEL:kurla"",""CR_HB_LABEL:tilaknagar"",""CR_HB_LABEL:chembur"",""CR_HB_LABEL:govandi"",""CR_HB_LABEL:mankhurd"",""CR_HB_LABEL:vashi"",""CR_HB_LABEL:sanpada"",""CR_HB_LABEL:juinagar"",""CR_THB_CODE:NEU"",""CR_THB_CODE:SWDV"",""CR_THB_CODE:BEPR""]","[7510862066,7818093994,7818099446,1367093212,7818024713,651265045,1366986900,246631903,241160689,7818022403,7817978922,7818050099,7818030804,7818124497]","[154,197,217,247,271,280,293,312,371,384,417,445,473,507]","[2605.7384945038625,1690.529608859138,1877.6817294837012,1290.93978617589,1199.93276454304,1740.4244757996748,1911.5403900849337,7468.272879326191,1156.541649985936,1871.9368626399173,2479.5877516709998,1410.9908134425848,2371.8450442746694]",29075.96225079054,353,False,[],[],"{""explicit_oneway"":328,""nonstatic_or_unknown_direction_unresolved"":25}",0,mapped_track_candidate_operating_assignment_unverified,False
