train_number,pattern_id,constrained_candidate_ids_json,candidate_count,status,timetable_coverage_status,timetable_applicability,calendar_status,schedule_export_eligible
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,"[""e355cb173d4357a40adfd5650a575b47c58a68d3838b6f29a3934e99563f422d""]",1,fixed_mapped_track_candidates,published_table_coverage_not_geographic_validation,mixed_2024_and_2026_vintages_reconcile_amendments,not_assembled,False
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,"[""65e09a8ad9758a099f422d6f3419faadc5eb0b3da718b70e3b90d29c5560eb07""]",1,fixed_mapped_track_candidates,published_table_coverage_not_geographic_validation,mixed_2024_and_2026_vintages_reconcile_amendments,not_assembled,False
91394,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,"[""e355cb173d4357a40adfd5650a575b47c58a68d3838b6f29a3934e99563f422d""]",1,fixed_mapped_track_candidates,published_table_coverage_not_geographic_validation,mixed_2024_and_2026_vintages_reconcile_amendments,not_assembled,False
91395,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,"[""65e09a8ad9758a099f422d6f3419faadc5eb0b3da718b70e3b90d29c5560eb07""]",1,fixed_mapped_track_candidates,published_table_coverage_not_geographic_validation,mixed_2024_and_2026_vintages_reconcile_amendments,not_assembled,False
91396,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,"[""e355cb173d4357a40adfd5650a575b47c58a68d3838b6f29a3934e99563f422d""]",1,fixed_mapped_track_candidates,published_table_coverage_not_geographic_validation,mixed_2024_and_2026_vintages_reconcile_amendments,not_assembled,False
91491,2f7d94adc2a8901d0ea7f7789c7f85c1f890fa4ae9653876b7486c54f16a9d75,[],0,no_complete_single_mapped_chain_assignment,external_branch_incomplete,mixed_2024_and_2026_vintages_reconcile_amendments,not_assembled,False
98001,6a03f1a8ea6c9e88b5a4566aebc9983dcbd4c6ed20e35d3ed201b497de4cf473,"[""61fa7ba764acfe315c829453922ca11b42f479a67bd2707269e9f1316a02adfa""]",1,fixed_mapped_track_candidates,published_table_coverage_not_geographic_validation,mixed_2024_and_2026_vintages_reconcile_amendments,not_assembled,False
98002,180c40af9af92646aa3fb71cbb6c98457a41dec550c8177c080cefb30dcdb2a3,"[""eb88ea10c3e69db02e2c2e2c23590af7a5e7bafecce05634c5fb335bb05feef5""]",1,fixed_mapped_track_candidates,published_table_coverage_not_geographic_validation,mixed_2024_and_2026_vintages_reconcile_amendments,not_assembled,False
98003,6a03f1a8ea6c9e88b5a4566aebc9983dcbd4c6ed20e35d3ed201b497de4cf473,"[""61fa7ba764acfe315c829453922ca11b42f479a67bd2707269e9f1316a02adfa""]",1,fixed_mapped_track_candidates,published_table_coverage_not_geographic_validation,mixed_2024_and_2026_vintages_reconcile_amendments,not_assembled,False
98004,180c40af9af92646aa3fb71cbb6c98457a41dec550c8177c080cefb30dcdb2a3,"[""eb88ea10c3e69db02e2c2e2c23590af7a5e7bafecce05634c5fb335bb05feef5""]",1,fixed_mapped_track_candidates,published_table_coverage_not_geographic_validation,mixed_2024_and_2026_vintages_reconcile_amendments,not_assembled,False
