osm_route_relation_id,route_stop_sequence,source_member_order,source_member_role,osm_node_id,station_keys_json,native_node_tags_json,route_node_index_zero_based,chain_status
8130328,1,3,stop_entry_only,316306549,"[""CR_HB_LABEL:mumbai csmt""]","{""level"":""0"",""loc_name"":""Mumbai Chhatrapati Shivaji Terminus (Suburban)"",""loc_name:en"":""Mumbai Chhatrapati Shivaji Terminus (Suburban)"",""loc_name:mr"":""मुंबई छत्रपती शिवाजी टर्मिनस (उपनगरी)"",""name"":""Mumbai CSMT (Suburban)"",""name:en"":""Mumbai CSMT (Suburban)"",""name:mr"":""मुंबई सीएसएमटी (उपनगरी)"",""official_name"":""Mumbai Chhatrapati Shivaji Maharaj Terminus (Suburban)"",""official_name:en"":""Mumbai Chhatrapati Shivaji Maharaj Terminus (Suburban)"",""official_name:mr"":""मुंबई छत्रपती शिवाजी महाराज टर्मिनस (उपनगरी)"",""old_name"":""Victoria Terminus (Suburban)"",""old_name:en"":""Victoria Terminus (Suburban)"",""old_name:mr"":""व्हिक्टोरिया टर्मिनस (उपनगरी)"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""short_name"":""CSMT;CST;VT"",""short_name:en"":""CSMT;CST;VT"",""short_name:hi"":""सीएसएमटी;सीएसटी;व्हीटी"",""short_name:mr"":""सीएसएमटी;सीएसटी;व्हीटी"",""source"":""Esri World imagery (2024-09-14)"",""tactile_paving"":""yes"",""train"":""yes""}",0,present_in_order
8130328,2,5,stop,621906366,"[""CR_HB_LABEL:masjid""]","{""alt_name"":""Masjid Bunder"",""alt_name:en"":""Masjid Bunder"",""alt_name:hi"":""मस्जिद बंदर;मशीद बंदर"",""alt_name:mr"":""मस्जिद बंदर"",""name"":""Masjid"",""name:en"":""Masjid"",""name:hi"":""मस्जिद"",""name:mr"":""मस्जिद"",""official_name:hi"":""मशीद"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",44,present_in_order
8130328,3,7,stop,2178163626,"[""CR_HB_LABEL:sandhurst road""]","{""name"":""Sandhurst Road"",""name:en"":""Sandhurst Road"",""name:hi"":""सैंडहर्स्ट रोड"",""name:ml"":""സാൻഡ്ഹർസ്റ്റ് റോഡ്"",""name:mr"":""सँडहर्स्ट रोड"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""3"",""train"":""yes""}",62,present_in_order
8130328,4,9,stop,5389227991,"[""CR_HB_LABEL:dockyard road""]","{""name"":""Dockyard Road"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",74,present_in_order
8130328,5,11,stop,7510862063,"[""CR_HB_LABEL:reay road""]","{""name"":""Reay Road"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",97,present_in_order
8130328,6,13,stop,5389227965,"[""CR_HB_LABEL:cotton green""]","{""name"":""Cotton Green"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",109,present_in_order
8130328,7,15,stop,5389227951,"[""CR_HB_LABEL:sewri""]","{""name"":""Sewri"",""name:hi"":""शिवड़ी"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",123,present_in_order
8130328,8,17,stop,7510862066,"[""CR_HB_LABEL:vadala road""]","{""alt_name"":""Wadala Road"",""alt_name:en"":""Wadala Road"",""name"":""Vadala Road"",""name:en"":""Vadala Road"",""name:hi"":""वडाला रोड"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""2"",""train"":""yes""}",154,present_in_order
8130328,9,19,stop,7818093994,"[""CR_HB_LABEL:gtb nagar""]","{""name"":""Guru Tegh Bahadur Nagar"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""short_name"":""GTB Nagar"",""train"":""yes""}",197,present_in_order
8130328,10,21,stop,7818099446,"[""CR_HB_LABEL:chunabhatti""]","{""name"":""Chuna Bhatti"",""name:en"":""Chuna Bhatti"",""name:hi"":""चुना भट्टी"",""name:mr"":""चुना भट्टी"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",217,present_in_order
8130328,11,23,stop,1367093212,"[""CR_HB_LABEL:kurla""]","{""name"":""Kurla"",""name:en"":""Kurla"",""name:hi"":""कुर्ला"",""name:ml"":""കുർള"",""name:mr"":""कुर्ला"",""official_name"":""Kurla Junction"",""official_name:en"":""Kurla Junction"",""official_name:hi"":""कुर्ला जंक्शन"",""official_name:mr"":""कुर्ला जंक्शन"",""old_name"":""Coorla"",""old_name:en"":""Coorla"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""7"",""train"":""yes""}",247,present_in_order
8130328,12,25,stop,651265045,"[""CR_HB_LABEL:chembur""]","{""name"":""Chembur"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",280,present_in_order
8130328,13,27,stop,7818024713,"[""CR_HB_LABEL:tilaknagar""]","{""name"":""Tilak Nagar"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",,out_of_order
8130328,14,30,stop,1366986900,"[""CR_HB_LABEL:govandi""]","{""name"":""Govandi"",""public_transport"":""stop_position"",""ref"":""1"",""train"":""yes""}",293,present_in_order
8130328,15,32,stop,246631903,"[""CR_HB_LABEL:mankhurd""]","{""name"":""Mankhurd"",""name:en"":""Mankhurd"",""name:hi"":""मानखुर्द"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""1"",""train"":""yes""}",312,present_in_order
8130328,16,35,stop,241160689,"[""CR_HB_LABEL:vashi"",""CR_THB_CODE:VSH""]","{""name"":""Vashi"",""name:hi"":""वाशी"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""3"",""train"":""yes""}",371,present_in_order
8130328,17,38,stop,7818022403,"[""CR_HB_LABEL:sanpada"",""CR_THB_CODE:SNPD""]","{""name"":""Sanpada"",""name:hi"":""सानपाडा"",""public_transport"":""stop_position"",""railway"":""stop"",""ref"":""3"",""train"":""yes""}",384,present_in_order
