train_number,pattern_id,variant,leg_sequence,from_station_key,to_station_key,candidate_length_geodesic_m,printed_interval_seconds,removed_explicit_origin_dwell_seconds,geometry_distance_over_printed_interval_kmh,status
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,1,CR_HB_LABEL:goregaon,CR_HB_LABEL:ramnagar,1494.4708580620475,240,0,22.41706287093071,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,2,CR_HB_LABEL:ramnagar,CR_HB_LABEL:jogeshwari,1136.4716535606271,180,0,22.729433071212544,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,3,CR_HB_LABEL:jogeshwari,CR_HB_LABEL:andheri,2434.656242799997,240,0,36.519843641999955,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,4,CR_HB_LABEL:andheri,CR_HB_LABEL:vileparle,2157.667272928316,240,0,32.36500909392474,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,5,CR_HB_LABEL:vileparle,CR_HB_LABEL:santacruz,1794.5842155893602,180,0,35.8916843117872,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,6,CR_HB_LABEL:santacruz,CR_HB_LABEL:khar road,1655.1183857229535,180,0,33.10236771445907,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,7,CR_HB_LABEL:khar road,CR_HB_LABEL:bandra,1610.3115400186641,240,0,24.15467310027996,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,8,CR_HB_LABEL:bandra,CR_HB_LABEL:mahim jn,1680.1759810381452,180,0,33.6035196207629,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,9,CR_HB_LABEL:mahim jn,CR_HB_LABEL:king's circle,1546.7103893547253,180,0,30.934207787094508,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,10,CR_HB_LABEL:king's circle,CR_HB_LABEL:vadala road,1932.0667300137488,360,0,19.320667300137487,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,11,CR_HB_LABEL:vadala road,CR_HB_LABEL:sewri,2037.9644353676197,180,0,40.75928870735239,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,12,CR_HB_LABEL:sewri,CR_HB_LABEL:cotton green,1841.9341437006112,180,0,36.83868287401223,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,13,CR_HB_LABEL:cotton green,CR_HB_LABEL:reay road,1039.5129988450374,120,0,31.18538996535112,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,14,CR_HB_LABEL:reay road,CR_HB_LABEL:dockyard road,1238.7956285432983,180,0,24.775912570865966,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,15,CR_HB_LABEL:dockyard road,CR_HB_LABEL:sandhurst road,797.1631056792348,120,0,23.914893170377045,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,16,CR_HB_LABEL:sandhurst road,CR_HB_LABEL:masjid,1020.3454118247835,120,0,30.610362354743504,diagnostic_only_unresolved_clock_roles_and_minute_precision
91392,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,17,CR_HB_LABEL:masjid,CR_HB_LABEL:mumbai csmt,1321.6380118765176,120,0,39.649140356295526,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,1,CR_HB_LABEL:mumbai csmt,CR_HB_LABEL:masjid,1321.6380118765176,120,0,39.649140356295526,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,2,CR_HB_LABEL:masjid,CR_HB_LABEL:sandhurst road,1020.3454118247835,180,0,20.406908236495667,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,3,CR_HB_LABEL:sandhurst road,CR_HB_LABEL:dockyard road,797.1631056792348,120,0,23.914893170377045,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,4,CR_HB_LABEL:dockyard road,CR_HB_LABEL:reay road,1238.7956285432983,120,0,37.163868856298954,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,5,CR_HB_LABEL:reay road,CR_HB_LABEL:cotton green,1039.5129988450374,120,0,31.18538996535112,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,6,CR_HB_LABEL:cotton green,CR_HB_LABEL:sewri,1841.9341437006112,180,0,36.83868287401223,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,7,CR_HB_LABEL:sewri,CR_HB_LABEL:vadala road,2037.9644353676197,180,0,40.75928870735239,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,8,CR_HB_LABEL:vadala road,CR_HB_LABEL:king's circle,1932.0667300137488,240,0,28.98100095020623,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,9,CR_HB_LABEL:king's circle,CR_HB_LABEL:mahim jn,1546.7103893547253,180,0,30.934207787094508,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,10,CR_HB_LABEL:mahim jn,CR_HB_LABEL:bandra,1680.1759810381452,240,0,25.20263971557218,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,11,CR_HB_LABEL:bandra,CR_HB_LABEL:khar road,1610.3115400186641,240,0,24.15467310027996,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,12,CR_HB_LABEL:khar road,CR_HB_LABEL:santacruz,1655.1183857229535,180,0,33.10236771445907,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,13,CR_HB_LABEL:santacruz,CR_HB_LABEL:vileparle,1794.5842155893602,180,0,35.8916843117872,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,14,CR_HB_LABEL:vileparle,CR_HB_LABEL:andheri,2157.667272928316,240,0,32.36500909392474,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,15,CR_HB_LABEL:andheri,CR_HB_LABEL:jogeshwari,2434.656242799997,240,0,36.519843641999955,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,16,CR_HB_LABEL:jogeshwari,CR_HB_LABEL:ramnagar,1136.4716535606271,180,0,22.729433071212544,diagnostic_only_unresolved_clock_roles_and_minute_precision
91393,69aef123fe3d6696824320e1f59b429fb1076e9f0907ab3f8cebab5fb5147d88,geometry_only,17,CR_HB_LABEL:ramnagar,CR_HB_LABEL:goregaon,1494.4708580620475,240,0,22.41706287093071,diagnostic_only_unresolved_clock_roles_and_minute_precision
91394,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,1,CR_HB_LABEL:goregaon,CR_HB_LABEL:ramnagar,1494.4708580620475,180,0,29.88941716124095,diagnostic_only_unresolved_clock_roles_and_minute_precision
91394,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,2,CR_HB_LABEL:ramnagar,CR_HB_LABEL:jogeshwari,1136.4716535606271,180,0,22.729433071212544,diagnostic_only_unresolved_clock_roles_and_minute_precision
91394,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,3,CR_HB_LABEL:jogeshwari,CR_HB_LABEL:andheri,2434.656242799997,240,0,36.519843641999955,diagnostic_only_unresolved_clock_roles_and_minute_precision
91394,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,4,CR_HB_LABEL:andheri,CR_HB_LABEL:vileparle,2157.667272928316,240,0,32.36500909392474,diagnostic_only_unresolved_clock_roles_and_minute_precision
91394,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,5,CR_HB_LABEL:vileparle,CR_HB_LABEL:santacruz,1794.5842155893602,180,0,35.8916843117872,diagnostic_only_unresolved_clock_roles_and_minute_precision
91394,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,6,CR_HB_LABEL:santacruz,CR_HB_LABEL:khar road,1655.1183857229535,180,0,33.10236771445907,diagnostic_only_unresolved_clock_roles_and_minute_precision
91394,3fc4dce60cc4188d461fcebca783e7aa5bd9ff0164ac84d7d3f0271768e37299,geometry_only,7,CR_HB_LABEL:khar road,CR_HB_LABEL:bandra,1610.3115400186641,240,0,24.15467310027996,diagnostic_only_unresolved_clock_roles_and_minute_precision
